NAME	DESCRIPTION	HMDA-HMDA-_1	HMDA-HMDA-_2	HMDA-HMDA-_3	HMDA-M9-_1	HMDA-M9-_2	HMDA-M9-_3	MG1655-HMDA-_1	MG1655-HMDA-_2	MG1655-HMDA-_3	MG1655-M9-_1	MG1655-M9-_2	MG1655-M9-_3
yfjH	b2623	24.3021	24.7011	21.1913	21.8074	31.9293	32.2279	17.5061	13.0799	10.8094	17.7348	19.6006	27.9623
yfjL	b2628	42.8399	40.4543	40.5786	73.892	51.8313	74.0546	39.3155	52.2369	47.0896	49.8989	49.4194	52.9987
yfjK	b2627	22.6851	21.6504	29.6696	38.2216	25.5134	49.7721	34.3508	42.5951	43.8856	40.9143	43.277	39.519
tatE	b0627	233.96400000000003	281.01099999999997	255.977	331.69699999999995	856.283	513.248	135.467	221.356	183.642	228.375	309.563	400.077
yfjM	b2629	6.59088	11.0285	15.9365	14.6629	15.1301	26.2108	0.0	5.26625	1.9068599999999998	1.9024	1.9641	5.7087699999999995
yfjU	b2638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yfjV	b2641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ypjA	b2647	18.378	11.5032	14.8276	26.645	12.2014	37.667	17.2831	12.225	12.3346	15.7902	17.7666	11.7367
pinH	b2648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ypjC	b2650	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ygaU	b2665	426.031	440.898	322.836	735.047	80.8874	1518.32	556.336	1033.29	907.91	689.435	522.188	491.412
yqaE	b2666	106.416	275.972	122.795	301.994	57.4514	695.9789999999999	131.596	471.909	532.355	200.446	125.18299999999999	168.479
stpA	b2669	946.673	1174.18	982.9	122.18299999999999	666.555	289.132	1115.72	711.176	871.1519999999999	719.422	466.921	535.246
ygaC	b2671	53.0006	35.746	53.0395	74.4735	39.3002	67.5499	41.303000000000004	54.4278	52.4865	27.215999999999998	26.0749	39.2817
ybeL	b0643	350.29900000000004	239.53599999999997	278.47	578.029	82.4244	716.421	486.37199999999996	470.215	470.709	344.277	356.145	284.47900000000004
luxS	b2687	768.2810000000001	749.487	647.986	1583.17	807.179	2649.62	723.3530000000001	1574.65	1227.23	1012.27	748.436	1015.1
gshA	b2688	352.95	364.465	360.13599999999997	294.811	287.057	386.371	377.228	412.767	404.472	363.689	350.481	337.509
yqaB	b2690	137.99200000000002	163.285	139.452	145.61700000000002	173.701	130.374	133.982	176.953	182.99900000000002	144.952	116.963	143.939
yqaA	b2689	147.811	150.128	164.99900000000002	103.15700000000001	126.366	110.82799999999999	154.039	140.058	116.042	126.131	123.73299999999999	114.335
csrA	b2696	3241.05	3789.9	3562.27	4628.67	2681.88	3718.02	4207.88	2891.91	3695.24	4644.27	4425.76	4472.84
alaS	b2697	727.26	729.238	876.17	523.953	861.062	422.64300000000003	925.2130000000001	811.302	888.09	796.451	835.068	895.5939999999999
recX	b2698	59.7641	72.5748	79.1309	20.1942	17.6137	22.4395	14.613	13.7179	14.059000000000001	11.3843	11.2813	8.06247
recA	b2699	394.208	476.912	404.16	428.55800000000005	517.613	594.039	498.43800000000005	813.475	832.237	405.52	337.365	470.064
pncC	b2700	128.161	145.37	107.65	96.0298	116.366	95.0851	97.4967	55.8823	87.7548	113.74700000000001	101.947	135.099
mltB	b2701	121.405	127.15700000000001	106.289	63.5954	99.0826	109.552	103.682	66.3606	71.2147	83.2822	72.8748	83.9057
djlB	b0646	1.0076	1.4524	1.60722	1.45351	2.4840400000000002	3.79371	0.6001340000000001	0.5869479999999999	1.02556	1.4634	1.6972	0.996814
norR	b2709	40.3386	33.2298	30.666999999999998	34.7587	35.5596	28.1388	44.2076	42.4278	51.5193	23.2515	17.2028	27.0946
hypF	b2712	12.9934	8.77375	8.954930000000001	14.2619	7.78936	10.8601	17.9804	19.9952	18.0284	10.2581	9.478860000000001	11.7184
hydN	b2713	4.56948	6.5014199999999995	5.90221	4.371090000000001	6.52498	12.3756	0.955672	4.5239400000000005	7.17081	5.74216	2.4777400000000003	5.78829
ascG	b2714	18.8606	24.5588	18.1832	17.8088	28.2929	22.9881	28.4043	23.9161	23.349	30.5752	16.8905	28.634
hycI	b2717	34.0364	32.4564	21.1072	47.0282	30.2128	64.0421	45.8023	33.9362	37.0796	35.8583	29.3285	36.6566
hycH	b2718	9.28534	8.86076	14.9163	21.7987	21.9077	30.0235	14.7835	23.6262	27.4248	21.4148	8.680539999999999	13.4232
hycG	b2719	14.2779	10.1631	16.3484	9.46363	9.61161	14.1816	6.92995	9.01928	9.37705	9.28028	7.482289999999999	9.58845
hycF	b2720	10.7806	6.469119999999999	13.9298	4.723269999999999	8.90799	7.33322	6.13811	4.38427	3.5712599999999997	7.55382	3.77518	3.0119700000000003
