GENE	MEDIUM	MEDIUM:STRAIN	STRAIN	medium_direction	strain_direction	interaction_direction
mnmC	0.2411196289919113	0.6268336887861563	0.33238372210145495	-1.0	1.0	-1.0
smrB	9.437856784710874e-05	0.163741780119409	0.04780791207079904	-1.0	1.0	-1.0
fadL	0.16921615496420372	5.730413249297182	0.14244184315836605	1.0	1.0	1.0
yfdF	0.015730720002931298	0.24640495772570054	0.15055205521172865	-1.0	1.0	1.0
dnaQ	0.002100190666571855	0.05389081122799988	0.012525265007689468	-1.0	-1.0	-1.0
yfdC	0.4016243056710437	0.09739468994377698	6.5823719333027055	-1.0	-1.0	1.0
intS	0.1464493600510044	0.43674546400575986	0.3898064300584394	1.0	1.0	1.0
gtrS	0.3568066765074329	0.5653939619710524	2.4214707192891822	-1.0	1.0	1.0
gtrB	0.01889511510270836	1.7479951604619037	0.8161433103302116	1.0	1.0	1.0
gtrA	0.006721675141098116	0.04057474256052096	0.46625976225043964	-1.0	1.0	1.0
yfdP	0.28734949511027885	8.468717315235352e-05	0.8978169818239126	1.0	-1.0	-1.0
yfdQ	0.004941619790510443	0.10398865163676763	0.08146532876414314	1.0	1.0	-1.0
yfdT	0.5161612434911196	0.03556848888787911	0.03643818508421992	-1.0	-1.0	-1.0
yfdS	0.24599534727500671	2.877966906577102	0.887867274176001	1.0	-1.0	1.0
yafT	0.001451271851735103	0.30369395862420545	0.003974349907995722	1.0	-1.0	1.0
yfdR	0.061596807981867396	1.316134473438468	0.0021324884293827395	1.0	1.0	1.0
torI	0.10144685566339362	0.013549450723241208	0.5912347219167344	1.0	-1.0	-1.0
dsdX	0.011835126325933532	0.13794932319683523	0.2872466104998571	-1.0	-1.0	-1.0
dsdA	0.0532211825176645	0.03607072035851061	0.12510864374767222	1.0	1.0	1.0
evgA	0.030495005970959	0.0513203579035002	0.12306963207980759	-1.0	-1.0	-1.0
evgS	0.00031614319836237303	0.2524848084173142	0.00289181893429602	1.0	1.0	1.0
ypdI	0.6333021594114578	0.005144602952967592	0.22466348127801528	1.0	-1.0	-1.0
lpxP	0.004403966827325245	0.08608421595648386	1.3450469395629234	-1.0	-1.0	1.0
ypdA	0.02102748276845179	0.12165347146874017	0.00746392263113449	1.0	1.0	-1.0
ypdB	0.046819473163677294	0.8615358646843454	0.03083595621876567	-1.0	1.0	-1.0
ypdC	0.15054414123202742	1.1206432681294745	0.17526738608208214	-1.0	-1.0	-1.0
yfeO	0.00428022436920944	0.06309539365200179	1.0876627294095988	1.0	-1.0	-1.0
ypeC	0.07453697918743285	1.17212150655238	0.4861473753311343	-1.0	-1.0	-1.0
nupC	0.044445065572606524	0.80095792929911	0.032502966519643905	-1.0	1.0	1.0
yfeC	0.003991700265874698	0.16978198541522654	0.03468641312799092	-1.0	-1.0	1.0
yfeD	0.012315472090436985	0.015086566791705558	0.024453989174068047	1.0	-1.0	1.0
yfeN	0.30223129208573496	0.16495851154650576	1.4032742579318387	1.0	-1.0	1.0
ivy	0.0020510128309272346	0.08820627612651943	5.726111634336702	1.0	-1.0	-1.0
yfeH	0.004043718813591113	0.16973508588317598	0.009998541466531785	-1.0	1.0	-1.0
cysZ	0.00803457257098622	0.009812734050627686	0.5453378521369651	1.0	-1.0	-1.0
cysK	0.01201305040841305	0.13293917970219127	0.5183262498217118	-1.0	1.0	-1.0
ptsH	0.2877539897749273	0.05942858566035625	0.5861796633129472	-1.0	1.0	-1.0
ptsI	0.07417765600544257	0.05753965350975321	0.2542224393279717	-1.0	1.0	1.0
crr	0.0683594983495368	0.00822393503116814	0.03189731021985409	-1.0	1.0	1.0
yfeK	0.10741591406604878	0.008722553975911929	0.5439325063313339	1.0	-1.0	1.0
yfeS	0.04300071638369038	0.0009653839323091051	0.014776591006419898	1.0	-1.0	1.0
