evolved_compound,grown_compound,strain,repl,growth_rate,rel_growth_rate,growth_ratio,exp_name
butanol,M9,BUT7-7,3,0.7665460202169014,0.15828166864736248,1.2602185517512892,BUT
butanol,M9,BUT8-7,1,0.73410540494256,0.1258410533730211,1.206885465255865,BUT
butanol,M9,BUT9-5,2,0.7606872081831828,0.15242285661364385,1.2505865356408583,BUT
butanol,M9,BUT9-10,3,0.7553694640497012,0.14710511248016223,1.2418440470834409,BUT
NA,M9,MG1655,1,0.5128373238984609,-0.012440669269126126,0.9763160280252651,COUM
coumarate,M9,COUM1-7,1,0.8763011212323605,0.3510231280647734,1.668261630280752,COUM
NA,M9,MG1655,2,0.5407295322497568,0.015451539082169785,1.0294159269627732,COUM
coumarate,M9,COUM1-7,2,0.8573293793764581,0.3320513862088711,1.6321441037468554,COUM
coumarate,M9,COUM2-3,3,0.699380784375938,0.17410279120835093,1.331448858457705,COUM
coumarate,M9,COUM3-1,1,0.6703223915993334,0.14504439843174632,1.2761288314347308,COUM
coumarate,M9,COUM3-9,2,0.8475006840802362,0.3222226909126491,1.6134326872701208,COUM
coumarate,M9,COUM4-5,3,0.45902312277668045,-0.0662548703909066,0.8738670356407481,COUM
coumarate,M9,COUM5-5,1,0.6628508569726723,0.13757286380508527,1.2619048686496055,COUM
coumarate,M9,COUM6-2,2,0.6831238362862629,0.1578458431186759,1.300499630998849,COUM
coumarate,M9,COUM6-9,3,0.656916615078015,0.13163862191042797,1.250607532816303,COUM
coumarate,M9,COUM7-9,1,0.0,-0.525277993167587,0.0,COUM
coumarate,M9,COUM8-6,2,0.8025714512903396,0.2772934581227525,1.5278984875238883,COUM
coumarate,M9,COUM3-10,3,0.6303106180450136,0.1050326248774266,1.1999562636234724,COUM
NA,M9,MG1655,3,0.5356382321053796,0.010360238937792587,1.0197233447289829,COUM
coumarate,M9,COUM1-7,3,0.7948504735341716,0.26957248036658454,1.5131996464214692,COUM
coumarate,M9,COUM2-4,1,0.7509903782525044,0.2257123850849173,1.4297008213190172,COUM
coumarate,M9,COUM3-1,2,0.8569444252087183,0.3316664320411312,1.6314112457692758,COUM
coumarate,M9,COUM3-9,3,0.7398960007325418,0.21461800756495475,1.4085798574403288,COUM
coumarate,M9,COUM4-10,1,0.4531990965693844,-0.07207889659820266,0.8627795233462098,COUM
coumarate,M9,COUM5-5,2,0.7303891001978505,0.20511110703026347,1.3904810589786576,COUM
coumarate,M9,COUM6-2,3,0.6261976252351037,0.10091963206751664,1.1921261377407806,COUM
coumarate,M9,COUM7-5,1,0.796839766625652,0.271561773458065,1.5169867707962872,COUM
coumarate,M9,COUM7-9,2,0.1758294761199669,-0.34944851704762014,0.334736041499971,COUM
coumarate,M9,COUM8-6,3,0.8320448544316451,0.30676686126405805,1.5840085921250193,COUM
coumarate,M9,COUM4-8,1,0.46627787528844905,-0.059000117879138,0.8876782986407841,COUM
NA,M9,MG1655,4,0.5282384812513327,0.002960488083745605,1.0056360405770912,COUM
coumarate,M9,COUM1-10,1,0.7884256489203109,0.2631476557527238,1.5009683618494332,COUM
coumarate,M9,COUM2-4,2,0.7045104220457287,0.17923242887814161,1.3412144259029686,COUM
coumarate,M9,COUM3-1,3,0.6747200580351312,0.1494420648675442,1.2845009058277177,COUM
coumarate,M9,COUM4-2,1,0.43250977980765365,-0.0927682133599334,0.8233921569786073,COUM
coumarate,M9,COUM4-10,2,0.4813792978883122,-0.04389869527927487,0.9164276900036259,COUM
coumarate,M9,COUM5-5,3,0.667695147030122,0.14241715386253495,1.2711272044802713,COUM
coumarate,M9,COUM6-5,1,0.6339336985991857,0.10865570543159864,1.2068537171648321,COUM
coumarate,M9,COUM7-5,2,0.7539677052530663,0.22868971208547928,1.4353689190487695,COUM
coumarate,M9,COUM7-9,3,0.9178546383832393,0.3925766452156523,1.7473692983943512,COUM
coumarate,M9,COUM8-8,1,0.8497730867744508,0.3244950936068638,1.617758782640139,COUM
coumarate,M9,COUM4-8,2,0.4696436840922826,-0.05563430907530448,0.8940859700978284,COUM
NA,M9,MG1655,5,0.5089463963330053,-0.01633159683458174,0.9689086597058879,COUM
coumarate,M9,COUM1-10,2,0.8423606355705642,0.3170826424029771,1.6036473001483875,COUM
coumarate,M9,COUM2-4,3,0.716915377856064,0.1916373846884769,1.3648304082431568,COUM
coumarate,M9,COUM3-7,1,0.6509487212488891,0.12567072808130209,1.2392461319833126,COUM
coumarate,M9,COUM4-2,2,0.502228414439267,-0.02304957872832003,0.9561192758346414,COUM
coumarate,M9,COUM4-10,3,0.47046471086906816,-0.054813282298518895,0.8956490029822533,COUM
coumarate,M9,COUM5-8,1,0.6339115833651029,0.10863359019751584,1.2068116152028796,COUM
coumarate,M9,COUM6-5,2,0.7830467581556478,0.2577687649880608,1.4907282778660425,COUM
coumarate,M9,COUM7-5,3,0.768719931644489,0.243441938476902,1.4634535267865927,COUM
coumarate,M9,COUM8-1,1,0.7691367696501541,0.24385877648256704,1.464247083743265,COUM
coumarate,M9,COUM8-8,2,0.7989753153176601,0.27369732215007303,1.5210523298331888,COUM
coumarate,M9,COUM4-8,3,0.5068225104221569,-0.018455482745430185,0.9648653037334803,COUM
coumarate,M9,COUM1-2,1,0.825849324884498,0.30057133171691097,1.5722138289182341,COUM
coumarate,M9,COUM1-10,3,0.8066801981462536,0.2814022049786665,1.535720530155328,COUM
coumarate,M9,COUM2-7,1,0.6791477266378859,0.15386973347029886,1.2929300969614532,COUM
coumarate,M9,COUM3-7,2,0.7914719138337253,0.26619392066613823,1.5067677003959512,COUM
coumarate,M9,COUM4-2,3,0.4562706733142961,-0.06900731985329095,0.8686270493893039,COUM
coumarate,M9,COUM5-3,1,0.7702329589575875,0.24495496579000042,1.4663339583538366,COUM
coumarate,M9,COUM5-8,2,0.6456524402474617,0.12037444707987466,1.229163316654444,COUM
coumarate,M9,COUM6-5,3,0.6685540451259171,0.14327605195833004,1.2727623350339343,COUM
coumarate,M9,COUM7-6,1,0.7704640546214118,0.2451860614538247,1.4667739076127628,COUM
coumarate,M9,COUM8-1,2,0.7156938866981911,0.19041589353060406,1.3625049897528316,COUM
coumarate,M9,COUM8-8,3,0.8530482353837071,0.32777024221612006,1.623993859403028,COUM
coumarate,M9,COUM1-2,2,0.7797046608414141,0.25442666767382704,1.484365747248531,COUM
coumarate,M9,COUM2-3,1,0.6807920109595247,0.15551401779193763,1.2960604095635921,COUM
coumarate,M9,COUM2-7,2,0.5669973144188354,0.04171932125124833,1.079423318307451,COUM
coumarate,M9,COUM3-7,3,0.6787531037636068,0.1534751105960197,1.2921788321466083,COUM
coumarate,M9,COUM4-5,1,0.4631469960179204,-0.062130997149666634,0.8817178751864366,COUM
coumarate,M9,COUM5-3,2,0.7797931103291623,0.25451511716157527,1.4845341333010569,COUM
coumarate,M9,COUM5-8,3,0.6545753891700407,0.1292973960024536,1.2461504149883584,COUM
coumarate,M9,COUM6-9,1,0.6372103054783292,0.11193231231074219,1.2130915701146285,COUM
coumarate,M9,COUM7-6,2,0.6685340730200958,0.14325607985250877,1.2727243130606534,COUM
coumarate,M9,COUM8-1,3,0.8872147689161574,0.3619367757485703,1.689038529038654,COUM
coumarate,M9,COUM3-10,1,0.6007634525598622,0.07548545939227513,1.1437057336765142,COUM
coumarate,M9,COUM1-2,3,0.9069373863204259,0.3816593931528388,1.726585537786032,COUM
coumarate,M9,COUM2-3,2,0.7314039439117054,0.20612595074411832,1.3924130716025542,COUM
coumarate,M9,COUM2-7,3,0.642427855695123,0.1171498625275359,1.2230245014094088,COUM
coumarate,M9,COUM3-9,1,0.7932274996542669,0.2679495064866798,1.510109903654753,COUM
coumarate,M9,COUM4-5,2,0.43400451143645663,-0.09127348173113042,0.8262377580664985,COUM
coumarate,M9,COUM5-3,3,0.7377987769600014,0.21252078379241435,1.4045872596162823,COUM
coumarate,M9,COUM6-2,1,0.6347719357905335,0.10949394262294643,1.2084495144421803,COUM
coumarate,M9,COUM6-9,2,0.6472895188798189,0.12201152571223184,1.2322799113978962,COUM
