	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
6.17172	1.669	12.25	3.287	8.116	6.63	2.59	2.395	2.194	2.7	13.883	3.3960000000000004	27.961	8.617	1.7819999999999998	3.5239999999999996	2.217	3.971	19.953	4.02	10.731	10.338	2.485	3.7539999999999996	2.659	0.642	1.42	1.3459999999999999	1.386	1.006	0.9690000000000001	0.912	1.453	5.541	1.229	0.897	1.035	1.466	1.817	1.786	2.745	1.287	1.3230000000000002	0.794	0.6970000000000001	1.4609999999999999
6.33851	1.892	12.898	3.3080000000000003	8.392999999999999	7.994	2.64	2.588	2.416	3.1210000000000004	14.585999999999999	3.56	28.0	9.867	1.8319999999999999	3.429	2.4930000000000003	3.989	21.025	4.442	11.607999999999999	11.789000000000001	2.6210000000000004	4.032	2.966	0.72	1.584	1.196	1.409	1.0	1.02	0.991	1.385	5.876	1.337	0.862	0.971	1.3419999999999999	1.666	1.69	2.594	1.337	1.315	0.873	0.6609999999999999	1.5390000000000001
6.50515	1.882	15.171	3.469	9.266	8.75	2.887	2.576	2.435	3.1069999999999998	15.369000000000002	3.863	29.374000000000002	11.797	1.936	3.674	2.648	4.06	21.773000000000003	4.603	12.107999999999999	12.575	2.782	4.335	3.011	0.622	1.4869999999999999	1.2429999999999999	1.456	0.99	1.038	1.124	1.5130000000000001	6.119	1.469	0.795	0.9329999999999999	1.53	1.712	1.761	2.897	1.182	1.275	0.7759999999999999	0.65	1.47
6.67185	1.9869999999999999	16.038	3.7489999999999997	9.668	9.673	3.023	2.7710000000000004	2.627	3.1910000000000003	18.302	4.144	28.601	12.06	2.1	3.929	2.767	4.176	22.883000000000003	4.626	13.0	14.612	3.147	4.532	3.207	0.818	1.625	1.521	1.3319999999999999	1.0090000000000001	1.1440000000000001	1.087	1.4580000000000002	6.32	1.5190000000000001	0.986	0.9520000000000001	1.47	1.82	1.705	2.6919999999999997	1.262	1.3840000000000001	0.7120000000000001	0.787	1.4080000000000001
6.83852	2.213	17.407	3.8310000000000004	10.093	10.841	3.392	2.71	2.623	3.359	19.784000000000002	4.255	28.764	14.003	2.154	4.24	2.79	4.4	24.021	4.88	13.997	14.720999999999998	3.287	4.814	3.719	0.757	1.621	1.432	1.501	1.034	0.94	1.17	1.653	6.257999999999999	1.6019999999999999	0.897	0.978	1.609	1.7309999999999999	1.929	3.003	1.345	1.3230000000000002	0.794	0.84	1.834
7.00517	2.298	18.007	4.14	11.277000000000001	12.159	3.359	2.847	2.937	3.4330000000000003	19.804000000000002	4.734	29.565	14.949000000000002	2.437	4.543	3.0269999999999997	4.584	24.915	5.417000000000001	14.345999999999998	16.7	3.5980000000000003	5.176	3.9960000000000004	0.778	1.729	1.43	1.358	1.15	1.025	1.138	1.578	6.357	1.713	0.7829999999999999	0.777	1.683	1.6980000000000002	1.656	2.967	1.538	1.288	0.762	0.722	1.541
7.17179	2.345	18.930999999999997	4.614	11.632	12.712	3.576	3.236	3.1260000000000003	3.705	21.439	4.808	30.365	15.702	2.455	4.7860000000000005	3.011	4.654	23.831	5.691	14.7	17.511	3.815	5.705	4.012	0.794	1.632	1.506	1.435	1.141	1.186	1.099	1.5630000000000002	6.771	1.5590000000000002	1.003	0.996	1.556	1.7730000000000001	1.7269999999999999	3.0980000000000003	1.555	1.3330000000000002	0.665	0.653	1.5
7.33865	2.4930000000000003	19.084	4.843	13.165	14.720999999999998	3.864	3.3510000000000004	3.2739999999999996	3.759	22.641	5.292999999999999	31.095	16.628	2.515	4.925	3.115	5.104	23.913	6.291	15.515	17.838	3.818	5.617000000000001	4.183	0.7659999999999999	1.776	1.454	1.3559999999999999	1.062	1.135	1.075	1.641	6.68	1.62	1.01	1.0590000000000002	1.611	1.8330000000000002	1.864	2.813	1.6130000000000002	1.335	0.669	0.7140000000000001	1.73
7.50515	2.6310000000000002	20.303	5.272	13.204	14.912	4.291	3.35	3.641	3.877	22.668000000000003	5.693	31.279	17.074	2.7689999999999997	5.329	3.3539999999999996	5.053999999999999	23.63	7.348	16.357	17.997	4.158	6.22	4.3839999999999995	0.7659999999999999	1.8030000000000002	1.5919999999999999	1.435	1.141	1.072	1.128	1.6769999999999998	7.057	1.645	0.946	0.9390000000000001	1.499	1.801	1.784	2.955	1.6980000000000002	1.276	0.779	0.7959999999999999	1.5859999999999999
7.67195	2.5380000000000003	20.916999999999998	5.72	13.85	16.269000000000002	4.311	3.5989999999999998	3.748	3.9530000000000003	23.538	6.142	32.602	17.832	2.9619999999999997	5.462999999999999	3.514	5.073	24.07	8.054	16.402	18.298	4.35	6.296	4.547	0.672	1.824	1.585	1.4280000000000002	1.1340000000000001	1.151	1.178	1.6380000000000001	7.132999999999999	1.6369999999999998	0.9390000000000001	1.047	1.661	1.851	1.774	3.0039999999999996	1.604	1.354	0.8290000000000001	0.732	1.75
