	MG1655-1	IBUA8-3_1	IBUA8-3_ilvH-revert-1	pykF-1	ilvH-1	pykF_ilvH-1	glyQ-1	pykF_glyQ-1	MG1655-2	IBUA8-3_2	IBUA8-3_ilvH-revert-2	pykF-2	ilvH-2	pykF_ilvH-2	glyQ-2	pykF_glyQ-2	MG1655-3	IBUA8-3_3	IBUA8-3_ilvH-revert-3	pykF-3	ilvH-3	pykF_ilvH-3	glyQ-3	pykF_glyQ-3	ilvH_glyQ-1	pykF_ilvH_glyQ-1	ilvH_glyQ-2	pykF_ilvH_glyQ-2	ilvH_glyQ-3	pykF_ilvH_glyQ-3
11.1728	0.20800000000000002	8.02	5.322	0.428	0.146	0.48700000000000004	0.267	2.6239999999999997	0.35	9.171	5.452999999999999	0.665	0.319	0.823	0.436	2.676	0.599	7.681	5.296	0.9259999999999999	0.539	0.716	0.436	2.525	0.456	2.8089999999999997	0.596	3.115	0.239	4.763
11.33948	0.147	8.439	5.772	0.431	0.212	0.713	0.26899999999999996	2.8510000000000004	0.353	9.495	5.648	0.6679999999999999	0.257	0.794	0.40700000000000003	2.966	0.506	8.642999999999999	5.301	0.77	0.478	0.847	0.375	2.56	0.363	3.0039999999999996	0.311	3.278	0.114	4.83
11.50606	0.20800000000000002	9.2	5.864	0.62	0.21	0.551	0.267	3.0069999999999997	0.35	10.128	5.517	0.6970000000000001	0.319	0.7909999999999999	0.532	2.995	0.40700000000000003	8.734	5.4239999999999995	0.862	0.41100000000000003	0.812	0.46799999999999997	2.78	0.456	3.1919999999999997	0.37200000000000005	3.5610000000000004	0.207	5.305
11.67288	0.203	10.113999999999999	5.857	0.679	0.141	0.578	0.23	3.1910000000000003	0.313	11.138	5.763999999999999	0.7559999999999999	0.34600000000000003	0.785	0.39899999999999997	3.2439999999999998	0.528	9.616	5.225	0.95	0.469	0.8059999999999999	0.462	2.8360000000000003	0.449	3.216	0.654	3.745	0.20199999999999999	5.584
11.83942	0.23199999999999998	10.587	5.757999999999999	0.612	0.235	0.672	0.292	3.315	0.247	11.482999999999999	5.76	0.753	0.34299999999999997	0.91	0.429	3.3360000000000003	0.684	9.802999999999999	5.38	1.01	0.465	0.898	0.523	3.056	0.35	3.403	0.396	3.9330000000000003	0.295	5.962000000000001
12.00624	0.275	11.085999999999999	5.9	0.59	0.14800000000000002	0.777	0.26899999999999996	3.616	0.225	12.11	5.744	0.7959999999999999	0.257	0.953	0.47	3.4760000000000004	0.602	10.078	5.587999999999999	0.9620000000000001	0.478	0.847	0.47100000000000003	3.325	0.395	3.5780000000000003	0.311	4.171	0.529	6.457000000000001
12.17286	0.147	11.724	5.803999999999999	0.6859999999999999	0.212	0.585	0.26899999999999996	3.807	0.353	12.970999999999998	5.712000000000001	0.8909999999999999	0.321	0.857	0.34299999999999997	3.763	0.602	10.46	5.428	1.057	0.574	0.847	0.47100000000000003	3.3569999999999998	0.267	4.0569999999999995	0.375	4.426	0.242	6.6160000000000005
12.33957	0.22	11.485999999999999	5.877999999999999	0.725	0.25	0.784	0.307	4.074	0.233	13.626	5.978	0.868	0.32799999999999996	0.961	0.446	4.092	0.452	12.072000000000001	5.409	1.069	0.647	0.92	0.447	3.464	0.373	4.069	0.415	4.852	0.218	7.011
12.50624	0.139	13.173	5.985	0.71	0.237	0.674	0.294	4.115	0.313	13.56	5.922999999999999	0.9470000000000001	0.41	1.008	0.46299999999999997	4.168	0.433	12.58	5.575	1.046	0.564	0.902	0.43	3.824	0.385	4.236000000000001	0.303	4.606	0.425	7.1770000000000005
12.67291	0.128	13.341	6.194	0.701	0.196	0.792	0.158	4.419	0.335	14.556	5.813	0.968	0.336	0.934	0.517	4.504	0.515	13.64	5.75	1.126	0.52	0.9209999999999999	0.32299999999999995	4.001	0.436	4.442	0.389	4.973	0.096	7.893
