	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_nagC_ptsP-1	proV_ptsP_wbbK-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_nagC_ptsP-2	proV_ptsP_wbbK-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_nagC_ptsP-3	proV_ptsP_wbbK-3
5.00524	0.242	0.429	0.67	0.34299999999999997	0.653	0.665	0.71	0.865	0.955	1.285	0.9309999999999999	0.561	1.037	0.7240000000000001	0.713	1.126	1.1159999999999999	1.449	1.11	0.444	1.016	0.799	0.716	0.9670000000000001	0.727	0.775	0.593	0.568	0.941	0.45299999999999996	0.7859999999999999	0.9570000000000001	0.741	0.853	0.6890000000000001	0.7020000000000001	0.8270000000000001	0.58	0.7859999999999999
5.17189	0.8029999999999999	0.51	0.6809999999999999	0.327	0.7509999999999999	0.6759999999999999	0.584	0.8490000000000001	1.0090000000000001	0.9940000000000001	1.001	0.6	1.219	0.763	0.8390000000000001	1.172	1.253	1.068	0.934	0.542	1.003	0.758	0.731	0.99	0.5870000000000001	0.826	0.581	0.529	0.9640000000000001	0.67	0.662	0.943	0.727	0.951	0.7040000000000001	0.662	0.897	0.594	0.746
5.33865	0.29600000000000004	0.449	0.642	0.428	0.684	0.693	0.573	0.838	1.06	0.929	0.934	0.757	1.068	0.78	0.8290000000000001	1.192	1.192	1.1520000000000001	1.094	0.47700000000000004	0.909	0.608	0.693	0.956	0.611	0.848	0.516	0.52	0.846	0.55	0.8490000000000001	0.932	0.632	0.8859999999999999	0.75	0.6809999999999999	0.888	0.6409999999999999	0.765
5.50527	0.363	0.405	0.631	0.305	0.757	0.71	0.73	1.163	1.128	1.113	0.895	0.662	1.337	0.713	0.9009999999999999	1.123	1.204	0.993	0.997	0.493	0.981	0.82	0.737	0.941	0.679	0.721	0.588	0.536	0.887	0.621	0.809	0.865	0.621	0.818	0.794	0.725	1.044	0.601	0.753
5.67197	0.255	0.467	0.67	0.455	0.599	0.777	0.544	0.8370000000000001	1.105	1.065	0.905	0.6729999999999999	1.123	0.696	0.799	1.187	1.1540000000000001	1.133	1.004	0.474	0.935	0.8009999999999999	0.662	1.0590000000000002	0.599	0.728	0.624	0.5720000000000001	0.782	0.516	0.8170000000000001	0.9309999999999999	0.687	0.799	0.8029999999999999	0.65	0.857	0.5820000000000001	0.706
5.83867	0.305	0.327	0.711	0.35700000000000004	0.639	0.7070000000000001	0.584	0.767	1.02	1.018	0.9440000000000001	0.519	1.246	0.71	1.033	1.193	1.125	1.258	1.0090000000000001	0.429	1.001	0.7	0.757	0.9490000000000001	0.79	0.812	0.521	0.524	0.922	0.46399999999999997	0.742	0.8590000000000001	0.726	0.81	0.73	0.6579999999999999	0.9229999999999999	0.649	0.6859999999999999
6.00536	0.218	0.461	0.728	0.374	0.8240000000000001	0.7240000000000001	0.685	0.812	0.987	1.065	0.9620000000000001	0.563	1.208	0.754	1.023	1.129	1.12	1.2590000000000001	0.9740000000000001	0.503	1.0190000000000001	0.774	0.775	0.943	0.703	0.7509999999999999	0.624	0.544	0.9159999999999999	0.401	0.7609999999999999	0.904	0.66	0.856	0.7759999999999999	0.621	0.914	0.583	0.705
6.1721	0.28300000000000003	0.495	0.698	0.316	0.767	0.693	0.628	0.81	1.021	1.149	0.961	0.645	1.319	0.78	0.659	1.159	1.182	1.385	0.92	0.53	1.046	0.885	0.746	0.975	0.7390000000000001	0.728	0.569	0.488	0.9490000000000001	0.6	0.789	0.9309999999999999	0.8540000000000001	0.9390000000000001	0.7190000000000001	0.65	0.9690000000000001	0.6659999999999999	0.706
6.33868	0.28300000000000003	0.495	0.754	0.455	0.851	0.777	0.74	0.754	0.993	1.317	1.073	0.6729999999999999	1.57	0.78	0.966	1.187	1.238	1.301	0.976	0.53	1.242	0.8009999999999999	0.802	1.0590000000000002	0.6829999999999999	0.8109999999999999	0.652	0.5720000000000001	0.865	0.74	0.733	0.903	0.8540000000000001	0.9670000000000001	0.8029999999999999	0.733	1.025	0.5820000000000001	0.7340000000000001
6.50538	0.292	0.529	0.723	0.341	0.7929999999999999	0.718	0.738	0.863	0.9440000000000001	1.262	0.988	0.586	1.486	0.721	0.77	1.273	1.3559999999999999	1.456	0.951	0.586	1.354	0.745	0.746	0.924	0.72	0.732	0.569	0.601	0.898	0.631	0.818	0.789	0.7140000000000001	0.9109999999999999	0.747	0.7340000000000001	0.9690000000000001	0.638	0.7340000000000001
6.67207	0.42700000000000005	0.6940000000000001	0.7	0.318	0.9940000000000001	0.8640000000000001	0.631	0.6729999999999999	0.9129999999999999	1.236	0.9640000000000001	0.564	1.489	0.81	0.802	1.19	1.074	1.4180000000000001	0.8959999999999999	0.449	1.469	0.721	0.638	1.091	0.687	0.899	0.6559999999999999	0.5760000000000001	0.953	0.575	0.7929999999999999	0.99	0.774	0.9420000000000001	0.8059999999999999	0.625	0.86	0.529	0.653
