	MG1655-1	sspA-1	rph-1	MG1655-2	sspA-2	rph-2	MG1655-3	sspA-3	rph-3
46.67618	33.272	42.081	35.336	29.191999999999997	39.563	37.198	26.31	28.756	30.706
46.84289	33.272	42.081	35.336	29.256999999999998	39.726	37.296	26.31	28.886999999999997	30.901999999999997
47.00956	33.509	42.493	35.75	29.476	39.97	37.599000000000004	26.421	29.073	31.19
47.17618	33.735	42.453	35.775	29.643	39.834	37.399	26.69	29.206999999999997	31.29
47.34296	33.751	42.623999999999995	36.01	29.836	40.204	37.578	26.89	29.269000000000002	31.611
47.50958	33.982	42.663000000000004	35.919000000000004	29.8	40.34	37.81	26.818	29.462	31.74
47.6763	34.178000000000004	42.826	35.919000000000004	29.996	40.438	37.941	26.949	29.56	31.838
47.84296	34.318000000000005	43.126999999999995	36.481	30.075	40.544000000000004	37.917	26.997	29.737	31.883000000000003
48.00968	34.332	42.937	36.387	30.266	40.553000000000004	38.095	27.033	29.961	32.104
48.17623	34.538000000000004	43.121	36.409	30.487	40.732	38.235	27.211	30.083000000000002	32.001
48.34299	34.576	43.185	36.538000000000004	30.535	40.8	38.078	27.199	29.837	31.688000000000002
48.50967	34.812	43.232	36.652	30.759	41.071999999999996	38.444	27.514	30.29	31.914
48.67641	34.898	43.317	36.834	31.043000000000003	41.059	38.628	27.603	30.345	32.1
48.84306	35.150999999999996	43.548	36.871	31.079	41.286	38.65	27.89	30.479	32.367
49.00973	35.298	43.593	36.785	31.136999999999997	41.398	38.766	27.854	30.601999999999997	32.326
49.17645	35.397	43.724	36.981	31.235	41.496	38.864000000000004	27.886	30.897	32.522
49.34316	35.507	43.803000000000004	37.126	31.409000000000002	41.50899999999999	38.974000000000004	27.994	31.104	32.565
49.50978	35.510999999999996	43.876000000000005	37.363	31.538	41.678999999999995	39.044000000000004	28.185	31.166999999999998	32.760999999999996
49.67649	35.597	43.961000000000006	37.448	31.954	41.666000000000004	39.391999999999996	28.372	31.386	33.045
49.84313	35.757	44.126000000000005	37.615	31.875	41.82899999999999	39.453	28.517	31.537	33.098
50.00991	35.961	44.287	37.838	32.0	41.896	39.265	28.294	31.629	33.221
50.17649	35.929	44.263000000000005	37.784	32.181999999999995	42.0	39.429	28.596999999999998	31.811	33.274
50.34317	36.126	44.361999999999995	37.85	32.346	42.099	39.626	28.695	31.941999999999997	33.405
50.50995	36.064	44.393	37.781	32.391999999999996	42.196999999999996	39.499	28.910999999999998	31.955	33.45
50.67654	36.318000000000005	44.321000000000005	38.135999999999996	32.510999999999996	42.321999999999996	39.785	29.061	32.205999999999996	33.439
50.84331	36.421	44.559	37.882	32.608000000000004	42.361000000000004	39.757	29.154	32.400999999999996	33.7
51.01	36.467	44.571999999999996	38.421	32.848	42.505	39.868	29.261999999999997	32.412	33.81
51.17673	36.714	44.548	38.198	32.818000000000005	42.453	39.821999999999996	29.374000000000002	32.644	34.171
51.34328	36.716	44.788000000000004	38.407	33.199	42.755	40.118	29.45	32.828	34.16
51.51001	36.908	44.846000000000004	38.366	33.298	42.846000000000004	40.015	29.52	32.763000000000005	34.225
51.6766	36.959	45.163000000000004	38.618	33.406	42.997	40.327	29.59	33.035	34.499
51.84346	37.105	45.206	38.628	33.658	42.943999999999996	40.31	29.749000000000002	32.992	34.455
52.01001	37.2	44.998000000000005	38.549	33.506	42.937	40.177	29.837	33.266999999999996	34.531
52.17672	37.324	45.255	38.937	33.692	43.06100000000001	40.333	29.954	33.385999999999996	34.683
52.34338	37.301	45.305	38.857	34.051	43.207	40.571999999999996	30.044	33.451	34.848
52.51012	37.510999999999996	45.253	38.838	33.997	43.351000000000006	40.683	30.119	33.757	35.023
52.67674	37.501999999999995	45.415	39.068000000000005	34.236999999999995	43.445	40.705	30.384	33.931999999999995	35.035
52.84344	37.746	45.589	38.979	34.226	43.391000000000005	40.425	30.378	34.085	35.253
53.01	37.635	45.641000000000005	38.866	34.478	43.575	40.708	30.434	34.173	35.242
53.17679	37.733000000000004	45.575	39.293	34.510999999999996	43.739	40.61	30.531999999999996	34.369	35.242
53.34351	37.891	45.698	39.25	34.576	43.698	40.769	30.699	34.434	35.34
53.5102	38.003	45.81	39.56	34.784	43.744	40.716	30.709	34.806	35.613
53.67678	38.089	45.825	39.475	34.783	43.762	40.836999999999996	30.846999999999998	34.543	35.644
53.84349	38.167	45.941	39.527	34.882	43.941	40.912	31.07	34.741	35.711
54.01017	38.187	45.825	39.736999999999995	35.012	44.056999999999995	41.033	31.24	34.674	35.808
54.17682	38.389	46.133	39.654	35.363	44.23	41.036	31.385	34.632	35.898
54.34352	38.508	46.213	39.667	35.394	44.148999999999994	40.927	31.358	34.893	35.928000000000004
54.51033	38.423	46.162	39.681	35.34	44.294	40.973	31.465999999999998	35.001999999999995	36.135999999999996
54.67696	38.6	46.138999999999996	39.46	35.459	44.24	41.086000000000006	31.427	34.957	36.189
54.84363	38.717	46.193999999999996	39.876999999999995	35.602	44.458	41.268	31.728	35.199	36.071
55.01027	38.619	46.193999999999996	39.976	35.7	44.556000000000004	41.268	31.663	35.264	36.234
