	MG1655-1	PUTR3-1_1	PUTR4-3_1	PUTR5-6_1	PUTR7-7_1	PUTR8-10_1	proV-1	cspC-1	MG1655-2	PUTR3-1_2	PUTR4-3_2	PUTR5-6_2	PUTR7-7_2	PUTR8-10_2	proV-2	cspC-2	MG1655-3	PUTR3-1_3	PUTR4-3_3	PUTR5-6_3	PUTR7-7_3	PUTR8-10_3	proV-3	cspC-3	ptsP-1	wbbK-1	proV_cspC-1	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	ptsP-2	wbbK-2	proV_cspC-2	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	ptsP-3	wbbK-3	proV_cspC-3	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
5.00553	0.355	0.687	0.43200000000000005	1.105	0.451	0.5479999999999999	0.423	0.5539999999999999	0.75	0.161	0.23399999999999999	0.768	0.6940000000000001	0.812	0.35700000000000004	0.484	0.297	0.28300000000000003	0.365	0.877	0.37	0.981	0.735	0.706	0.441	0.42700000000000005	0.589	0.541	0.41600000000000004	0.616	0.40399999999999997	0.203	0.441	0.502	0.687	0.315	0.256	0.40700000000000003	0.267	0.22899999999999998	0.387	0.555	0.457	0.209	0.263	0.13699999999999998	0.35	0.28
5.17214	0.405	0.684	0.456	1.183	0.42100000000000004	0.653	0.474	0.389	0.855	0.266	0.311	0.981	0.799	0.727	0.273	0.39899999999999997	0.429	0.361	0.44299999999999995	0.847	0.368	0.8959999999999999	0.732	0.622	0.43700000000000006	0.423	0.585	0.5379999999999999	0.439	0.667	0.615	0.281	0.38299999999999995	0.39	0.602	0.312	0.252	0.376	0.345	0.226	0.384	0.525	0.588	0.313	0.259	0.16	0.374	0.27699999999999997
5.33893	0.42700000000000005	0.6759999999999999	0.58	1.189	0.6779999999999999	0.691	0.484	0.5589999999999999	0.77	0.258	0.324	0.899	0.629	0.9059999999999999	0.264	0.505	0.373	0.32299999999999995	0.436	0.915	0.43200000000000005	0.91	0.72	0.499	0.49700000000000005	0.504	0.634	0.48100000000000004	0.40299999999999997	0.58	0.6709999999999999	0.19399999999999998	0.435	0.493	0.602	0.265	0.19399999999999998	0.316	0.28600000000000003	0.162	0.374	0.521	0.562	0.302	0.271	0.0	0.28600000000000003	0.29
5.50555	0.48700000000000004	0.5429999999999999	0.444	1.121	0.622	0.688	0.45299999999999996	0.499	0.9129999999999999	0.28800000000000003	0.39799999999999996	0.9079999999999999	0.741	0.934	0.457	0.376	0.409	0.29600000000000004	0.494	0.9690000000000001	0.619	0.991	0.8029999999999999	0.633	0.565	0.48700000000000004	0.885	0.542	0.48700000000000004	0.667	0.643	0.336	0.442	0.44299999999999995	0.6940000000000001	0.389	0.31	0.45799999999999996	0.483	0.109	0.431	0.527	0.54	0.324	0.262	0.20199999999999999	0.345	0.315
5.67228	0.319	0.649	0.499	1.27	0.569	0.718	0.457	0.478	0.8240000000000001	0.23	0.324	0.981	0.6829999999999999	0.96	0.345	0.478	0.34600000000000003	0.32299999999999995	0.46299999999999997	0.9420000000000001	0.677	1.182	0.747	0.58	0.524	0.396	0.797	0.535	0.40299999999999997	0.607	0.617	0.222	0.353	0.384	0.63	0.48200000000000004	0.19399999999999998	0.452	0.205	0.135	0.32	0.466	0.617	0.32899999999999996	0.135	0.055	0.204	0.371
5.83886	0.248	0.5760000000000001	0.478	1.374	0.71	0.693	0.377	0.614	0.919	0.294	0.27	1.079	0.693	0.858	0.327	0.519	0.307	0.221	0.61	1.002	0.7609999999999999	1.079	0.754	0.639	0.491	0.467	0.809	0.631	0.5479999999999999	0.6459999999999999	0.7909999999999999	0.20600000000000002	0.449	0.532	0.7829999999999999	0.479	0.317	0.382	0.272	0.14300000000000002	0.43700000000000006	0.451	0.659	0.387	0.27	0.155	0.324	0.512
6.0056	0.221	0.495	0.478	1.2919999999999998	0.71	0.83	0.45899999999999996	0.8320000000000001	0.81	0.294	0.243	1.161	0.9109999999999999	0.885	0.3	0.46399999999999997	0.389	0.33	0.583	1.084	0.7340000000000001	1.1059999999999999	0.782	0.584	0.409	0.5489999999999999	0.8640000000000001	0.44	0.493	0.755	0.737	0.37	0.449	0.47700000000000004	0.674	0.397	0.262	0.355	0.326	0.11599999999999999	0.382	0.397	0.46799999999999997	0.305	0.106	0.046	0.26899999999999996	0.267
6.17229	0.27399999999999997	0.359	0.508	1.2819999999999998	0.877	0.645	0.41100000000000003	0.649	0.78	0.158	0.2	0.991	0.774	0.9690000000000001	0.436	0.406	0.35700000000000004	0.278	0.473	0.951	0.604	0.973	0.621	0.589	0.37200000000000005	0.406	0.6709999999999999	0.573	0.41200000000000003	0.59	0.635	0.15	0.282	0.39399999999999996	0.47700000000000004	0.44	0.259	0.381	0.188	0.062	0.41100000000000003	0.449	0.55	0.396	0.147	0.09300000000000001	0.214	0.38
6.33902	0.264	0.595	0.607	1.297	0.732	0.8540000000000001	0.457	0.369	0.77	0.23	0.27	1.171	0.8740000000000001	1.069	0.345	0.45	0.34600000000000003	0.16	0.626	1.024	0.948	1.046	0.747	0.6890000000000001	0.49700000000000005	0.586	0.743	0.535	0.512	0.6890000000000001	0.78	0.222	0.462	0.466	0.7659999999999999	0.591	0.249	0.479	0.28600000000000003	0.243	0.537	0.5479999999999999	0.562	0.41100000000000003	0.18899999999999997	0.218	0.36700000000000005	0.507
6.50566	0.309	0.451	0.574	1.337	0.727	0.768	0.345	0.44799999999999995	0.733	0.223	0.306	1.05	0.648	1.035	0.311	0.521	0.308	0.20800000000000002	0.6709999999999999	1.1540000000000001	0.672	1.176	0.687	0.5479999999999999	0.455	0.547	0.76	0.606	0.369	0.653	0.605	0.402	0.34299999999999997	0.429	0.645	0.358	0.32	0.41600000000000004	0.222	0.128	0.449	0.484	0.51	0.282	0.064	0.177	0.332	0.312
