	MG1655-1	rzpD-1	sspA-1	MG1655-2	rzpD-2	sspA-2	MG1655-3	rzpD-3	sspA-3
29.17449	2.4619999999999997	4.005	10.026	2.239	1.7990000000000002	4.939	1.433	0.983	5.37
29.34126	2.369	4.095	9.797	2.313	1.6780000000000002	5.1370000000000005	1.446	0.866	5.182
29.5078	2.434	3.966	9.894	2.248	1.775	5.007	1.511	1.028	5.441
29.67453	2.349	4.21	10.493	2.161	1.883	5.117	1.454	1.069	5.485
29.84123	2.397	4.103	10.415999999999999	2.336	2.0269999999999997	5.1339999999999995	1.368	0.983	5.565
30.00785	2.3080000000000003	4.016	10.523	2.375	1.838	4.785	1.4709999999999999	0.892	5.669
30.17457	2.373	3.8739999999999997	10.385	2.057	1.876	4.914	1.351	0.966	5.2829999999999995
30.34124	2.385	4.118	10.109	2.359	1.692	5.121	1.5219999999999998	0.975	5.747999999999999
30.50788	2.325	4.24	10.333	2.4	1.8630000000000002	5.124	1.34	0.922	5.171
30.67474	2.426	4.181	10.597000000000001	2.501	1.8980000000000001	4.998	1.44	0.9570000000000001	5.466
30.84131	2.276	4.101	10.482999999999999	2.414	1.7790000000000001	5.2379999999999995	1.416	1.031	5.542000000000001
31.00805	2.52	4.435	10.365	2.498	1.992	5.124	1.599	0.922	5.268
31.17463	2.411	4.126	10.221	2.391	1.69	5.273	1.526	0.945	5.646
31.34129	2.609	4.067	10.582	2.394	1.7590000000000001	5.407	1.432	1.045	5.455
31.50809	2.369	4.1930000000000005	10.575	2.508	1.8730000000000002	5.396	1.446	1.028	5.83
31.67475	2.6489999999999996	4.467	10.365	2.141	1.96	5.2860000000000005	1.4380000000000002	1.0190000000000001	5.527
31.84147	2.552	4.467	10.333	2.498	1.798	5.091	1.34	1.051	5.527
32.0082	2.524	4.376	10.37	2.404	1.963	5.193	1.44	1.054	5.531000000000001
32.17472	2.6289999999999996	4.257	10.251	2.443	1.905	5.234	1.608	0.963	5.474
32.34143	2.467	4.582	10.283	2.605	1.905	5.785	1.5430000000000001	1.028	6.025
32.50803	2.645	4.572	10.887	2.553	2.081	5.316	1.36	1.0390000000000001	5.78
32.67481	2.548	4.28	10.401	2.6180000000000003	1.919	5.412999999999999	1.4569999999999999	0.975	5.747999999999999
32.84148	2.548	4.41	9.914	2.521	1.919	5.446000000000001	1.4569999999999999	1.0390000000000001	5.391
33.00816	2.4459999999999997	4.599	10.168	2.5180000000000002	2.0780000000000003	5.797999999999999	1.454	1.069	6.069
33.17496	2.633	4.555	9.867	2.414	1.973	5.53	1.514	1.063	5.769
33.34155	2.8480000000000003	4.421	10.411	2.528	1.926	5.519	1.56	1.045	5.691
33.5084	2.7710000000000004	4.566	10.687999999999999	2.55	1.98	5.539	1.649	1.036	5.647
33.67501	2.673	4.664	10.201	2.647	2.0780000000000003	5.733	1.454	0.972	5.8420000000000005
33.84167	2.702	4.444	10.495999999999999	2.6710000000000003	2.102	5.472	1.734	1.057	5.608
34.00837	2.633	4.782	10.482999999999999	2.641	2.006	5.725	1.449	1.031	5.931
34.17492	2.645	4.507	10.401	2.6510000000000002	1.724	5.511	1.36	1.0390000000000001	5.78
34.34166	2.945	4.6160000000000005	10.475999999999999	2.528	1.828	5.617000000000001	1.528	1.143	6.178
34.50834	2.872	4.962	10.628	2.813	2.081	5.251	1.7169999999999999	1.0390000000000001	5.683
34.67505	2.763	4.555	10.255999999999998	2.705	1.909	5.822	1.449	1.031	5.931
34.84174	2.6489999999999996	5.05	10.267999999999999	2.627	2.089	5.707000000000001	1.6969999999999998	1.051	5.9479999999999995
35.0084	2.677	4.716	10.539000000000001	2.58	2.011	5.837999999999999	1.577	1.063	6.071000000000001
35.17505	2.767	4.834	10.495999999999999	2.476	2.037	6.122000000000001	1.571	1.057	5.966
35.34178	2.762	4.829	10.946	2.635	2.001	5.825	1.568	1.087	5.864
35.50848	2.783	4.908	10.378	2.625	2.12	5.7139999999999995	1.463	1.078	6.047999999999999
35.67519	2.7710000000000004	4.891	10.395999999999999	2.615	1.915	5.831	1.5519999999999998	1.1340000000000001	5.8420000000000005
35.84188	2.787	4.817	10.642999999999999	2.7260000000000004	1.929	5.654	1.53	1.4380000000000002	5.7589999999999995
36.00852	2.957	4.926	10.620999999999999	2.668	2.033	5.63	1.4709999999999999	1.087	5.767
36.17523	2.7539999999999996	4.914	10.610999999999999	2.628	2.189	5.816	1.53	1.048	5.857
36.34182	3.0789999999999997	5.109	10.481	2.661	2.189	5.912999999999999	1.53	1.048	5.987
36.50854	2.97	4.749	10.765999999999998	2.775	2.044	5.837999999999999	1.577	1.258	6.2010000000000005
36.67525	2.9739999999999998	4.819	10.835999999999999	2.779	2.0469999999999997	5.778	1.58	1.1640000000000001	5.912000000000001
36.84193	2.945	5.006	10.93	2.56	2.088	5.909	1.625	1.045	5.983
37.00848	2.7539999999999996	5.012	10.513	2.7260000000000004	2.0909999999999997	5.946000000000001	1.6280000000000001	1.146	6.149
37.17525	2.9610000000000003	5.029	10.918	2.6710000000000003	2.199	5.732	1.5390000000000001	1.187	6.452999999999999
37.34187	2.702	4.899	10.918	2.638	2.037	5.829	1.5390000000000001	1.155	6.096
