	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
10.67222	0.524	3.551	1.7919999999999998	0.851	8.421	0.813	1.064	0.986	0.6459999999999999	3.823	2.8139999999999996	1.248	8.715	0.82	0.846	0.8690000000000001	0.7190000000000001	4.237	2.63	0.966	8.175	0.782	1.0859999999999999	0.743	0.731	0.63	0.659	0.9159999999999999	0.524	0.593	0.716	0.555	0.691	0.6940000000000001	0.589	0.535	0.5489999999999999	0.606	0.607
10.83894	0.6459999999999999	3.784	1.807	0.946	8.876	1.153	1.159	1.0	0.66	4.111000000000001	2.83	1.208	9.279	0.888	0.86	0.9640000000000001	0.625	4.526	2.592	0.98	9.282	0.743	1.0190000000000001	0.873	0.773	0.644	0.6729999999999999	0.985	0.484	0.6609999999999999	0.595	0.569	0.732	0.708	0.66	0.55	0.5379999999999999	0.7020000000000001	0.6759999999999999
11.00576	0.598	3.9210000000000003	2.055	0.925	9.625	1.022	0.976	1.06	0.693	4.409	3.05	1.187	9.541	0.866	0.812	0.863	0.63	4.795	2.73	1.013	9.623	0.883	0.917	0.787	0.7240000000000001	0.595	0.652	0.9079999999999999	0.544	0.6659999999999999	0.708	0.629	0.684	0.606	0.6629999999999999	0.608	0.596	0.652	0.816
11.1723	0.605	4.227	1.9809999999999999	0.932	9.935	0.976	1.064	0.932	0.7	4.743	3.2739999999999996	1.41	10.878	0.955	0.846	0.815	0.637	5.4	3.279	1.101	10.312000000000001	0.782	1.032	0.662	0.677	0.63	0.659	0.9159999999999999	0.551	0.728	0.878	0.7170000000000001	0.799	0.6940000000000001	0.6709999999999999	0.643	0.5489999999999999	0.66	0.769
11.3389	0.544	4.164	2.136	1.006	11.49	1.022	1.138	0.9790000000000001	0.693	4.896	3.6710000000000003	1.43	11.244000000000002	0.785	0.8390000000000001	0.863	0.603	5.525	3.2969999999999997	1.067	10.785	0.802	0.998	0.733	0.8320000000000001	0.622	0.598	1.07	0.517	0.6659999999999999	0.735	0.6559999999999999	0.792	0.66	0.7170000000000001	0.608	0.596	0.652	0.762
11.50563	0.632	4.822	2.387	0.932	11.909	1.057	0.956	1.067	0.7	5.662000000000001	4.004	1.4909999999999999	12.040999999999999	0.9009999999999999	0.846	0.951	0.6920000000000001	6.13	3.576	1.155	11.366	0.782	1.032	0.9329999999999999	0.8390000000000001	0.711	0.6859999999999999	0.997	0.47	0.728	0.716	0.636	0.799	0.667	0.589	0.643	0.604	0.606	0.688
11.67236	0.593	5.077	2.455	0.9740000000000001	12.886	1.018	1.026	0.975	0.634	6.051	4.152	1.506	13.207	0.943	0.8340000000000001	0.966	0.625	6.329	3.7239999999999998	1.17	12.452	0.797	0.993	0.753	0.7190000000000001	0.672	0.647	0.9840000000000001	0.431	0.662	0.784	0.705	0.679	0.736	0.711	0.765	0.6990000000000001	0.728	0.757
11.83907	0.62	5.347	2.698	1.055	14.155999999999999	1.099	1.053	1.056	0.715	6.294	4.746	1.722	14.423	0.889	0.9690000000000001	1.02	0.625	6.922999999999999	4.048	1.305	13.208	0.797	1.02	1.023	0.8270000000000001	0.6990000000000001	0.674	0.9840000000000001	0.539	0.716	0.703	0.732	0.787	0.736	0.657	0.684	0.591	0.647	0.838
12.00559	0.769	5.907	2.984	1.0959999999999999	14.104000000000001	1.0590000000000002	1.148	1.015	0.784	6.801	5.224	1.845	15.319	0.903	1.011	0.899	0.721	7.675	4.364	1.32	14.184000000000001	0.866	1.035	0.9359999999999999	0.733	0.6859999999999999	0.742	1.054	0.527	0.757	0.88	0.746	0.856	0.778	0.6729999999999999	0.7809999999999999	0.7140000000000001	0.77	0.745
12.17247	0.7809999999999999	6.1129999999999995	2.917	1.0270000000000001	15.97	1.045	1.159	1.0270000000000001	0.7140000000000001	7.739	5.619	1.939	16.779	0.915	0.914	0.91	0.733	7.856	4.893	1.413	15.617	0.9590000000000001	1.047	0.9540000000000001	0.8540000000000001	0.6990000000000001	0.754	1.012	0.5379999999999999	0.58	0.757	0.677	0.7859999999999999	0.789	0.741	0.74	0.727	0.7559999999999999	0.757
12.33901	0.805	6.715	3.378	1.023	16.538	1.0959999999999999	1.1	1.022	0.684	8.02	6.546	1.9909999999999999	16.617	0.8320000000000001	0.938	1.069	0.649	8.871	5.25	1.465	16.512	0.93	1.043	0.8270000000000001	0.7709999999999999	0.723	0.778	1.011	0.59	0.6859999999999999	0.863	0.782	0.7559999999999999	0.7859999999999999	0.578	0.657	0.726	0.809	0.782
12.50571	0.748	6.983	3.5380000000000003	1.129	17.808	1.094	1.1520000000000001	0.966	0.763	8.613	6.814	2.287	17.615	0.938	0.963	1.0659999999999998	0.728	9.3	5.925	1.598	17.347	0.8190000000000001	1.122	1.013	0.877	0.748	0.775	1.036	0.669	0.711	0.833	0.752	0.9159999999999999	0.7020000000000001	0.792	0.8170000000000001	0.723	0.78	0.725
12.67235	0.701	7.5089999999999995	4.13	1.082	18.803	1.261	1.107	1.002	0.715	9.293	7.718	2.3169999999999997	19.448	0.97	0.996	0.885	0.706	9.327	6.263999999999999	1.63	18.692	0.878	1.155	0.9420000000000001	0.8	0.6990000000000001	0.755	1.065	0.539	0.743	0.703	0.732	0.787	0.8170000000000001	0.63	0.684	0.753	0.674	0.649
12.83908	0.787	8.354	4.325	1.168	20.192999999999998	1.212	1.111	1.088	0.774	9.706	8.562999999999999	2.511	19.433	0.9740000000000001	1.001	0.971	0.8190000000000001	10.39	6.837999999999999	1.743	19.974	0.883	1.16	0.922	0.805	0.6759999999999999	0.76	1.07	0.598	0.91	0.816	0.818	0.927	0.768	0.7440000000000001	0.77	0.623	0.76	0.897
13.00571	0.875	9.122	4.74	1.2830000000000001	21.455	1.111	1.145	1.067	0.7809999999999999	10.286	9.494	2.6	22.399	0.982	1.062	1.14	0.637	11.457	7.497999999999999	1.831	21.21	0.863	1.113	1.014	0.812	0.765	0.74	1.078	0.6859999999999999	0.728	0.8240000000000001	0.825	0.772	0.748	0.6709999999999999	0.643	0.7120000000000001	0.687	0.823
13.17244	0.861	9.099	4.9910000000000005	1.242	23.551	1.0959999999999999	1.105	1.081	0.767	11.288	10.605	2.773	24.195999999999998	1.075	0.9940000000000001	1.126	0.731	12.106	8.312999999999999	1.9780000000000002	22.414	0.875	1.18	0.938	0.878	0.831	0.888	1.224	0.753	0.821	0.9440000000000001	0.865	0.866	0.815	0.8170000000000001	0.762	0.75	0.8059999999999999	0.8079999999999999
13.33907	0.8170000000000001	10.016	5.644	1.225	25.23	1.16	1.1159999999999999	1.065	0.75	12.094000000000001	12.329	3.052	25.011	0.977	1.058	1.083	0.687	12.775	9.446	2.0140000000000002	23.851	0.912	1.163	0.9670000000000001	0.888	0.76	0.79	1.044	0.601	0.858	0.846	0.767	0.903	0.7440000000000001	0.69	0.6629999999999999	0.6779999999999999	0.7340000000000001	0.818
13.50571	0.8270000000000001	10.761	6.143	1.3969999999999998	25.96	1.197	1.179	1.182	0.922	12.409	13.184000000000001	3.2239999999999998	26.092	0.987	1.068	1.092	0.778	13.549000000000001	10.569	2.187	25.444000000000003	1.03	1.092	1.252	0.898	0.662	0.8	1.217	0.665	0.733	0.802	0.804	0.9129999999999999	0.8079999999999999	0.728	0.782	0.77	0.745	0.882
13.67247	0.8340000000000001	11.719000000000001	6.936	1.431	27.495	1.204	1.105	1.324	0.794	13.854000000000001	14.764000000000001	3.5839999999999996	28.545	1.129	1.048	1.045	0.731	15.293	11.689	2.302	26.006	0.929	1.315	1.1540000000000001	0.8240000000000001	0.777	0.726	1.143	0.591	0.74	0.9440000000000001	0.8109999999999999	0.866	0.7609999999999999	0.573	0.627	0.75	0.752	0.889
13.83922	0.741	12.155999999999999	7.6739999999999995	1.392	29.319000000000003	1.192	1.2819999999999998	1.123	0.863	13.965	16.412	4.056	30.665	1.117	1.1440000000000001	1.114	0.8	15.779000000000002	12.908	2.505	28.155	0.9440000000000001	1.141	1.244	0.9740000000000001	0.8190000000000001	0.741	1.2109999999999999	0.579	0.863	0.932	1.015	0.935	0.8029999999999999	0.695	0.83	0.764	0.8740000000000001	0.877
14.00578	0.9279999999999999	12.907	8.102	1.4980000000000002	30.336	1.2429999999999999	1.172	1.256	0.861	15.66	17.756	4.053	30.063000000000002	0.9790000000000001	1.088	1.085	0.851	16.476	14.792	2.6919999999999997	30.035999999999998	1.238	1.139	0.998	0.971	0.762	0.7390000000000001	1.209	0.604	0.8059999999999999	0.794	0.932	0.9059999999999999	0.747	0.773	0.6659999999999999	0.735	0.818	0.82
14.17243	0.945	13.94	9.22	1.6230000000000002	32.568000000000005	1.2329999999999999	1.3519999999999999	1.139	0.851	16.879	19.459	4.553	33.400999999999996	1.131	1.159	1.157	0.7609999999999999	17.047	16.146	2.87	32.241	0.985	1.129	1.146	0.934	0.752	0.81	1.2790000000000001	0.5670000000000001	0.85	0.866	0.841	0.977	0.818	0.7090000000000001	0.682	0.8059999999999999	0.7809999999999999	0.945
14.33906	0.9279999999999999	14.769	10.504000000000001	1.659	34.491	1.2429999999999999	1.253	1.256	0.8340000000000001	17.44	21.910999999999998	5.212999999999999	36.619	1.141	1.222	1.166	0.851	18.472	17.868	3.042	34.757	1.157	1.327	1.133	0.89	0.762	0.82	1.29	0.685	0.8059999999999999	0.794	0.878	0.987	0.99	0.7190000000000001	0.774	0.816	0.872	0.9009999999999999
14.50575	0.948	15.671	12.163	1.895	34.869	1.182	1.246	1.141	0.826	18.61	23.779	5.957999999999999	35.81	1.053	1.242	1.159	0.763	19.695	19.9	3.358	35.861999999999995	0.907	1.212	1.122	0.883	0.755	0.894	1.2819999999999998	0.731	0.853	0.841	0.924	0.9790000000000001	0.713	0.792	0.82	0.754	0.945	0.948
14.67256	0.745	17.337	12.594000000000001	1.9609999999999999	35.569	1.248	1.179	1.1540000000000001	0.8390000000000001	19.976	25.651	6.612	34.489000000000004	1.2	1.228	1.145	0.775	21.086	21.101999999999997	3.637	36.318000000000005	0.973	1.2790000000000001	1.047	1.002	0.74	0.799	1.401	0.7440000000000001	0.865	0.746	0.91	0.992	0.941	0.83	0.723	0.7929999999999999	0.848	0.879
14.83915	0.857	17.347	14.947000000000001	1.993	35.668	1.172	1.399	1.321	0.898	20.741999999999997	27.174	7.4270000000000005	35.423	1.124	1.3130000000000002	1.15	0.78	20.883000000000003	23.162	4.047	35.986999999999995	1.166	1.364	1.054	0.873	0.718	0.857	1.406	0.6409999999999999	0.627	0.858	0.8340000000000001	0.997	0.892	0.755	0.809	0.7170000000000001	0.8540000000000001	0.884
15.00585	0.8440000000000001	18.81	16.137	2.089	35.966	1.349	1.3319999999999999	1.254	0.831	22.263	26.544	8.716000000000001	36.61	1.112	1.22	1.217	0.795	23.51	24.875	4.361000000000001	35.719	0.993	1.406	1.075	1.103	0.76	0.8170000000000001	1.449	0.655	0.885	0.927	0.929	1.092	0.7979999999999999	0.852	0.7440000000000001	0.759	0.7879999999999999	0.872
15.17256	1.0190000000000001	19.53	17.425	2.208	36.260999999999996	1.28	1.345	1.24	0.8170000000000001	22.871	21.947	9.529	37.336	1.178	1.286	1.203	0.915	24.250999999999998	28.039	4.828	36.525999999999996	1.22	1.31	1.1079999999999999	0.9540000000000001	0.718	0.857	1.4869999999999999	0.6679999999999999	0.843	0.831	0.861	0.97	0.8109999999999999	0.862	0.7559999999999999	0.7170000000000001	0.8540000000000001	1.018
15.33919	0.735	20.894000000000002	19.68	2.354	35.856	1.2109999999999999	1.6	1.28	0.991	23.531	19.352	10.904000000000002	36.391	1.082	1.3519999999999999	1.082	0.9	23.697	28.45	5.428999999999999	37.465	1.043	1.2690000000000001	1.167	1.1	0.8109999999999999	0.87	1.39	0.653	0.909	0.897	0.981	1.036	0.851	0.765	0.821	0.7290000000000001	0.865	0.922
15.50588	0.897	22.482	21.456	2.543	35.21	1.2109999999999999	1.25	1.361	0.9640000000000001	24.903000000000002	19.998	11.9	35.288000000000004	1.163	1.379	1.189	0.7390000000000001	25.662	24.601999999999997	6.021	36.926	1.07	1.215	1.167	1.1	0.73	0.87	1.578	0.7879999999999999	0.828	0.978	0.9009999999999999	0.982	0.878	0.8190000000000001	0.74	0.782	0.919	0.8420000000000001
15.6726	0.997	22.651	22.513	2.696	35.075	1.2570000000000001	1.297	1.354	0.742	26.119	21.217	12.559000000000001	34.938	1.263	1.3719999999999999	1.182	0.812	27.119	20.09	6.602	36.172	1.143	1.3419999999999999	1.022	1.012	0.938	0.782	1.382	0.7809999999999999	0.74	0.971	0.894	1.0290000000000001	1.005	0.8109999999999999	0.732	0.882	0.83	0.915
15.83929	0.885	23.605	25.322	2.9330000000000003	35.46	1.3330000000000002	1.4269999999999998	1.295	0.871	26.293000000000003	22.011	14.19	35.673	1.097	1.421	1.3119999999999998	0.8340000000000001	28.26	20.266	7.671	36.153	1.273	1.499	1.149	0.9259999999999999	0.852	0.858	1.619	0.7759999999999999	0.977	1.02	0.889	1.051	0.785	0.725	0.7809999999999999	0.85	0.986	0.937
16.00598	0.903	24.68	27.658	3.217	35.048	1.3230000000000002	1.472	1.179	0.862	26.909000000000002	22.764	16.265	35.233000000000004	1.3019999999999998	1.4380000000000002	1.249	0.8240000000000001	28.766	21.180999999999997	8.543	36.143	1.209	1.516	1.001	0.835	0.8420000000000001	0.8490000000000001	1.527	0.7659999999999999	0.8859999999999999	0.929	0.96	1.095	0.937	0.8220000000000001	0.797	0.759	0.8420000000000001	0.98
16.17269	0.973	24.728	27.953000000000003	3.3169999999999997	34.923	1.475	1.4069999999999998	1.3559999999999999	0.878	30.215	23.563000000000002	18.212	35.054	1.238	1.536	1.185	0.895	30.543000000000003	22.624000000000002	9.376	35.912	1.119	1.452	1.348	0.934	0.8059999999999999	0.919	1.6269999999999998	0.7290000000000001	1.011	0.8390000000000001	0.8959999999999999	1.139	0.927	0.841	0.708	0.804	0.9940000000000001	0.998
16.33919	0.905	27.346999999999998	24.065	3.596	34.036	1.2990000000000002	1.3659999999999999	1.181	0.972	31.215	24.087	19.199	35.242	1.2229999999999999	1.494	1.225	0.8270000000000001	32.187	22.128	10.75	35.883	1.104	1.4909999999999999	1.165	0.972	0.764	0.8240000000000001	1.557	0.634	0.8079999999999999	1.012	0.828	1.0979999999999999	0.8320000000000001	0.825	0.8	0.8420000000000001	0.925	0.983
16.50595	0.871	28.345	19.614	3.964	34.681	1.3719999999999999	1.4669999999999999	1.335	0.8029999999999999	31.781	24.497	20.498	34.705	1.3769999999999998	1.594	1.218	0.9	31.758000000000003	23.048000000000002	12.106	35.506	1.2570000000000001	1.591	1.235	1.045	0.838	0.8440000000000001	1.5490000000000002	0.708	0.882	0.924	0.821	1.09	0.932	0.8170000000000001	0.792	0.835	0.89	0.922
16.6727	0.836	30.154	19.904	4.525	34.887	1.23	1.324	1.354	0.8759999999999999	32.681	24.525	22.295	34.615	1.3969999999999998	1.6680000000000001	1.156	0.893	33.816	24.42	13.165	34.935	1.197	1.504	1.156	0.904	0.857	0.997	1.705	0.727	0.9009999999999999	0.836	0.894	1.137	0.843	0.731	0.9740000000000001	0.882	0.857	0.8340000000000001
16.83934	0.857	30.253	21.143	4.928999999999999	34.806	1.361	1.587	1.375	1.0590000000000002	33.405	24.291	22.838	34.345	1.2590000000000001	1.69	1.2570000000000001	0.9420000000000001	34.056999999999995	25.129	15.147	34.963	1.247	1.6340000000000001	1.054	1.088	0.88	0.884	1.675	0.9640000000000001	0.951	0.993	0.915	1.212	1.107	0.835	0.809	0.9590000000000001	1.042	1.045
17.00598	1.0	33.013000000000005	22.008000000000003	5.335	34.654	1.314	1.569	1.195	0.878	33.766	24.29	25.448	34.463	1.3459999999999999	1.67	1.239	0.815	34.444	25.395	16.612000000000002	35.374	1.227	1.614	0.9990000000000001	1.014	0.887	0.919	1.7069999999999999	0.7829999999999999	1.011	0.973	0.977	1.139	0.927	0.895	0.815	0.804	0.9940000000000001	0.917
17.17267	0.871	33.580999999999996	22.46	5.978	35.111	1.452	1.413	1.2009999999999998	0.937	33.849000000000004	24.791999999999998	25.465	34.222	1.3769999999999998	1.755	1.298	0.7929999999999999	33.262	25.035	18.793	35.936	1.204	1.565	1.074	1.045	0.8640000000000001	0.978	1.764	0.7609999999999999	0.9620000000000001	0.871	0.875	1.09	0.905	0.87	0.765	0.862	0.917	0.841
17.33934	1.058	32.842	23.528000000000002	6.983	34.16	1.426	1.735	1.4680000000000002	1.045	34.321999999999996	24.706999999999997	25.274	34.319	1.405	1.702	1.2429999999999999	0.7659999999999999	35.134	24.925	19.583	34.37	1.3119999999999998	1.699	1.409	1.181	0.8109999999999999	0.87	1.901	0.7340000000000001	0.9359999999999999	0.951	1.008	1.198	0.797	0.927	0.794	0.809	0.919	1.03
17.50604	1.073	33.593	23.918000000000003	7.354	33.89	1.4409999999999998	1.614	1.321	1.0590000000000002	35.21	24.183000000000003	22.838	33.833	1.501	1.771	1.203	0.78	34.219	24.805999999999997	21.909000000000002	35.016999999999996	1.382	2.0380000000000003	1.216	1.034	0.88	0.884	1.891	0.802	0.924	0.858	0.996	1.212	0.946	0.835	0.89	0.9059999999999999	0.934	0.857
17.67269	0.9179999999999999	33.161	24.748	8.605	32.838	1.5030000000000001	1.54	1.382	0.932	33.62	24.878	21.51	34.21	1.4280000000000002	1.8330000000000002	1.183	0.7609999999999999	34.489000000000004	25.581999999999997	22.522	34.047	1.3090000000000002	1.641	1.146	1.015	0.887	0.8909999999999999	1.818	0.7290000000000001	0.958	0.973	0.9490000000000001	1.22	0.953	0.871	0.763	0.9670000000000001	0.9420000000000001	0.945
17.83937	1.08	33.498000000000005	24.779	9.908	33.228	1.556	1.515	1.383	0.878	33.927	24.236	21.118000000000002	33.467	1.669	1.886	1.4	0.8420000000000001	35.304	24.427	23.391	33.868	1.5490000000000002	1.775	1.2409999999999999	1.068	0.941	0.946	2.057	0.8640000000000001	0.9309999999999999	1.054	0.8959999999999999	1.22	0.846	0.841	0.815	0.804	0.9940000000000001	0.998
18.00601	0.857	33.836	25.185	10.722000000000001	33.755	1.495	1.6680000000000001	1.402	0.925	34.213	24.101999999999997	21.491	33.833	1.5819999999999999	1.9869999999999999	1.284	1.023	34.192	24.833000000000002	25.008000000000003	33.481	1.328	1.715	1.189	1.034	0.88	0.884	1.972	0.802	1.005	1.047	0.9420000000000001	1.374	0.946	0.835	0.917	0.879	1.042	0.857
18.17277	0.84	33.008	25.294	11.979000000000001	33.79	1.505	1.624	1.411	0.988	34.033	24.723000000000003	22.514	33.302	1.619	1.9969999999999999	1.348	0.871	33.931	25.023000000000003	26.627	34.541	1.311	1.913	1.23	1.0979999999999999	0.971	0.9740000000000001	2.064	0.8390000000000001	0.934	0.868	1.0859999999999999	1.3840000000000001	0.8740000000000001	1.008	0.82	0.8079999999999999	1.026	0.894
18.33929	0.98	33.846	24.961	13.472999999999999	34.788000000000004	1.5090000000000001	1.683	1.3090000000000002	1.047	33.442	24.176	22.724	32.928000000000004	1.784	2.055	1.192	0.8490000000000001	32.963	24.851	26.049	33.814	1.45	1.8630000000000002	1.251	1.022	1.0290000000000001	0.9259999999999999	2.2	0.8170000000000001	1.1	0.981	0.93	1.3619999999999999	1.095	0.983	0.823	0.866	1.002	0.925
18.50609	0.94	33.818000000000005	24.653000000000002	14.957	32.982	1.4980000000000002	1.913	1.296	0.981	32.821	24.217	23.195	32.521	1.7730000000000001	2.043	1.34	0.8640000000000001	35.036	25.081999999999997	23.29	33.732	1.546	2.04	1.381	0.929	1.044	1.048	2.136	0.8859999999999999	1.088	1.13	0.863	1.3219999999999998	0.948	0.919	0.812	0.8270000000000001	1.153	0.8859999999999999
18.67272	0.9059999999999999	33.064	25.063000000000002	16.423	33.118	1.8130000000000002	1.8519999999999999	1.2890000000000001	0.92	33.495	24.25	24.305999999999997	33.358000000000004	1.8459999999999999	2.1430000000000002	1.4140000000000001	0.8290000000000001	35.251999999999995	24.145	20.765	32.925	1.484	2.06	1.4240000000000002	1.083	0.982	0.96	2.209	0.878	1.0	0.988	0.91	1.369	0.968	0.83	0.912	0.82	1.091	0.879
18.83952	0.9570000000000001	32.501999999999995	24.54	17.097	32.503	1.516	1.93	1.393	0.9440000000000001	34.311	23.671	24.537	32.365	1.818	2.2230000000000003	1.276	0.8809999999999999	33.643	24.215	21.125	32.876999999999995	1.51	1.9240000000000002	1.163	1.109	0.981	0.903	2.345	0.93	0.9440000000000001	1.148	1.015	1.421	0.992	0.938	0.9109999999999999	0.9259999999999999	1.171	0.985
19.00615	0.888	32.842	25.006999999999998	19.042	33.599000000000004	1.8519999999999999	1.942	1.486	1.037	32.951	23.435	25.166	32.327	1.804	2.3169999999999997	1.396	0.812	34.012	24.493000000000002	22.237	33.569	1.577	2.0709999999999997	1.344	1.148	1.074	0.9690000000000001	2.575	0.861	1.037	1.025	1.0270000000000001	1.433	0.8959999999999999	0.8170000000000001	0.789	0.9390000000000001	1.185	0.997
19.17283	0.935	33.086	24.985	19.295	32.952	1.629	1.935	1.344	0.868	32.979	24.063000000000002	25.711	33.003	1.824	2.31	1.389	0.94	33.904	24.229	23.594	32.814	1.84	2.0909999999999997	1.09	1.06	1.013	0.8809999999999999	2.5660000000000003	0.8270000000000001	1.03	0.991	1.02	1.48	0.9159999999999999	0.943	0.863	0.932	1.177	0.909
19.33949	0.9520000000000001	32.135	24.796	21.429000000000002	32.080999999999996	1.699	2.033	1.254	0.9390000000000001	33.025	23.9	25.925	32.564	1.8940000000000001	2.461	1.514	1.092	34.758	24.066	23.728	32.59	1.7209999999999999	2.215	1.237	1.05	1.057	0.9790000000000001	2.582	0.898	1.02	1.008	1.1179999999999999	1.47	1.041	0.7979999999999999	0.7440000000000001	0.813	1.058	1.033
19.50613	0.955	33.303000000000004	25.045	22.351999999999997	32.683	1.837	2.116	1.5530000000000002	0.995	32.98	23.314	25.771	32.68	2.032	2.625	1.382	1.013	32.635999999999996	24.37	24.355999999999998	32.95	1.67	2.218	1.403	1.1059999999999999	1.0859999999999999	0.982	2.504	0.981	1.13	1.253	1.04	1.472	1.07	0.8	0.855	0.924	1.115	1.1440000000000001
19.67284	1.114	33.106	25.226999999999997	23.802	31.596	1.699	1.952	1.55	0.9390000000000001	33.106	23.739	26.141	33.805	1.8940000000000001	2.542	1.3519999999999999	0.795	33.705999999999996	23.85	25.076999999999998	32.941	1.8559999999999999	2.242	1.399	1.103	1.003	0.9790000000000001	2.6630000000000003	0.8170000000000001	0.966	1.143	1.01	1.551	1.068	0.879	1.014	0.759	1.247	0.953
19.83961	0.8640000000000001	32.945	24.451	24.726	32.137	1.9609999999999999	2.1069999999999998	1.489	0.932	31.76	23.611	25.58	31.649	2.021	2.615	1.453	0.7879999999999999	32.601	23.29	24.948	32.429	1.848	2.2880000000000003	1.442	1.123	1.13	1.026	2.654	0.8909999999999999	1.1740000000000002	1.081	1.003	1.57	1.115	0.951	0.8170000000000001	0.9129999999999999	1.185	0.972
20.00619	1.249	32.351	24.634	23.695	31.947	1.834	2.141	1.416	0.912	32.486	23.334	25.925	31.755	2.11	2.65	1.433	1.011	32.385	24.47	26.156	33.345	1.7480000000000002	2.458	1.48	1.2109999999999999	1.245	0.9790000000000001	2.986	0.9790000000000001	1.181	1.331	0.956	1.632	1.068	0.879	0.9329999999999999	0.9209999999999999	1.247	1.033
20.17283	0.8220000000000001	32.556	25.052	21.980999999999998	31.424	1.974	2.119	1.393	0.9440000000000001	32.233000000000004	22.754	26.048000000000002	32.608000000000004	2.2230000000000003	2.898	1.4380000000000002	0.935	32.618	23.378	25.766	32.608000000000004	1.861	2.463	1.406	1.216	1.17	0.903	3.073	0.93	1.1059999999999999	1.067	1.015	1.6640000000000001	1.208	0.857	0.857	0.899	1.171	1.0659999999999998
20.33968	0.883	32.663000000000004	25.344	20.38	31.719	2.063	2.234	1.4	1.032	32.691	23.285999999999998	25.503	31.635	2.123	2.9330000000000003	1.6880000000000002	0.888	33.967	23.723000000000003	25.761	33.147	1.8419999999999999	2.417	1.39	1.062	1.15	0.9640000000000001	3.2439999999999998	1.018	0.978	1.155	1.022	1.6440000000000001	1.053	0.973	0.865	0.826	1.125	0.965
20.50624	1.05	33.382	24.601	21.041	31.654	2.069	2.293	1.324	1.01	33.707	23.084	25.921999999999997	31.705	2.318	2.858	1.45	0.893	32.958	24.195	26.423000000000002	32.165	2.1719999999999997	2.72	1.262	1.121	1.182	0.996	3.304	0.996	1.064	1.187	1.1079999999999999	1.595	1.004	0.9790000000000001	0.951	1.02	1.212	0.997
20.67291	1.03	32.137	24.351999999999997	21.491999999999997	31.651999999999997	2.049	2.3819999999999997	1.439	1.0170000000000001	32.463	23.266	26.079	32.135999999999996	2.326	3.109	1.403	0.982	32.687	23.595	26.715999999999998	32.677	2.0180000000000002	2.485	1.517	1.129	1.19	1.084	3.638	1.031	1.045	1.114	1.034	1.7380000000000002	1.011	0.879	0.932	1.001	1.382	1.0859999999999999
20.83967	0.963	32.675	24.718000000000004	21.612	31.189	2.011	2.316	1.534	0.978	33.029	23.09	25.554000000000002	31.320999999999998	2.505	3.207	1.472	0.9690000000000001	32.685	23.988000000000003	26.246	31.81	2.1959999999999997	2.906	1.4569999999999999	1.225	1.205	1.18	3.602	1.018	1.087	1.102	0.968	1.916	1.107	0.976	0.894	0.9359999999999999	1.317	1.074
21.00619	1.141	31.875999999999998	24.980999999999998	22.607	31.174	2.214	2.411	1.5219999999999998	1.02	32.201	23.462	26.627	31.982	2.545	3.247	1.568	0.903	32.074	24.304000000000002	26.534000000000002	32.955999999999996	2.102	2.92	1.2770000000000001	1.159	1.274	1.006	3.722	0.871	1.074	1.1159999999999999	0.983	1.903	1.014	1.071	0.8809999999999999	0.8690000000000001	1.3840000000000001	0.98
21.17302	1.217	32.628	24.691999999999997	23.018	31.816999999999997	2.184	2.434	1.462	0.961	32.061	24.037	26.340999999999998	32.248000000000005	2.597	3.3810000000000002	1.589	0.9790000000000001	33.397	24.041999999999998	27.359	31.951999999999998	2.126	2.863	1.391	1.1	1.1340000000000001	1.1079999999999999	4.129	1.028	1.151	1.274	1.14	2.0069999999999997	1.117	0.825	0.8240000000000001	0.892	1.382	1.084
21.33965	1.229	31.991999999999997	24.863000000000003	23.486	32.239000000000004	2.117	2.6630000000000003	1.528	0.973	31.914	23.285	25.89	31.775	2.665	3.5580000000000003	1.656	0.938	31.869	24.131	27.315	31.724	2.384	3.094	1.328	1.249	1.2830000000000001	1.093	4.227	1.149	1.083	1.2329999999999999	1.1520000000000001	1.966	1.129	0.9470000000000001	0.8909999999999999	0.905	1.422	1.043
21.50638	0.993	31.844	24.725	25.081999999999997	31.982	2.23	2.589	1.455	1.034	32.117	23.015	25.994	31.329	2.778	3.535	1.501	1.161	31.936	23.724	26.171999999999997	32.089	2.226	3.017	1.4340000000000002	1.3090000000000002	1.3430000000000002	1.101	4.526	1.048	1.008	1.2670000000000001	1.213	2.162	1.082	0.925	0.951	0.966	1.455	1.023
