	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	relA-1	purT-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	relA-2	purT-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	relA-3	purT-3	fabR-1	yfgF-1	metJ_relA-1	metJ_purT-1	relA_purT-1	metJ_acrB-1	fabR_yfgF-1	fabR-2	yfgF-2	metJ_relA-2	metJ_purT-2	relA_purT-2	metJ_acrB-2	fabR_yfgF-2	fabR-3	yfgF-3	metJ_relA-3	metJ_purT-3	relA_purT-3	metJ_acrB-3	fabR_yfgF-3
5.17192	1.3430000000000002	1.103	0.336	6.085	5.266	0.8029999999999999	0.715	0.649	0.38	0.32299999999999995	0.344	6.752000000000001	2.432	0.7909999999999999	0.297	0.674	0.6779999999999999	0.21100000000000002	0.331	4.473	2.171	1.3980000000000001	0.483	1.117	0.395	0.5529999999999999	0.597	0.762	0.569	0.674	0.77	0.625	0.45299999999999996	0.728	1.147	0.56	1.18	0.982	0.915	0.44	0.613	1.324	0.452	0.799	0.7829999999999999
5.33853	1.286	1.037	0.26	6.86	6.09	0.871	0.677	1.061	0.466	0.317	0.145	6.9879999999999995	2.594	0.9540000000000001	0.392	0.784	0.6659999999999999	0.235	0.331	5.103	2.7680000000000002	1.5759999999999998	0.597	1.004	0.5720000000000001	0.6940000000000001	0.77	0.727	0.615	0.6920000000000001	0.912	0.685	0.5539999999999999	0.611	1.2	0.579	1.2409999999999999	1.119	0.591	0.584	0.66	1.319	0.41200000000000003	0.757	0.9440000000000001
5.50524	1.3730000000000002	1.242	0.32799999999999996	7.454	6.858	0.995	0.826	1.242	0.54	0.365	0.204	7.952000000000001	3.082	0.903	0.446	0.7020000000000001	0.888	0.324	0.191	5.67	2.855	1.631	0.627	1.12	0.529	0.753	0.657	0.703	0.593	0.784	1.084	0.6	0.662	0.5870000000000001	1.175	0.5	1.156	0.953	2.417	0.5	0.61	1.409	0.391	0.737	0.894
5.67206	1.4069999999999998	1.393	0.255	7.995	8.225	0.8079999999999999	0.863	1.031	0.59	0.305	0.096	8.549	3.46	0.996	0.561	0.738	0.688	0.303	0.254	5.928	3.484	1.7469999999999999	0.6890000000000001	1.182	0.578	0.7879999999999999	0.775	0.825	0.66	0.7090000000000001	1.1179999999999999	0.6609999999999999	0.8029999999999999	0.48	1.24	0.45299999999999996	1.359	1.244	0.638	0.47600000000000003	0.762	1.416	0.43	0.72	0.96
5.8386	1.337	1.597	0.389	8.624	9.56	0.9440000000000001	0.8390000000000001	1.158	0.5870000000000001	0.435	0.225	9.265	3.753	1.031	0.647	0.8909999999999999	0.639	0.256	0.069	6.723	3.8739999999999997	1.858	0.677	1.198	0.609	0.802	0.623	0.718	0.633	0.852	1.048	0.652	0.84	0.49	1.392	0.541	1.436	1.226	0.78	0.608	0.679	1.625	0.48700000000000004	0.917	1.1059999999999999
6.00525	1.51	1.723	0.33299999999999996	9.087	10.764000000000001	1.056	0.8540000000000001	1.2670000000000001	0.573	0.289	0.0	9.499	4.556	1.128	0.5760000000000001	1.011	0.6729999999999999	0.349	0.18600000000000003	7.021	4.72	2.046	0.649	1.255	0.7290000000000001	0.72	0.763	0.8440000000000001	0.708	0.9259999999999999	1.1059999999999999	0.706	0.873	0.583	1.6540000000000001	0.557	1.29	1.234	2.16	0.606	0.61	1.746	0.534	0.966	1.12
6.17199	1.4069999999999998	1.755	0.294	9.715	11.847000000000001	1.104	0.9109999999999999	1.6440000000000001	0.5920000000000001	0.3	0.125	10.128	4.877	0.961	0.48700000000000004	1.048	0.932	0.32799999999999996	0.31	7.672999999999999	5.395	2.011	0.662	1.354	0.67	0.8440000000000001	0.664	0.8190000000000001	0.8490000000000001	0.755	1.175	0.892	0.792	0.562	1.5490000000000002	0.585	1.5330000000000001	1.383	1.3659999999999999	0.5920000000000001	0.638	1.696	0.475	0.934	1.036
6.33864	1.473	1.909	0.452	10.23	12.959000000000001	1.204	0.895	1.4680000000000002	0.677	0.529	0.276	10.785	5.399	1.285	0.521	0.9440000000000001	0.8220000000000001	0.253	0.20600000000000002	8.302999999999999	6.055	2.16	0.642	1.4480000000000002	0.6679999999999999	0.8540000000000001	0.6729999999999999	0.9440000000000001	0.7759999999999999	0.9670000000000001	1.242	0.872	0.8809999999999999	0.629	1.6159999999999999	0.513	1.4280000000000002	1.308	0.696	0.5720000000000001	0.6509999999999999	1.9340000000000002	0.488	0.976	1.162
6.50528	1.714	2.35	0.32799999999999996	11.261	14.585999999999999	1.2790000000000001	0.826	1.355	0.7390000000000001	0.337	0.261	12.242	6.265	1.357	0.617	1.015	0.888	0.29600000000000004	0.305	8.738	7.287000000000001	2.256	0.7120000000000001	1.347	0.643	0.924	0.799	0.846	0.821	1.068	1.311	0.742	0.946	0.615	1.857	0.585	1.4680000000000002	1.464	0.6559999999999999	0.67	0.638	2.005	0.47600000000000003	1.0490000000000002	1.234
6.67208	1.6969999999999998	2.701	0.42100000000000004	12.13	15.314	1.258	0.977	1.518	0.728	0.467	0.272	12.287	7.215	1.2819999999999998	0.716	1.111	0.9309999999999999	0.306	0.316	9.805	8.211	2.44	0.61	1.615	0.8320000000000001	0.935	0.8109999999999999	0.856	0.773	1.0490000000000002	1.351	0.7829999999999999	0.847	0.626	2.01	0.5660000000000001	1.5090000000000001	1.56	0.608	0.597	0.619	2.101	0.4	0.973	1.273
