	MG1655-1	IBUA2-9_1	IBUA5-6_1	IBUA7-9_1	IBUA8-3_1	pykF-1	rpoS-1	yobF-1	MG1655-2	IBUA2-9_2	IBUA5-6_2	IBUA7-9_2	IBUA8-3_2	pykF-2	rpoS-2	yobF-2	MG1655-3	IBUA2-9_3	IBUA5-6_1dup	IBUA7-9_3	IBUA8-3_3	pykF-3	rpoS-3	yobF-3	pykF_rpoS-1	pykF_yobF-1	pykF_rpoS_yobF-1	pykF_rpoS-2	pykF_yobF-2	pykF_rpoS_yobF-2	pykF_rpoS-3	pykF_yobF-3	pykF_rpoS_yobF-3
7.33896	0.525	0.11599999999999999	0.371	0.153	0.27399999999999997	1.036	0.7979999999999999	0.326	4.18	0.308	0.369	0.255	0.078	0.153	0.675	0.122	0.249	0.20600000000000002	0.11199999999999999	0.022000000000000002	0.235	0.534	0.243	0.345	2.147	0.379	0.524	0.599	0.353	0.657	0.81	0.154	0.56
7.50553	0.355	0.078	0.466	0.193	0.341	0.973	0.867	0.369	4.157	0.163	0.249	0.188	0.2	0.142	0.775	0.195	0.354	0.307	0.155	0.11800000000000001	0.304	0.552	0.207	0.586	2.009	0.322	0.705	0.537	0.235	0.6759999999999999	0.907	0.14400000000000002	0.5770000000000001
7.6722	0.379	0.129	0.35600000000000004	0.272	0.33899999999999997	1.051	0.946	0.42	4.125	0.24100000000000002	0.327	0.159	0.035	0.139	0.799	0.192	0.35	0.033	0.071	0.19699999999999998	0.301	0.46799999999999997	0.204	0.528	2.168	0.48	0.621	0.534	0.23199999999999998	0.835	0.9309999999999999	0.222	0.628
7.83898	0.48	0.09	0.451	0.204	0.406	1.15	0.88	0.382	4.236000000000001	0.203	0.342	0.17300000000000001	0.21100000000000002	0.23600000000000002	0.898	0.292	0.374	0.133	0.141	0.185	0.34299999999999997	0.703	0.195	0.445	2.1919999999999997	0.341	0.5589999999999999	0.5529999999999999	0.222	0.691	0.9470000000000001	0.266	0.564
8.0056	0.408	0.098	0.45799999999999996	0.292	0.304	1.077	1.05	0.308	4.252	0.293	0.24100000000000002	0.261	0.11	0.162	0.799	0.166	0.278	0.08900000000000001	0.17600000000000002	0.382	0.32299999999999995	0.7929999999999999	0.204	0.539	2.258	0.596	0.65	0.589	0.231	0.782	0.927	0.247	0.654
8.17225	0.446	0.139	0.527	0.281	0.402	1.2790000000000001	0.956	0.349	4.253	0.252	0.391	0.331	0.18	0.23	0.946	0.069	0.447	0.316	0.217	0.369	0.392	0.778	0.27	0.46399999999999997	2.157	0.523	0.7959999999999999	0.628	0.217	0.82	0.86	0.233	0.585
8.33899	0.355	0.078	0.52	0.355	0.395	1.0270000000000001	1.0290000000000001	0.45	4.319	0.271	0.303	0.324	0.17300000000000001	0.223	0.883	0.276	0.327	0.14400000000000002	0.209	0.415	0.466	0.688	0.18	0.451	2.226	0.43	0.759	0.672	0.20800000000000002	0.838	0.907	0.306	0.631
8.50569	0.373	0.07	0.45899999999999996	0.349	0.389	1.126	1.022	0.33399999999999996	4.223	0.235	0.295	0.397	0.031	0.215	0.9279999999999999	0.105	0.369	0.10800000000000001	0.201	0.408	0.486	0.759	0.198	0.41200000000000003	2.241	0.47200000000000003	0.912	0.7440000000000001	0.308	1.126	0.9259999999999999	0.298	0.731
8.67229	0.46	0.129	0.38299999999999995	0.353	0.285	0.889	0.973	0.366	4.287	0.268	0.327	0.348	0.171	0.166	0.853	0.192	0.35	0.276	0.233	0.521	0.409	0.7659999999999999	0.285	0.528	2.086	0.588	0.8640000000000001	0.669	0.368	0.835	0.904	0.384	0.628
8.83886	0.381	0.098	0.377	0.48200000000000004	0.413	1.077	1.077	0.389	4.279	0.34700000000000003	0.322	0.451	0.218	0.0	0.9890000000000001	0.32899999999999996	0.386	0.22399999999999998	0.257	0.544	0.405	0.902	0.231	0.457	2.285	0.542	0.866	0.589	0.39299999999999996	0.998	0.927	0.247	0.6809999999999999
9.00559	0.332	0.17800000000000002	0.42700000000000005	0.64	0.38	0.998	1.265	0.41600000000000004	4.4110000000000005	0.456	0.51	0.557	0.214	0.134	1.074	0.252	0.45299999999999996	0.20199999999999999	0.20199999999999999	0.624	0.5379999999999999	0.987	0.26	0.526	2.299	0.473	0.8170000000000001	0.7290000000000001	0.341	1.057	0.981	0.41	0.682
9.1723	0.504	0.132	0.40700000000000003	0.5920000000000001	0.33299999999999996	1.1159999999999999	1.165	0.423	4.3180000000000005	0.32899999999999996	0.273	0.618	0.302	0.06	0.948	0.207	0.43799999999999994	0.185	0.183	0.713	0.46399999999999997	0.915	0.405	0.511	2.2569999999999997	0.512	0.99	0.7390000000000001	0.349	1.148	0.961	0.28300000000000003	0.772
9.33905	0.501	0.102	0.514	0.563	0.439	1.248	1.189	0.42100000000000004	4.394	0.326	0.35200000000000004	0.616	0.218	0.11199999999999999	1.026	0.28600000000000003	0.597	0.209	0.18100000000000002	0.738	0.461	1.102	0.185	0.534	2.3890000000000002	0.42700000000000005	1.014	0.8440000000000001	0.265	1.226	0.986	0.28	0.687
9.5057	0.527	0.068	0.505	0.6629999999999999	0.402	1.109	1.291	0.36	4.354	0.239	0.48	0.69	0.345	0.078	1.1059999999999999	0.14800000000000002	0.35700000000000004	0.153	0.066	0.759	0.536	1.018	0.29	0.486	2.4219999999999997	0.45799999999999996	1.013	0.7070000000000001	0.28800000000000003	1.0070000000000001	1.061	0.43799999999999994	0.737
