	MG1655-1	OCTA1-9_1	OCTA2-14_1	OCTA5-4_1	OCTA7-2_1	stfE-1	gtrS-1	rlmH-1	MG1655-2	OCTA1-9_2	OCTA2-14_2	OCTA5-4_2	OCTA7-2_2	stfE-2	gtrS-2	rlmH-2	MG1655-3	OCTA1-9_3	OCTA2-14_3	OCTA5-4_3	OCTA7-2_3	stfE-3	gtrS-3	rlmH-3
13.00574	0.326	0.18600000000000003	0.158	0.036000000000000004	0.326	0.187	0.47600000000000003	0.35200000000000004	0.052000000000000005	0.192	0.215	0.203	0.365	0.36200000000000004	0.687	0.47700000000000004	0.106	0.138	0.141	0.055	0.135	0.27	0.231	0.418
13.17245	0.48700000000000004	0.11800000000000001	0.14800000000000002	0.14	0.373	0.064	0.35100000000000003	0.34299999999999997	0.126	0.124	0.14800000000000002	0.107	0.326	0.267	0.506	0.43799999999999994	0.091	0.042	0.017	0.045	0.183	0.261	0.306	0.58
13.33908	0.45399999999999996	0.14300000000000002	0.20199999999999999	0.165	0.285	0.23600000000000002	0.35100000000000003	0.373	0.092	0.18	0.11800000000000001	0.077	0.38299999999999995	0.267	0.56	0.466	0.191	0.153	0.07200000000000001	0.157	0.155	0.235	0.361	0.38
13.50583	0.447	0.16399999999999998	0.19399999999999998	0.129	0.27699999999999997	0.16899999999999998	0.285	0.306	0.115	0.086	0.195	0.126	0.345	0.14300000000000002	0.495	0.428	0.248	0.08900000000000001	0.17800000000000002	0.12	0.17300000000000001	0.253	0.29600000000000004	0.39899999999999997
13.67248	0.40399999999999997	0.207	0.096	0.086	0.23600000000000002	0.303	0.389	0.35600000000000004	0.126	0.217	0.155	0.171	0.364	0.248	0.74	0.532	0.33299999999999996	0.218	0.13699999999999998	0.136	0.221	0.24600000000000002	0.39799999999999996	0.447
13.83915	0.304	0.25	0.223	0.18600000000000003	0.22	0.083	0.37	0.33399999999999996	0.172	0.2	0.195	0.183	0.345	0.34299999999999997	0.61	0.486	0.391	0.203	0.121	0.20600000000000002	0.17300000000000001	0.33799999999999997	0.46799999999999997	0.5710000000000001
14.00586	0.519	0.207	0.294	0.258	0.318	0.292	0.667	0.513	0.218	0.212	0.23600000000000002	0.13699999999999998	0.499	0.209	0.479	0.525	0.22	0.217	0.21899999999999997	0.133	0.297	0.317	0.39399999999999996	0.524
14.17249	0.39799999999999996	0.2	0.0	0.136	0.254	0.37200000000000005	0.374	0.278	0.21	0.14800000000000002	0.172	0.07400000000000001	0.292	0.375	0.701	0.5760000000000001	0.268	0.124	0.069	0.212	0.205	0.311	0.387	0.431
14.3393	0.38299999999999995	0.157	0.33	0.179	0.384	0.077	0.364	0.32799999999999996	0.078	0.165	0.303	0.17600000000000002	0.45299999999999996	0.365	0.488	0.45	0.239	0.16699999999999998	0.085	0.113	0.196	0.275	0.375	0.39299999999999996
14.50591	0.45899999999999996	0.175	0.11800000000000001	0.054000000000000006	0.342	0.285	0.43200000000000005	0.534	0.159	0.264	0.28800000000000003	0.075	0.37799999999999995	0.317	0.589	0.605	0.34	0.24100000000000002	0.271	0.157	0.262	0.423	0.5329999999999999	0.46
14.67261	0.301	0.304	0.162	0.154	0.243	0.248	0.364	0.441	0.142	0.22399999999999998	0.133	0.207	0.368	0.27899999999999997	0.5479999999999999	0.5660000000000001	0.08199999999999999	0.19899999999999998	0.11599999999999999	0.20199999999999999	0.22399999999999998	0.302	0.46299999999999997	0.565
14.83923	0.45899999999999996	0.233	0.29	0.19699999999999998	0.428	0.113	0.489	0.391	0.245	0.091	0.20199999999999999	0.276	0.493	0.40299999999999997	0.675	0.605	0.168	0.155	0.243	0.157	0.23399999999999999	0.51	0.504	0.431
15.00594	0.369	0.315	0.257	0.193	0.281	0.368	0.515	0.359	0.184	0.08800000000000001	0.256	0.1	0.461	0.4	0.643	0.602	0.336	0.094	0.182	0.182	0.345	0.478	0.501	0.371
15.1726	0.444	0.218	0.276	0.09699999999999999	0.271	0.187	0.39	0.35	0.14400000000000002	0.136	0.18899999999999997	0.23399999999999999	0.308	0.419	0.575	0.621	0.20600000000000002	0.141	0.086	0.086	0.307	0.498	0.6629999999999999	0.419
15.33927	0.613	0.272	0.042	0.122	0.266	0.209	0.442	0.314	0.171	0.159	0.27	0.171	0.41700000000000004	0.413	0.599	0.644	0.24	0.08	0.16699999999999998	0.11	0.272	0.43200000000000005	0.63	0.47
15.50596	0.38	0.26899999999999996	0.21100000000000002	0.262	0.348	0.292	0.324	0.483	0.195	0.32799999999999996	0.295	0.168	0.47100000000000003	0.43799999999999994	0.653	0.6409999999999999	0.322	0.105	0.249	0.16399999999999998	0.41200000000000003	0.401	0.597	0.38
