	MG1655-1	ADIP1-9_1	ADIP4-8_1	ADIP6-3_1	ADIP8-3_1	kgtP-1	proV-1	ybjL-1	MG1655-2	ADIP1-9_2	ADIP4-8_2	ADIP6-3_2	ADIP8-3_2	kgtP-2	proV-2	ybjL-2	MG1655-3	ADIP1-9_3	ADIP4-8_3	ADIP6-3_3	ADIP8-3_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_ybjL-1	kgtP_sspA-1	kgtP_proV_ybjL-1	ADIP3-2_4	ADIP4-1_4	ADIP3-2_5	ADIP4-1_5	kgtP_proV-2	kgtP_ybjL-2	kgtP_sspA-2	kgtP_proV_ybjL-2	ADIP3-4_4	ADIP7-2_4	ADIP3-4_5	ADIP7-2_5	kgtP_proV-3	kgtP_ybjL-3	kgtP_sspA-3	kgtP_proV_ybjL-3	ADIP3-8_4	ADIP7-5_4	ADIP3-8_5	ADIP7-5_5
17.00595	1.975	25.773000000000003	17.153	16.613	17.062	3.457	0.9790000000000001	3.548	2.137	0.976	16.043	16.357	9.396	3.6889999999999996	0.716	3.279	1.8619999999999999	26.506999999999998	16.009	16.928	10.035	4.063	1.351	3.781	5.369	4.294	1.073	13.833	4.59	2.021	6.324	1.5419999999999998	4.893	3.8989999999999996	2.698	7.034	0.679	4.225	0.737	4.696000000000001	5.402	5.11	0.337	7.4479999999999995	23.148000000000003	21.278000000000002	3.4010000000000002	5.871
17.17266	2.271	25.068	16.567999999999998	16.428	16.965999999999998	3.668	0.9279999999999999	3.615	2.29	1.1840000000000002	15.802	16.375	9.881	3.957	0.8640000000000001	3.489	1.899	26.296	15.74	16.548	10.639000000000001	4.276	1.1320000000000001	3.6210000000000004	5.816	4.776	1.082	14.073	4.842	2.26	6.632000000000001	1.929	5.255	4.122	3.0	7.775	0.685	4.438	0.858	4.684	5.332000000000001	5.273	0.284	8.245	24.219	20.76	3.928	5.95
17.33932	2.194	24.305999999999997	15.674000000000001	16.305999999999997	17.729	3.8489999999999998	0.9109999999999999	3.9389999999999996	2.4419999999999997	1.023	15.422	16.337	10.196	3.737	0.847	3.613	1.995	26.073	15.530999999999999	16.595	10.950999999999999	4.341	1.256	4.001	6.164	4.721	1.263	15.154000000000002	5.159	2.383	6.978	1.821	5.26	4.1819999999999995	2.977	8.033	0.6679999999999999	4.732	0.754	4.89	5.624	5.649	0.353	8.332	24.255	21.119	3.9930000000000003	6.153
17.50608	2.229	23.965999999999998	15.860999999999999	16.436	17.512999999999998	3.826	1.148	4.002	2.305	1.145	14.866	16.437	10.106	3.971	0.971	3.6189999999999998	2.03	26.156	15.632	16.636	11.287	4.602	1.091	4.063	6.479	5.061	1.155	15.827	5.728	2.4459999999999997	7.119	1.795	5.86	4.466	2.865	8.458	0.677	4.736000000000001	0.7340000000000001	5.007	5.8839999999999995	5.877000000000001	0.33399999999999996	8.957	23.368000000000002	20.7	4.311	6.067
17.67274	2.258	24.293000000000003	15.427999999999999	16.834	16.941	3.998	1.088	4.146	2.449	1.172	14.747	16.121	10.578	4.2589999999999995	0.853	3.82	2.144	25.146	15.229000000000001	16.723	11.677	4.806	1.034	4.065	6.744	5.245	1.1840000000000002	16.282	6.026	2.476	7.874	1.9140000000000001	5.811	4.763	3.3280000000000003	8.615	0.845	4.996	0.903	5.184	6.09	5.914	0.302	9.343	24.041999999999998	20.160999999999998	4.572	6.334
17.83953	2.458	23.566	15.462	16.464000000000002	17.456	4.254	1.005	4.402	2.676	1.145	14.637	16.008	10.62	4.171	0.914	3.99	2.202	25.241999999999997	15.003	16.722	11.800999999999998	4.888	1.2329999999999999	4.206	6.877999999999999	5.404	1.2409999999999999	16.569000000000003	6.442	2.475	8.232999999999999	2.138	6.202999999999999	4.637	3.208	9.0	0.8190000000000001	5.136	0.9059999999999999	5.235	6.2829999999999995	5.9910000000000005	0.33399999999999996	9.786	24.225	20.528000000000002	4.797	6.296
18.00606	2.556	23.482	15.571	16.174	17.739	4.353	0.9309999999999999	4.501	2.575	1.2429999999999999	14.432	16.462	11.411	4.413	1.0959999999999999	4.261	2.157	25.160999999999998	14.940999999999999	16.776	12.450999999999999	5.073	1.275	4.505	7.2379999999999995	5.651	1.311	17.823	6.69	2.574	8.537	2.01	6.334	4.941	3.3089999999999997	9.706	0.774	5.436	0.8320000000000001	5.507999999999999	6.327999999999999	6.4079999999999995	0.345	10.462	24.573	20.47	5.24	6.598
18.17272	2.344	23.978	15.314	16.433	17.485	4.571000000000001	1.002	4.603	2.735	1.258	14.375	16.35	11.607999999999999	4.688	1.167	4.363	2.316	24.659000000000002	14.571	16.78	12.735999999999999	5.178	1.348	4.523	7.374	6.132000000000001	1.327	18.972	7.171	2.59	8.99	2.086	6.756	5.106	3.4139999999999997	9.988	0.8740000000000001	5.769	0.9890000000000001	5.785	6.891	6.6579999999999995	0.302	10.745	24.3	19.874000000000002	5.372999999999999	6.763
18.33946	2.458	23.451999999999998	15.262	16.521	17.713	4.454	1.148	4.659	2.762	1.173	14.609000000000002	16.294	12.134	4.7989999999999995	1.085	4.418	2.373	24.614	14.689	16.494	12.600999999999999	5.372999999999999	1.348	4.72	7.5920000000000005	6.26	1.412	18.768	7.442	2.7319999999999998	9.604	2.081	7.087999999999999	5.465	3.608	10.685	0.991	5.821000000000001	0.82	5.949	7.197	6.876	0.42	10.985	23.625	20.070999999999998	5.825	7.067
18.50616	2.667	24.205	15.398	16.4	17.589000000000002	4.776	1.073	4.81	2.8560000000000003	1.327	14.289000000000001	16.514	12.103	4.949	0.983	4.74	2.468	23.88	14.397	16.541	13.138	5.636	1.242	5.154	7.8229999999999995	6.317	1.45	19.242	7.67	2.7119999999999997	9.86	2.23	7.119	5.638	3.699	11.253	0.888	6.256	0.888	6.011	7.372000000000001	6.936	0.34600000000000003	11.44	23.976	19.717	6.001	7.069
18.67275	2.81	23.503	14.85	16.197	17.704	5.007	1.099	5.098	3.029	1.4969999999999999	13.998	16.484	12.463	5.067	1.151	4.686	2.5540000000000003	24.724	14.421	16.941	13.474	5.727	1.186	4.902	8.377	6.5889999999999995	1.565	19.131	8.657	2.9130000000000003	10.533	2.178	7.359	5.736000000000001	3.905	11.33	0.857	6.461	0.8859999999999999	6.303999999999999	7.638	7.261	0.342	12.258	23.621	19.434	6.265	7.537000000000001
18.83947	2.708	23.951	15.079	16.424	16.901	5.1610000000000005	1.1420000000000001	5.194	3.012	1.339	14.225999999999999	16.195999999999998	12.98	5.449	1.165	4.697	2.5380000000000003	24.74	13.964	16.965999999999998	14.417	6.108	1.341	5.255	8.783	6.936	1.6340000000000001	18.898	8.831	3.154	10.822000000000001	2.245	7.765	6.313	3.886	12.759	1.013	6.442	0.9570000000000001	6.1979999999999995	7.903	7.324	0.414	12.888	23.465999999999998	19.658	6.587999999999999	7.144
19.00616	3.042	23.768	14.913	16.317	17.024	5.439	1.159	5.187	3.147	1.443	14.003	16.319000000000003	13.298	5.242000000000001	1.0959999999999999	5.061	2.472	24.99	13.912	16.519000000000002	14.509	6.017	1.504	5.477	8.982000000000001	7.194	1.425	18.767	9.576	3.26	11.453	2.267	8.02	6.1129999999999995	3.995	12.764000000000001	1.002	7.037000000000001	1.06	6.622999999999999	8.157	7.6370000000000005	0.374	13.349	23.171999999999997	19.584	7.184	7.256
19.17284	2.907	23.68	14.804	16.698	16.807000000000002	5.422000000000001	1.192	5.5120000000000005	3.242	1.4480000000000002	13.981	16.387	13.185	5.797000000000001	1.1840000000000002	5.1	2.793	25.166999999999998	14.004000000000001	16.817999999999998	14.402000000000001	6.317	1.3969999999999998	5.318	9.176	7.192	1.547	18.754	9.95	3.2689999999999997	12.055	2.394	8.672	6.394	4.096	13.113	1.121	7.166	1.0070000000000001	6.926	8.261000000000001	7.773	0.462	13.898	22.029	19.942999999999998	7.43	7.39
