	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	ptrA-1	mdtK_ptrA-1	ompR-1	ompR_proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	ptrA-2	mdtK_ptrA-2	ompR-2	ompR_proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	ptrA-3	mdtK_ptrA-3	ompR-3	ompR_proQ-3	ompR_ptrA-1	ompR_proQ_mdtK-1	ompR_proQ_ptrA-1	bioAB-1	bioAB_ptrA-1	proQ-1	bioAB_ptrA_mdtK-1	bioAB_ptrA_ompR-1	ompR_ptrA-2	ompR_proQ_mdtK-2	ompR_proQ_ptrA-2	bioAB-2	bioAB_ptrA-2	proQ-2	bioAB_ptrA_mdtK-2	bioAB_ptrA_ompR-2	ompR_ptrA-3	ompR_proQ_mdtK-3	ompR_proQ_ptrA-3	bioAB-3	bioAB_ptrA-3	proQ-3	bioAB_ptrA_mdtK-3	bioAB_ptrA_ompR-3
8.33876	0.89	3.61	5.022	8.988	1.49	1.268	1.148	1.3980000000000001	0.897	2.596	2.2	12.203	1.045	1.538	0.815	2.544	0.897	5.507999999999999	6.468	10.779000000000002	1.406	1.6640000000000001	0.825	2.166	0.856	1.406	1.2890000000000001	1.141	1.632	1.723	1.212	1.156	0.905	1.254	1.2409999999999999	1.093	1.854	1.679	1.0859999999999999	1.068	0.982	1.1420000000000001	1.1540000000000001	0.971	1.785	1.564	1.188	1.31
8.50535	0.8059999999999999	3.903	5.624	9.995	1.6580000000000001	1.3090000000000002	1.072	1.5630000000000002	0.9059999999999999	2.823	2.489	13.057	0.965	1.735	0.895	2.59	0.9109999999999999	5.83	7.007999999999999	11.849	1.3869999999999998	1.953	0.6809999999999999	2.083	0.9590000000000001	1.694	1.453	1.15	1.828	1.608	1.2209999999999999	1.445	1.0070000000000001	1.139	1.281	1.04	1.8019999999999998	1.5959999999999999	1.3430000000000002	1.078	0.932	1.089	1.225	1.042	1.8259999999999998	1.3880000000000001	1.26	1.413
8.6722	0.9329999999999999	4.093999999999999	5.597	10.838	1.507	1.3119999999999998	1.077	1.784	0.816	3.167	3.0189999999999997	13.342	1.093	1.5519999999999998	0.8390000000000001	2.75	0.915	6.4239999999999995	7.789	12.380999999999998	1.764	1.8630000000000002	0.778	2.273	1.024	1.6980000000000002	1.5490000000000002	1.1540000000000001	2.049	1.425	1.318	1.169	1.01	1.235	1.3769999999999998	1.136	1.96	1.6	1.3459999999999999	1.206	1.0290000000000001	1.155	1.26	1.138	1.891	1.484	1.2009999999999998	1.5090000000000001
8.83879	0.8270000000000001	4.4319999999999995	6.584	11.834000000000001	1.564	1.4869999999999999	1.296	1.744	1.3	3.095	3.1630000000000003	13.718	1.3030000000000002	1.916	0.9670000000000001	2.78	1.005	7.162999999999999	7.723	12.88	1.6019999999999999	1.976	0.8	2.3569999999999998	1.075	1.7480000000000002	1.598	1.141	2.1319999999999997	1.661	1.43	1.251	1.09	1.192	1.301	1.3090000000000002	2.104	1.745	1.396	1.197	1.022	1.205	1.341	1.095	2.004	1.5659999999999998	1.2819999999999998	1.3730000000000002
9.00549	1.107	4.3389999999999995	6.305	11.958	1.781	1.5190000000000001	1.607	1.993	1.114	3.467	3.6289999999999996	13.78	1.459	1.8530000000000002	0.9359999999999999	2.873	0.943	7.442	8.779	13.408	1.633	2.069	0.862	2.761	0.951	1.7480000000000002	1.567	1.172	2.07	1.755	1.337	1.2819999999999998	1.028	1.44	1.395	1.123	2.073	1.62	1.3030000000000002	1.383	1.053	1.453	1.527	1.188	2.035	1.472	1.3130000000000002	1.56
9.1721	0.961	4.446000000000001	7.218999999999999	12.472000000000001	1.8559999999999999	1.6840000000000002	1.22	2.221	1.247	3.7889999999999997	3.92	14.202	1.285	2.269	0.9540000000000001	3.386	1.05	8.885	9.323	13.488	1.8	2.452	0.998	2.741	1.085	1.944	1.607	1.431	2.2359999999999998	1.733	1.44	1.385	1.13	1.45	1.4969999999999999	1.318	2.301	1.817	1.406	1.3940000000000001	1.22	1.307	1.443	1.26	2.201	1.669	1.3230000000000002	1.57
9.33886	1.126	5.02	7.388	12.675999999999998	2.0869999999999997	1.694	1.33	2.1390000000000002	1.1640000000000001	3.986	4.2410000000000005	14.095	1.39	2.0	0.909	3.2460000000000004	1.157	8.806000000000001	10.270999999999999	13.597999999999999	1.9680000000000002	2.369	0.885	3.095	1.157	2.016	1.71	1.3780000000000001	2.34	2.023	1.3869999999999998	1.4569999999999999	1.2329999999999999	1.3969999999999998	1.506	1.327	2.311	1.921	1.3219999999999998	1.6230000000000002	1.077	1.379	1.391	1.3630000000000002	2.335	1.8030000000000002	1.426	1.642
9.50543	1.197	5.204	8.257	12.729000000000001	1.932	1.702	1.3840000000000001	2.206	1.297	4.458	4.34	13.899000000000001	1.579	1.974	1.054	3.738	1.094	9.923	10.141	13.277999999999999	1.939	2.345	0.983	3.2539999999999996	1.1340000000000001	1.993	1.751	1.4180000000000001	2.532	1.9069999999999998	1.4580000000000002	1.465	1.087	1.5619999999999998	1.671	1.337	2.474	1.834	1.455	1.411	1.111	1.3880000000000001	1.524	1.465	2.498	1.6869999999999998	1.465	1.805
9.67224	1.2409999999999999	5.845	8.649	13.312000000000001	1.8869999999999998	1.933	1.406	2.501	1.31	4.752	4.821000000000001	13.984000000000002	1.3780000000000001	2.082	1.078	3.9139999999999997	1.237	11.03	11.499	13.985	1.956	2.483	1.091	3.332	1.334	2.006	1.949	1.71	2.702	1.9509999999999998	1.5330000000000001	1.6340000000000001	1.192	1.636	1.932	1.442	2.6430000000000002	1.755	1.561	1.6740000000000002	1.22	1.463	1.63	1.446	2.667	1.607	1.416	1.818
9.83895	1.157	6.171	9.161	13.640999999999998	2.242	1.943	1.423	2.6060000000000003	1.537	5.044	5.672000000000001	13.66	1.484	2.342	1.0959999999999999	3.8369999999999997	1.126	11.855	11.422	13.505	2.403	2.6489999999999996	1.0090000000000001	3.437	1.344	2.202	2.145	1.534	2.6510000000000002	1.929	1.5430000000000001	1.7369999999999999	1.2329999999999999	1.646	1.692	1.794	2.964	1.952	1.6019999999999999	1.8719999999999999	1.263	1.659	1.671	1.3940000000000001	2.678	1.5230000000000001	1.5190000000000001	1.922
10.00549	1.1540000000000001	6.3839999999999995	9.716000000000001	13.044	2.362	2.126	1.48	2.8819999999999997	1.347	5.537000000000001	6.228	14.4	1.76	2.525	1.09	4.018	1.681	12.595999999999998	12.194	13.717	2.71	2.864	1.161	3.62	1.371	2.199	1.956	1.655	2.8960000000000004	2.113	1.6640000000000001	1.827	1.416	1.6740000000000002	1.969	1.666	3.21	2.011	1.661	1.899	1.3219999999999998	1.78	2.01	1.546	2.923	1.986	1.702	2.043
10.17221	1.247	6.85	10.493	13.417	2.487	2.313	1.604	3.0060000000000002	1.534	5.9110000000000005	6.446000000000001	13.809000000000001	1.604	2.6489999999999996	1.1520000000000001	4.205	1.215	13.498	12.878	13.499	2.43	2.864	1.161	3.806	1.34	2.603	2.173	1.7480000000000002	3.083	2.113	1.726	1.827	1.5719999999999998	1.643	1.9380000000000002	1.5419999999999998	3.148	2.011	1.785	1.899	1.446	1.874	2.01	1.577	3.141	1.8	1.516	2.198
10.33888	1.25	7.54	10.716	13.235999999999999	2.5540000000000003	2.41	1.61	2.948	1.63	6.162999999999999	7.29	13.94	1.8880000000000001	2.747	1.158	4.21	1.406	14.468	13.505999999999998	13.505	2.8080000000000003	3.054	1.165	4.121	1.375	2.575	2.332	1.845	3.273	2.209	1.854	1.8619999999999999	1.295	1.771	2.035	1.8559999999999999	3.4	1.859	1.851	2.245	1.5119999999999998	1.784	1.8259999999999998	1.736	3.113	2.052	1.675	2.4819999999999998
10.5056	1.3459999999999999	7.895	11.042	12.748	2.327	2.657	1.528	3.068	1.757	6.655	7.282	13.856	1.912	2.5869999999999997	1.136	3.9760000000000004	1.767	15.284	13.856	13.825999999999999	2.645	3.1460000000000004	1.2229999999999999	3.992	1.531	2.483	2.241	1.97	3.363	2.0869999999999997	1.855	2.017	1.485	1.835	2.286	2.0140000000000002	3.46	2.0140000000000002	1.821	2.148	1.476	1.754	2.0140000000000002	1.7380000000000002	3.298	1.959	1.7690000000000001	2.388
10.6723	1.6230000000000002	8.224	12.085	12.800999999999998	2.7710000000000004	2.597	1.61	3.6319999999999997	1.724	7.75	7.787999999999999	13.504000000000001	2.168	2.9019999999999997	1.345	4.801	1.7169999999999999	16.365	13.972999999999999	13.878	2.9939999999999998	3.2710000000000004	1.383	4.588	1.624	2.575	2.55	2.187	3.491	2.302	1.9780000000000002	2.235	1.6680000000000001	1.8330000000000002	2.346	1.949	3.7110000000000003	2.108	1.944	2.339	1.5430000000000001	1.784	2.293	1.86	3.7039999999999997	2.083	1.955	2.668
10.83885	1.661	9.107000000000001	12.562999999999999	12.905999999999999	3.029	2.884	1.808	3.5780000000000003	1.6369999999999998	7.852	8.295	14.2	2.208	3.035	1.357	4.999	1.3530000000000002	16.969	14.669	13.797	3.065	3.248	1.266	4.814	1.568	2.7689999999999997	2.556	2.1	3.592	2.4019999999999997	2.1719999999999997	2.242	1.706	2.026	2.259	2.267	3.812	2.053	1.9809999999999999	2.44	1.521	2.039	2.113	1.867	3.431	2.1830000000000003	1.9609999999999999	2.675
11.00563	1.69	9.596	13.082	13.333	3.071	3.1039999999999996	1.765	3.927	1.8219999999999998	8.516	8.802999999999999	13.786	2.496	3.3510000000000004	1.411	5.329	1.864	17.558	14.944	13.6	3.105	3.654	1.238	5.195	1.755	2.987	2.648	2.224	3.596	2.339	2.2030000000000003	2.461	1.547	1.962	2.537	2.202	4.002	2.241	2.073	2.569	1.807	2.1630000000000003	2.455	2.021	3.745	2.121	1.992	2.988
11.17234	1.7719999999999998	10.037	13.304	13.463	3.005	3.158	1.986	4.2330000000000005	2.153	9.606	9.767999999999999	13.821	2.4290000000000003	3.313	1.4480000000000002	5.457000000000001	2.424	18.535	15.512	14.103	3.35	3.583	1.605	5.221	1.776	3.008	2.886	2.369	3.9010000000000002	2.484	2.379	2.545	1.722	2.076	2.556	2.2840000000000003	4.274	2.45	2.28	2.8739999999999997	1.7069999999999999	2.34	2.444	2.135	3.83	2.141	2.137	3.135
11.33905	1.889	11.237	13.658	12.597999999999999	3.287	3.091	1.932	4.357	2.083	9.578	9.552	14.144	2.46	3.435	1.396	5.653	1.989	19.365	16.621	13.675	3.7560000000000002	3.734	1.57	5.971	1.8	3.157	2.91	2.487	4.21	2.6639999999999997	2.435	2.6639999999999997	2.026	2.099	2.516	2.432	4.395	2.3819999999999997	2.335	2.9330000000000003	1.736	2.207	2.5	2.2840000000000003	4.169	2.541	2.349	3.411
11.50566	1.973	11.999	13.828	13.675	3.242	3.236	2.103	4.406000000000001	2.198	10.719000000000001	10.475999999999999	13.876	2.822	3.7039999999999997	1.6909999999999998	6.136	1.975	18.75	16.038	13.345	3.8360000000000003	3.9730000000000003	1.558	5.864	1.8840000000000001	3.3339999999999996	3.181	2.477	4.136	2.591	2.5810000000000004	2.872	1.766	2.526	2.694	2.5789999999999997	4.571000000000001	2.6519999999999997	2.6060000000000003	2.984	1.88	2.478	2.677	2.273	4.158	2.405	2.307	3.4930000000000003
11.67244	1.966	12.610999999999999	14.190999999999999	12.380999999999998	3.639	3.478	1.841	4.553999999999999	1.973	11.177999999999999	11.434000000000001	14.052	2.719	3.602	1.835	6.155	2.34	20.08	16.994	13.115	3.858	4.184	1.6440000000000001	6.042000000000001	1.97	3.2960000000000003	3.174	2.47	4.409	2.772	2.667	2.958	1.9469999999999998	2.332	2.687	2.603	4.876	2.364	2.6	3.194	2.028	2.378	2.826	2.329	4.4	2.585	2.519	3.611
11.83893	1.9	13.573	14.527999999999999	13.062999999999999	3.603	3.818	2.023	5.1739999999999995	2.251	12.297	11.023	13.702	2.9019999999999997	3.7539999999999996	1.828	6.617999999999999	2.1790000000000003	19.167	17.081	13.64	4.197	4.274	1.734	6.6	2.061	3.605	2.984	2.623	4.779	2.737	2.6010000000000004	3.0789999999999997	2.0380000000000003	2.173	2.872	2.7560000000000002	4.934	2.5469999999999997	2.846	3.346	2.148	2.437	3.073	2.3569999999999998	4.802	2.613	2.6710000000000003	3.951
12.00566	2.023	14.533	14.902999999999999	13.315	3.867	3.779	2.122	5.473	2.217	12.959000000000001	12.529000000000002	13.892999999999999	3.138	4.056	1.829	7.026	2.13	20.125	16.919	13.582	4.245	4.454	1.757	6.7410000000000005	2.2430000000000003	3.444	3.137	2.9	5.018	2.89	2.8160000000000003	3.385	2.005	2.6689999999999996	2.9939999999999998	3.034	5.112	2.697	2.9360000000000004	3.71	2.075	2.87	2.975	2.479	5.105	2.765	2.636	4.099
12.17239	2.221	14.491	14.524000000000001	13.59	3.963	4.035	2.2119999999999997	5.477	2.6010000000000004	14.544	12.558	13.609000000000002	3.235	4.124	1.855	6.835	2.5669999999999997	19.708	17.315	13.89	4.217	4.492	1.733	6.712999999999999	2.128	3.827	3.6460000000000004	3.034	4.993	3.0869999999999997	2.9189999999999996	3.3930000000000002	2.079	2.5860000000000003	3.068	3.1689999999999996	5.337000000000001	2.986	3.071	3.56	2.081	2.755	3.0469999999999997	2.583	4.894	2.65	2.895	4.0760000000000005
12.33902	2.161	15.965	15.115	13.245999999999999	4.261	4.325	2.394	5.99	2.605	14.884	13.113	14.447000000000001	3.5610000000000004	4.353	2.041	7.487	2.524	19.842	16.945999999999998	13.886	4.575	4.625	1.9909999999999999	7.446000000000001	2.351	3.77	3.4939999999999998	2.9139999999999997	5.066	3.122	3.111	3.7119999999999997	2.112	2.7760000000000002	3.2260000000000004	2.923	5.377999999999999	2.9930000000000003	3.48	3.9760000000000004	2.31	2.728	3.145	2.773	5.309	2.748	3.0869999999999997	4.333
12.50572	2.283	16.862000000000002	15.825999999999999	13.115	4.381	4.196000000000001	2.451	6.11	2.6319999999999997	15.564	12.825999999999999	14.004000000000001	3.463	4.255	1.817	7.7620000000000005	2.394	19.772000000000002	16.628	13.662	4.633	5.12	1.893	7.347	2.316	4.297	3.708	3.1910000000000003	4.937	2.9939999999999998	3.2939999999999996	3.802	2.2640000000000002	2.773	3.3789999999999996	3.2319999999999998	5.935	2.8960000000000004	3.383	4.159	2.555	3.005	3.4219999999999997	2.801	5.553999999999999	2.7760000000000002	3.114	4.859
12.67237	2.49	17.439	15.552999999999999	12.557	4.4719999999999995	4.407	2.517	6.638	2.653	16.945	14.015	14.477	3.491	4.624	1.9469999999999998	8.174	2.611	19.628	17.324	13.978	4.974	5.113	2.011	8.157	2.463	4.132	3.73	3.306	5.369	3.202	3.41	4.012	2.315	2.825	3.2119999999999997	3.221	5.867000000000001	3.1060000000000003	3.4360000000000004	4.373	2.3	2.9019999999999997	3.35	2.822	6.047000000000001	2.891	3.292	5.04
12.83898	2.577	19.733	15.29	13.264000000000001	4.65	4.586	2.474	6.877999999999999	2.833	17.555999999999997	14.315999999999999	14.777000000000001	3.763	4.834	2.122	8.255	2.9130000000000003	19.676	17.248	14.185	5.2139999999999995	5.324	2.097	8.147	2.612	4.312	3.8789999999999996	3.486	5.516	3.2260000000000004	3.4339999999999997	4.098	2.4019999999999997	2.818	3.767	3.7760000000000002	6.138999999999999	3.0980000000000003	3.616	4.489	2.51	3.082	3.5610000000000004	3.065	6.132000000000001	3.04	3.5660000000000003	5.25
13.00575	2.7439999999999998	19.070999999999998	16.965	13.062999999999999	4.5089999999999995	5.13	2.523	7.297999999999999	3.0	18.201	15.145999999999999	14.296	3.995	4.723	2.1719999999999997	8.961	2.71	19.916	17.424	14.359000000000002	5.2589999999999995	5.492000000000001	2.046	8.974	2.748	4.542	4.17	3.685	5.841	3.3930000000000002	3.7880000000000003	4.204	2.319	2.9219999999999997	3.6839999999999997	3.912	6.184	3.3280000000000003	3.8139999999999996	4.877	2.7110000000000003	3.3110000000000004	3.7289999999999996	3.1689999999999996	6.1770000000000005	3.2689999999999997	3.484	5.5120000000000005
13.17243	2.911	20.327	16.325	13.26	5.132000000000001	4.93	2.781	7.2010000000000005	3.043	18.565	14.374	14.085	3.865	4.681	2.435	9.133	2.8960000000000004	19.439	17.162	14.18	5.882000000000001	5.542000000000001	2.252	9.037	3.043	4.6819999999999995	4.058	3.73	6.332999999999999	3.373	4.053	4.596	2.7030000000000003	3.1519999999999997	3.82	3.955	6.517	3.187	3.9210000000000003	5.212999999999999	2.826	3.23	3.5860000000000003	3.4939999999999998	6.228	3.094	3.748	5.688
13.33922	2.883	19.207	16.363	13.172	5.167999999999999	4.997	2.787	8.24	3.14	19.574	14.474	14.311	4.2139999999999995	5.281000000000001	2.41	9.421	3.1510000000000002	20.198	17.827	14.092	5.699	5.766	2.569	9.073	2.859	4.654	4.531000000000001	3.702	6.337999999999999	3.1889999999999996	4.12	4.976	2.6439999999999997	3.062	3.823	3.9589999999999996	6.992000000000001	3.347	4.238	5.343	2.673	3.359	3.8089999999999997	3.247	6.515	3.411	4.002	5.849
13.50579	3.1239999999999997	20.699	16.496	13.459000000000001	5.199	5.399	2.9789999999999996	8.365	3.162	19.868	15.796	14.692	4.369	5.402	2.479	9.366	3.3080000000000003	20.399	17.461	13.249	5.8229999999999995	5.76	2.469	9.857999999999999	2.9130000000000003	4.9910000000000005	4.742	3.9130000000000003	6.396	3.6489999999999996	4.425	4.939	2.915	3.1460000000000004	3.9389999999999996	4.169	7.019	3.685	4.45	5.621	2.8569999999999998	3.444	3.988	3.426	6.447	3.4019999999999997	4.2139999999999995	6.251
13.67249	3.3339999999999996	20.875999999999998	16.19	13.212	6.109	5.236000000000001	2.826	8.396	3.372	20.1	16.085	14.634	4.523	5.428999999999999	2.517	9.877	3.4019999999999997	19.5	17.346	13.755	5.853	5.973	2.588	10.360999999999999	3.375	5.015	4.7330000000000005	4.281000000000001	6.612	3.6710000000000003	4.638	5.341	2.842	3.293	3.992	4.5680000000000005	7.14	3.708	4.755	5.932	3.009	3.718	3.948	3.668	7.039	3.362	4.363	6.466
13.83908	3.301	20.956	15.661	14.13	5.654	5.386	3.275	8.882	3.6210000000000004	20.944000000000003	15.777000000000001	14.297	4.824	5.859	2.5540000000000003	10.255999999999998	3.668	19.938	17.629	15.019	6.028	6.625	2.456	11.095	3.2460000000000004	5.324	4.825	4.246	7.104	3.575	4.758	5.6160000000000005	2.842	3.167	4.022	4.44	7.852	3.641	4.814	6.172000000000001	3.031	3.6210000000000004	4.196000000000001	3.9789999999999996	7.593999999999999	3.516	4.515	6.897
14.00582	3.3289999999999997	20.791	15.467	13.09	5.68	5.852	2.987	9.379	3.6180000000000003	20.278	15.489	14.887	5.039	5.791	2.736	10.437000000000001	3.6319999999999997	19.993	17.183	14.072000000000001	6.461	6.62	2.8280000000000003	10.4	3.148	5.257000000000001	4.915	4.431	6.942	3.6660000000000004	4.817	5.768	3.1210000000000004	3.727	4.489	4.53	8.004	3.7310000000000003	5.186	6.1979999999999995	3.215	3.8989999999999996	4.4430000000000005	4.258	7.433	3.701	4.605	7.268
14.17251	3.53	21.05	15.261	13.35	5.837000000000001	5.999	3.341	9.224	3.9760000000000004	20.491999999999997	16.129	14.363	5.005	6.004	2.813	11.588	3.915	20.081	17.705	13.765999999999998	6.712000000000001	6.7989999999999995	2.628	11.19	3.4139999999999997	5.367999999999999	5.306	4.478	7.439	3.9610000000000003	4.8660000000000005	6.229	3.3510000000000004	3.395	4.439	5.016	8.155	3.9989999999999997	5.297999999999999	6.602	3.2060000000000004	4.04	4.7410000000000005	4.178	7.645	3.841	4.999	7.167000000000001
14.3392	3.803	20.768	15.975	13.754000000000001	6.25	5.95	3.4	9.792	3.935	20.505	16.215999999999998	14.517000000000001	5.2	6.077999999999999	2.93	11.761	3.8560000000000003	19.436	18.317999999999998	14.58	6.968	6.938	2.833	11.189	3.466	5.5120000000000005	5.169	4.529	7.7620000000000005	3.858	5.041	6.274	3.312	3.512	4.555	5.004	8.385	3.923	5.441	6.861000000000001	3.282	3.6839999999999997	4.823	4.167	7.97	3.611	5.048	7.586
14.50583	3.884	21.093000000000004	15.630999999999998	13.565	6.747000000000001	6.412000000000001	3.4930000000000003	10.667	3.7969999999999997	20.227999999999998	15.809000000000001	14.515999999999998	5.665	6.415	3.057	11.953	3.977	19.849	18.165	14.484000000000002	7.057	7.242999999999999	2.885	11.783	3.674	5.532	5.66	5.082	7.912000000000001	3.845	5.532	6.391	3.3930000000000002	3.812	4.793	5.306	8.533999999999999	3.975	5.65	6.98	3.4930000000000003	4.268	5.031000000000001	4.563	8.119	3.912	5.289	7.861000000000001
14.6725	3.927	21.119	16.184	13.709000000000001	6.669	6.362	3.637	10.433	4.1530000000000005	19.999000000000002	17.052	14.911	5.461	6.681	2.9819999999999998	12.257	4.025	19.336	16.805	14.911	7.292999999999999	7.54	3.0869999999999997	12.145999999999999	3.937	5.638999999999999	5.483	5.093999999999999	8.367	4.3580000000000005	5.544	6.875	3.341	3.949	4.333	5.475	8.737	4.144	6.039	7.184	3.5380000000000003	4.185	4.949	4.669	8.291	4.0489999999999995	5.7410000000000005	7.781000000000001
14.83917	4.1339999999999995	20.820999999999998	16.679000000000002	13.789000000000001	7.119	6.672999999999999	3.685	11.546	4.14	20.660999999999998	15.91	14.707	5.591	6.744	3.1919999999999997	13.423	4.158	19.523	16.42	14.865	7.3629999999999995	7.726	3.111	12.224	3.8	5.912999999999999	6.039	5.336	8.338	4.534	6.072	7.124	3.4819999999999998	4.061	5.011	5.181	8.802	4.229	6.409	7.817	3.6919999999999997	4.236000000000001	5.096	4.815	8.637	4.226	5.638999999999999	8.568
15.00582	4.111000000000001	21.179000000000002	15.884	13.374	6.896	6.3	3.5860000000000003	11.415999999999999	4.495	20.207	16.312	14.419	6.0	7.029	3.247	13.661	4.345	19.637999999999998	16.695	14.388	7.551	7.761	3.2739999999999996	12.943	4.185	6.327999999999999	5.6370000000000005	5.249	8.59	4.007	6.046	7.442	3.555	4.038	4.925	5.346	8.74	4.078	6.352	7.754	3.665	4.338	5.135	5.043	8.702	3.951	5.865	8.443999999999999
15.17257	4.362	21.651	16.576	13.72	7.022	6.551	3.8369999999999997	12.390999999999998	4.746	20.333	16.69	14.796	6.535	7.155	3.404	13.535	4.503	18.883	17.387	13.979000000000001	7.897	7.792000000000001	3.4	12.943	4.091	5.888	5.92	5.595	9.157	4.385	6.14	7.946000000000001	3.6489999999999996	4.133	5.303	6.257999999999999	9.055	4.393	6.824	8.131	3.728	4.495	5.324	5.263	9.205	4.013	6.211	8.821
15.33923	4.736000000000001	21.799	15.343	13.714	7.331	7.207000000000001	3.957	12.48	4.774	20.703000000000003	16.935	14.475999999999999	6.278	6.93	3.6180000000000003	13.779000000000002	4.529	18.404	17.474	14.099	7.986000000000001	8.542	3.364	13.817	3.9610000000000003	6.261	5.821000000000001	5.622000000000001	8.711	4.129	6.702000000000001	7.6579999999999995	3.96	4.223	5.2989999999999995	5.718999999999999	9.238999999999999	4.578	7.007999999999999	8.032	4.1	4.523	5.0360000000000005	5.165	9.074	4.45	6.332000000000001	8.658999999999999
15.50582	4.316	21.578000000000003	15.022	14.18	7.646	7.155	4.013999999999999	12.036	4.605	20.402	16.047	14.158	6.282	7.441	3.7969999999999997	14.135	4.814	19.458	16.959	15.130999999999998	8.396	8.583	3.661	14.375	4.293	6.371	6.154	6.14	9.187999999999999	4.622	6.653	7.8870000000000005	4.045	4.275	5.131	6.585	9.905	4.908	7.617999999999999	8.57	4.08	5.107	5.587999999999999	5.496	9.396	4.312	6.472	8.887
15.67265	4.995	21.055999999999997	15.462	14.4	7.36	7.462000000000001	4.1080000000000005	13.385	5.001	20.344	16.079	14.815999999999999	6.654	7.5920000000000005	3.5789999999999997	14.487	4.747	19.305	16.805	14.44	8.078	7.854	3.5580000000000003	13.748	4.408	6.4239999999999995	6.237	6.162000000000001	9.057	4.829	6.864	8.226	3.969	4.515	5.37	6.355	9.868	4.647	7.2010000000000005	8.566	4.0089999999999995	4.845	5.42	5.422999999999999	9.516	4.74	6.84	9.383
15.83931	4.708	21.965	16.355999999999998	14.129000000000001	7.62	7.212000000000001	4.246	13.209000000000001	5.187	20.805	16.344	14.702	6.755	8.099	3.9389999999999996	15.642999999999999	5.1	19.386	16.758	14.482000000000001	8.998	8.044	3.966	15.050999999999998	4.279	6.611000000000001	6.7379999999999995	6.381	9.157	4.385	7.053	8.638	4.058	4.605	5.397	7.045	9.432	4.582	7.579	8.918	4.42	4.873	5.5120000000000005	5.987	9.457	4.926	7.0920000000000005	9.419
16.00598	5.126	21.039	15.708	14.425	8.292	7.725	4.29	13.6	5.352	19.340999999999998	16.419	14.714	6.797000000000001	7.921	4.047	15.439	5.395	19.149	16.96	14.651	9.293	8.902999999999999	3.786	14.780999999999999	4.76	7.124	7.061	6.642	9.702	4.802	7.565	8.742	4.16	4.801	5.657	6.865	10.198	4.684	8.249	9.306000000000001	4.398	5.353	5.992999999999999	5.995	9.939	4.745	7.7620000000000005	9.335
16.17256	5.457000000000001	20.442999999999998	15.734000000000002	13.663	7.7170000000000005	7.8389999999999995	4.504	13.972000000000001	5.4	20.252	15.626	14.613	7.071000000000001	7.532	4.042	16.384	5.292000000000001	18.61	16.168	14.802	8.812000000000001	9.049	4.119	15.972000000000001	4.8389999999999995	7.11	6.574	7.069	9.724	5.006	7.899	8.857000000000001	4.553	4.849	5.515	7.071000000000001	10.314	4.953	8.11	9.517999999999999	4.8580000000000005	4.992	6.041	6.075	9.677	5.265	7.5920000000000005	9.796
16.33922	5.537000000000001	21.644000000000002	15.539000000000001	13.309000000000001	8.654	7.763999999999999	4.34	14.692	5.322	20.502	15.431	14.574000000000002	7.566	8.245	4.29	16.291	5.882000000000001	18.165	16.384	13.975	9.434	8.974	4.327	15.685	4.9510000000000005	7.0329999999999995	6.434	6.6770000000000005	9.65	5.022	7.792000000000001	9.13	4.316	5.022	5.877999999999999	7.624	9.862	4.971	8.318999999999999	9.414	4.72	5.45	6.247999999999999	6.502000000000001	9.697000000000001	5.156000000000001	7.895	10.605
16.50596	5.29	21.375	14.681	13.838	8.834	7.776	4.555	15.447000000000001	5.422000000000001	19.874000000000002	16.435	14.629000000000001	7.87	7.819	4.446000000000001	16.46	5.587000000000001	18.511	16.602	15.04	10.214	8.83	4.178999999999999	16.188	4.831	6.82	6.6610000000000005	7.127999999999999	9.477	4.9319999999999995	8.245	9.871	4.603	4.869	5.662000000000001	7.8229999999999995	10.383	5.041	8.646	9.843	5.111000000000001	5.171	6.066	6.447	9.617	5.415	8.285	10.243
16.67267	5.523	20.959	15.332	14.014000000000001	8.6	8.328	4.985	16.352999999999998	5.561	20.402	15.632	14.647	7.76	8.087	4.371	17.496	5.983	19.417	15.2	14.204	9.505	9.318999999999999	4.351	16.367	4.907	7.5920000000000005	7.053	7.678999999999999	9.999	5.165	8.513	9.287	4.52	5.103	5.737	7.584	9.798	5.402	8.471	9.987	4.779	5.31	6.3	6.84	9.475	5.143	8.332	9.785
16.83931	5.916	21.396	15.636	13.811	8.554	7.932	4.91	14.982000000000001	6.017	20.487	16.316	14.254000000000001	7.777	8.514	4.455	17.269000000000002	6.381	17.509	15.979000000000001	14.697000000000001	9.523	9.334	4.934	16.198	5.047	7.416	7.446000000000001	7.694	10.016	5.43	8.275	9.777000000000001	4.626	4.925	6.223	7.502000000000001	10.097999999999999	5.32	8.77	9.878	4.9830000000000005	5.449	6.282	6.853	9.965	5.63	8.41	10.972000000000001
