	MG1655-1	HMDA7-1_1	rpsG1-1	nusA_sspA-1	ybeX-1	mpl-1	rpsG1_ybeX-1	rpsG1_mpl-1	MG1655-2	HMDA7-1_2	rpsG1-2	nusA_sspA-2	ybeX-2	mpl-2	rpsG1_ybeX-2	rpsG1_mpl-2	MG1655-3	HMDA7-1_3	rpsG1-3	nusA_sspA-3	ybeX-3	mpl-3	rpsG1_ybeX-3	rpsG1_mpl-3	rpsG1_ybeX_mpl-1	nusA_sspA_ybeX-1	nusA_sspA_mpl-1	nusA_sspA_ybeX_mpl-1	proV_ptsP-1	proV_ptsP_ybeX-1	proV_ptsP_mpl-1	proV_ptsP_ybeX_mpl-1	rpsG1_ybeX_mpl-2	nusA_sspA_ybeX-2	nusA_sspA_mpl-2	nusA_sspA_ybeX_mpl-2	proV_ptsP-2	proV_ptsP_ybeX-2	proV_ptsP_mpl-2	proV_ptsP_ybeX_mpl-2	rpsG1_ybeX_mpl-3	nusA_sspA_ybeX-3	nusA_sspA_mpl-3	nusA_sspA_ybeX_mpl-3	proV_ptsP-3	proV_ptsP_ybeX-3	proV_ptsP_mpl-3	proV_ptsP_ybeX_mpl-3
5.00549	0.6629999999999999	0.627	0.534	0.603	0.723	1.045	0.4	1.1740000000000002	0.7659999999999999	0.409	0.593	0.505	0.795	1.145	0.7	1.181	0.823	0.723	0.634	0.474	0.888	0.9840000000000001	0.506	1.026	0.762	0.9179999999999999	0.889	0.855	0.596	0.7	0.501	0.638	0.763	0.789	1.018	0.6940000000000001	0.602	0.565	0.8540000000000001	0.632	0.787	0.9179999999999999	0.757	0.963	0.7659999999999999	0.44	0.6940000000000001	0.5920000000000001
5.17221	0.638	0.439	0.605	0.41600000000000004	0.7290000000000001	0.955	0.342	1.0190000000000001	0.871	0.254	0.599	0.512	0.899	1.055	0.61	1.091	0.765	0.6	0.5429999999999999	0.384	0.895	0.991	0.48100000000000004	1.002	0.768	0.7959999999999999	0.703	0.992	0.506	0.74	0.573	0.743	0.705	0.861	1.09	0.961	0.7390000000000001	0.509	0.667	0.64	0.858	0.828	0.7	0.907	0.774	0.317	0.605	0.7
5.33893	0.6609999999999999	0.5920000000000001	0.531	0.406	0.753	1.075	0.33299999999999996	1.107	0.925	0.245	0.494	0.47	0.7929999999999999	1.046	0.6	1.0490000000000002	0.723	0.6890000000000001	0.502	0.40700000000000003	0.821	0.917	0.504	0.991	0.889	0.884	0.7559999999999999	0.884	0.593	0.632	0.564	0.636	0.696	0.787	0.983	0.885	0.6	0.466	0.787	0.565	0.785	0.754	0.787	0.799	0.6990000000000001	0.405	0.691	0.556
5.5056	0.654	0.521	0.621	0.39899999999999997	0.617	0.972	0.489	1.456	0.7559999999999999	0.39899999999999997	0.617	0.56	0.721	1.136	0.6890000000000001	1.139	0.7170000000000001	0.585	0.5920000000000001	0.36700000000000005	0.879	1.0070000000000001	0.6579999999999999	1.209	0.882	0.78	0.845	0.877	0.586	0.8190000000000001	0.557	0.531	0.7859999999999999	0.6509999999999999	0.879	0.78	0.722	0.36	0.682	0.461	0.875	0.8440000000000001	0.586	0.9520000000000001	0.594	0.39899999999999997	0.6829999999999999	0.7390000000000001
5.6723	0.6679999999999999	0.502	0.603	0.349	0.63	0.953	0.34	1.2109999999999999	0.675	0.317	0.532	0.47700000000000004	0.703	1.053	0.672	1.2830000000000001	0.8270000000000001	0.631	0.638	0.511	0.893	0.9890000000000001	0.608	1.129	0.7979999999999999	0.89	0.894	0.86	0.439	0.737	0.474	0.644	0.961	0.8590000000000001	0.893	0.861	0.607	0.409	0.794	0.767	0.856	0.7290000000000001	0.795	0.904	0.674	0.444	0.667	0.7609999999999999
5.83895	0.713	0.42	0.713	0.426	0.71	1.064	0.484	1.193	0.718	0.33	0.645	0.45899999999999996	0.716	1.034	0.684	1.36	0.809	0.6779999999999999	0.523	0.39399999999999996	0.777	1.003	0.556	1.203	0.846	0.8079999999999999	0.742	0.872	0.581	0.5870000000000001	0.552	0.5579999999999999	0.943	0.743	1.068	0.84	0.684	0.484	0.5479999999999999	0.715	0.871	0.742	0.742	0.882	0.589	0.39399999999999996	0.581	0.635
6.00559	0.743	0.418	0.711	0.23	0.643	1.127	0.386	1.3519999999999999	0.748	0.231	0.61	0.585	0.8109999999999999	1.064	0.649	1.228	0.807	0.708	0.521	0.457	0.904	0.903	0.6829999999999999	1.265	0.94	0.773	0.772	0.966	0.48200000000000004	0.778	0.45299999999999996	0.619	0.8759999999999999	0.773	0.872	0.8690000000000001	0.682	0.449	0.74	0.809	0.836	0.805	0.675	0.976	0.6829999999999999	0.295	0.578	0.632
6.17233	0.721	0.491	0.72	0.305	0.748	0.9740000000000001	0.426	1.361	0.726	0.305	0.619	0.498	0.723	1.171	0.853	1.367	0.7190000000000001	0.62	0.7240000000000001	0.499	0.8809999999999999	1.042	0.6609999999999999	1.276	0.9490000000000001	0.718	0.7509999999999999	0.976	0.524	0.595	0.5589999999999999	0.63	1.079	0.75	1.01	0.7829999999999999	0.627	0.49200000000000005	0.782	0.56	0.877	0.7490000000000001	0.685	0.955	0.758	0.433	0.6859999999999999	0.872
6.33895	0.725	0.39799999999999996	0.693	0.342	0.785	0.978	0.495	1.527	0.764	0.342	0.72	0.503	0.728	1.175	0.762	1.2429999999999999	0.917	0.624	0.696	0.47100000000000003	0.8859999999999999	1.111	0.795	1.443	0.986	0.787	0.7559999999999999	0.9490000000000001	0.529	0.7290000000000001	0.596	0.5710000000000001	0.9540000000000001	0.755	1.08	0.982	0.7290000000000001	0.498	0.787	0.565	0.8490000000000001	0.657	0.69	1.057	0.763	0.696	0.691	0.556
6.50562	0.75	0.586	0.621	0.39899999999999997	0.746	1.133	0.489	1.4880000000000002	0.7559999999999999	0.335	0.8109999999999999	0.56	0.7859999999999999	0.9420000000000001	0.6890000000000001	1.139	0.7490000000000001	0.618	0.7859999999999999	0.593	0.7170000000000001	1.0070000000000001	0.6579999999999999	1.305	0.9790000000000001	0.877	0.748	0.9740000000000001	0.586	0.722	0.589	0.66	0.98	0.6829999999999999	1.008	0.9420000000000001	0.5920000000000001	0.49	0.747	0.526	1.037	0.715	0.6829999999999999	0.9840000000000001	0.594	0.39899999999999997	0.78	0.546
