	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	mdtK-1	ompR-1	proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	mdtK-2	ompR-2	proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	mdtK-3	ompR-3	proQ-3	ptrA-1	mdtK_ompR-1	mdtK_proQ-1	mdtK_ptrA-1	ompR_ptrA-1	bioAB-1	ptrA-2	mdtK_ompR-2	mdtK_proQ-2	mdtK_ptrA-2	ompR_ptrA-2	bioAB-2	ptrA-3	mdtK_ompR-3	mdtK_proQ-3	mdtK_ptrA-3	ompR_ptrA-3	bioAB-3
9.83895	1.3940000000000001	15.397	10.099	11.693	7.852	3.0989999999999998	2.8139999999999996	1.7719999999999998	1.695	16.292	14.208	11.456	7.992000000000001	2.593	1.062	1.778	1.4769999999999999	16.178	14.042	11.504000000000001	8.281	2.4659999999999997	1.305	2.095	3.431	2.032	2.016	3.5580000000000003	1.693	1.7630000000000001	3.424	2.6710000000000003	2.5610000000000004	3.833	2.095	2.0780000000000003	3.783	2.533	2.305	4.42	1.6030000000000002	1.7519999999999998
10.00549	1.53	15.557	11.255999999999998	11.425999999999998	7.757999999999999	3.261	2.9789999999999996	1.794	1.6280000000000001	16.394000000000002	14.798	12.591	8.041	2.845	1.084	1.943	1.695	15.679	14.747	11.15	8.443999999999999	2.6319999999999997	1.383	2.115	3.82	2.0540000000000003	2.124	3.78	1.6019999999999999	1.871	3.5869999999999997	2.55	2.698	4.026	2.347	2.157	3.861	2.412	2.642	4.669	1.796	1.9180000000000001
10.17221	1.5490000000000002	16.016	12.189	11.679	7.95	3.285	2.995	1.7830000000000001	1.94	16.369	15.915	12.474	8.004	2.575	1.187	1.9040000000000001	1.55	15.880999999999998	16.067	11.318	8.007	2.676	1.545	1.9369999999999998	3.8480000000000003	2.3	2.0540000000000003	3.7110000000000003	1.645	1.973	4.04	2.9389999999999996	2.7430000000000003	4.531000000000001	2.362	2.345	4.11	2.7430000000000003	2.745	4.69	1.787	1.9909999999999999
10.33888	1.474	16.092	12.445	11.349	7.875	3.844	3.033	1.9080000000000001	1.955	16.102	16.564	12.03	7.931	2.843	1.196	2.0580000000000003	1.681	16.33	16.602	11.763	7.876	2.858	1.584	2.208	4.037	2.252	2.378	3.98	1.796	2.04	3.8810000000000002	3.0639999999999996	2.752	4.542	2.457	2.326	4.236000000000001	2.838	2.812	4.7589999999999995	1.828	2.173
10.5056	1.597	15.462	12.909	11.511	7.827999999999999	3.721	2.9789999999999996	2.117	1.92	15.649000000000001	16.078	12.195	7.886	3.1060000000000003	1.229	2.266	1.8780000000000001	16.451	16.839000000000002	10.894	7.803999999999999	3.234	1.621	2.253	4.18	2.3409999999999997	2.265	4.215	1.825	2.1590000000000003	4.3580000000000005	3.1839999999999997	2.957	4.981	2.546	2.444	4.851	2.928	2.7030000000000003	5.1739999999999995	1.954	2.378
10.6723	1.8130000000000002	15.485999999999999	13.032	11.991	7.757000000000001	3.798	3.136	2.131	2.372	16.02	17.971	12.215	8.047	3.263	1.415	2.28	1.8419999999999999	16.217	18.016	11.402999999999999	7.937	3.161	1.722	2.271	4.49	2.786	2.508	4.632	2.008	2.201	4.607	3.6289999999999996	2.97	4.766	2.6439999999999997	2.658	5.2989999999999995	3.2289999999999996	2.889	5.507000000000001	2.114	2.535
10.83885	1.8130000000000002	15.572000000000001	13.578	11.415	7.671	4.373	3.2510000000000003	2.218	2.199	16.538	17.712	12.732999999999999	7.989	3.292	1.386	2.2230000000000003	1.986	16.562	18.217	11.432	8.196	3.477	1.635	2.299	4.6339999999999995	2.786	2.537	4.6610000000000005	1.9509999999999998	2.374	4.808	3.485	3.2	5.341	2.759	2.802	4.954	3.142	2.889	5.766	2.028	2.563
11.00563	2.097	15.652999999999999	13.914000000000001	11.583	7.725	4.253	3.248	2.07	2.625	16.56	17.879	12.728	7.956	3.5469999999999997	1.469	2.478	2.239	16.297	17.836	11.312000000000001	8.019	3.4739999999999998	1.919	2.5540000000000003	5.0889999999999995	2.8689999999999998	2.533	5.146	2.092	2.6010000000000004	4.976	3.741	3.283	5.539	2.67	3.0	5.439	3.628	3.145	5.934	2.024	2.819
11.17234	1.9069999999999998	15.786	14.575	11.252	7.851	4.527	3.4010000000000002	2.426	2.555	16.839000000000002	18.875999999999998	12.945	8.084	3.529	1.652	2.46	2.083	16.604	18.547	11.01	8.089	3.656	1.844	2.654	5.452000000000001	3.138	2.6289999999999996	5.186	2.101	2.697	5.048	3.924	3.409	5.867000000000001	2.737	3.154	5.797000000000001	3.897	3.3280000000000003	6.35	2.238	2.9730000000000003
11.33905	2.2969999999999997	16.04	14.527000000000001	11.818	7.78	4.662	3.5010000000000003	2.412	2.7489999999999997	16.145	18.902	11.9	7.986000000000001	3.918	1.694	2.417	2.451	16.859	18.776	11.808	7.962000000000001	3.785	2.032	2.6719999999999997	5.303	3.238	3.045	5.345	2.199	2.826	5.412999999999999	4.255	3.5660000000000003	5.882000000000001	3.095	3.023	6.074	4.055	3.428	6.281000000000001	2.254	3.016
11.50566	2.4290000000000003	16.051	14.527000000000001	11.833	8.142999999999999	4.82	3.635	2.401	2.963	16.471	19.919	12.835	8.059	4.08	1.742	2.694	2.376	16.695999999999998	19.389	11.245999999999999	8.093	3.804	2.193	2.802	5.803	3.515	3.035	5.42	2.363	2.988	5.742999999999999	4.158	3.412	5.899	3.201	3.2430000000000003	6.233	4.217	3.389	6.9879999999999995	2.386	3.264
11.67244	2.4419999999999997	16.113	14.432	12.475	7.638	5.001	3.708	2.645	3.114	16.79	20.525	14.165999999999999	7.812	4.238	1.814	2.65	2.7569999999999997	16.555999999999997	20.051	11.686	8.363999999999999	4.279	2.2640000000000002	2.957	6.0089999999999995	4.019	3.109	5.779	2.523	3.32	5.8389999999999995	4.575	3.801	6.372999999999999	3.188	3.575	5.928	4.721	3.403	6.855	2.398	3.25
11.83893	2.512	15.843	14.95	11.885	7.909	5.074	3.718	2.8	3.073	16.839000000000002	20.171	12.628	8.17	4.537	1.911	3.0069999999999997	2.63	16.575	19.267	10.981	8.118	4.405	2.42	2.798	5.941	4.1739999999999995	3.4930000000000003	6.136	2.647	3.5610000000000004	6.66	4.7589999999999995	3.639	6.7589999999999995	3.255	3.6719999999999997	6.459	4.8180000000000005	3.8169999999999997	7.789	2.3819999999999997	3.4339999999999997
12.00566	2.73	15.912	14.921	12.302	7.84	5.26	3.7939999999999996	2.4730000000000003	3.028	16.733	20.899	12.901	7.956	4.583	2.016	2.737	2.843	17.275	19.159000000000002	12.002	8.45	4.308	2.351	3.2439999999999998	6.6129999999999995	4.192	3.109	6.297000000000001	2.782	3.492	5.983	5.035	3.657	6.718	3.59	3.6039999999999996	7.3660000000000005	4.98	3.7489999999999997	7.2860000000000005	2.657	3.7680000000000002
12.17239	3.034	16.352999999999998	14.317	11.684000000000001	7.885	5.244	3.87	2.7489999999999997	3.5010000000000003	16.713	19.067	13.172	7.886	4.687	2.0340000000000003	2.927	2.855	16.824	20.03	11.412	7.977	4.7	2.569	3.1439999999999997	6.622999999999999	4.44	3.4730000000000003	6.774	2.859	3.7110000000000003	6.916	5.11	3.992	7.309	3.7239999999999998	4.025	7.352	5.256	4.025	7.445	2.615	3.9010000000000002
12.33902	2.8160000000000003	16.257	15.265999999999998	12.389000000000001	7.752999999999999	6.065	4.111000000000001	2.847	3.431	16.646	20.899	13.187999999999999	7.956	4.784	2.044	2.909	3.217	16.93	20.137	11.341	7.817	4.883	2.667	3.33	7.16	4.508	3.483	7.16	2.897	4.067	6.587000000000001	5.524	4.146	7.494	3.648	4.093	7.05	5.67	4.209	7.9479999999999995	2.7430000000000003	4.085
12.50572	2.986	16.825	15.638	12.343	7.867000000000001	6.013999999999999	4.1739999999999995	2.991	3.608	16.977999999999998	21.054000000000002	13.454	7.836	5.015	2.079	3.111	3.304	17.092	20.116	12.183	8.011000000000001	5.289	2.781	3.6039999999999996	7.065	4.998	3.5189999999999997	7.2410000000000005	2.995	3.783	7.1979999999999995	5.58	3.95	7.718	4.114	4.126	7.812	5.699	4.268	7.905	2.8810000000000002	4.202
12.67237	3.281	16.22	15.208	12.215	7.874	6.406000000000001	4.291	2.9960000000000004	3.628	16.952	20.053	12.725999999999999	7.845	5.0489999999999995	2.34	3.0589999999999997	3.471	17.408	19.721	11.397	7.906000000000001	5.321000000000001	2.673	3.388	7.61	5.0889999999999995	3.8939999999999997	7.365	3.31	4.246	7.992000000000001	5.787999999999999	4.3260000000000005	8.532	4.059	4.416	7.597	6.136	4.186	8.379	2.833	4.091
12.83898	3.1910000000000003	16.272000000000002	16.463	12.584000000000001	7.525	6.372000000000001	4.46	3.165	3.8810000000000002	17.031	20.305	13.209000000000001	7.7829999999999995	5.821000000000001	2.451	3.285	3.465	16.942	19.226	12.167	7.96	5.318	2.898	3.384	7.69	5.516	3.861	8.337	3.364	4.128	7.901	6.186	4.495	8.269	4.257	4.872	7.535	6.132000000000001	4.614	9.177999999999999	3.03	4.49
13.00575	3.7110000000000003	16.838	15.055	12.152000000000001	7.702999999999999	6.254	4.697	3.343	3.963	16.245	20.666	13.263	8.074	5.596	2.659	3.406	3.861	17.736	19.241	11.935	7.848	5.497000000000001	3.076	3.556	8.541	5.694	4.042	7.852	3.517	4.593	8.127	6.735	4.387	8.242	4.15	5.022	8.826	6.768	4.619	9.492	3.147	4.64
13.17243	3.625	16.320999999999998	15.772	12.41	7.502000000000001	6.541	4.611000000000001	3.142	4.2780000000000005	17.766	20.322	13.12	7.529	6.084	2.516	3.6639999999999997	3.947	16.817999999999998	19.355999999999998	12.48	7.79	6.7010000000000005	3.3339999999999996	3.7	8.197000000000001	5.694	4.2139999999999995	8.139	3.804	4.65	8.327	6.85	4.559	8.386000000000001	4.637	5.337999999999999	9.658	6.395	4.791	10.009	3.262	4.726
13.33922	3.887	17.102	15.065	12.817	7.5920000000000005	7.263	4.643	3.375	4.571000000000001	17.313	20.615	13.613	7.5329999999999995	5.8870000000000005	2.6630000000000003	3.438	4.096	16.767	20.568	11.854000000000001	7.709	6.103	3.338	4.221	8.634	6.242999999999999	4.39	8.861	3.951	4.912	8.993	7.513999999999999	4.793	9.165	4.498	5.37	9.261000000000001	7.059	5.14	9.842	3.353	4.787
13.50579	4.0680000000000005	16.195999999999998	14.912	12.655	7.858	7.016	4.995	3.641	4.668	16.982	19.825	13.767000000000001	7.599	6.555	2.957	3.676	4.194	17.497	19.807000000000002	12.152000000000001	7.975	6.254	3.346	4.173	9.737	6.395	4.712	8.353	3.986	5.207000000000001	8.487	7.466	4.8	9.203	5.021	5.292000000000001	9.415	7.468999999999999	5.434	10.024	3.447	5.254
13.67249	4.282	16.674	14.567	12.354000000000001	7.64	7.665	5.35	3.5380000000000003	4.8	17.519000000000002	20.19	13.582	7.755	6.625	3.054	3.687	4.585	17.23	18.91	11.564	7.73	6.638999999999999	3.7889999999999997	3.987	9.442	6.665	4.982	9.486	4.255	5.305	9.71	7.707999999999999	5.012	9.044	5.118	5.648	10.292	7.941	5.734	10.212	3.633	5.84
13.83908	4.23	16.378	15.562999999999999	12.422	7.815	7.624	5.38	3.8289999999999997	5.162000000000001	17.43	20.445	13.539000000000001	7.615	7.002999999999999	3.199	4.178999999999999	4.805	17.224	19.339000000000002	11.605	7.678	6.67	3.8510000000000004	4.371	9.985	7.072	4.665	9.264	4.281000000000001	5.567	9.497	7.858	5.272	9.599	5.032	5.765	10.823	7.947	5.335	10.772	3.7539999999999996	5.814
14.00582	4.447	16.532	15.994000000000002	11.975999999999999	7.631	8.125	5.426	3.845	5.1739999999999995	17.697	19.907	13.695	7.43	7.278	3.3310000000000004	4.109	4.931	17.636	19.778	12.107000000000001	7.665	7.004	3.8960000000000004	4.529	10.655	7.117000000000001	4.914	9.826	4.587	5.584	10.142000000000001	8.161	5.433	9.987	5.3660000000000005	6.242000000000001	10.663	8.078	5.84	10.669	4.0569999999999995	5.888999999999999
14.17251	4.487	16.68	14.835	12.014000000000001	7.558	8.274	5.756	3.628	5.409	17.296	20.771	14.017999999999999	7.2989999999999995	6.974	3.6039999999999996	4.0360000000000005	5.165	16.891	18.83	12.632	7.734	6.815	4.253	4.5089999999999995	10.282	7.732	5.071000000000001	9.462	4.919	5.912000000000001	10.377	7.914	5.82	10.744000000000002	5.438	6.14	10.498	8.089	6.053999999999999	10.648	3.8960000000000004	6.102
14.3392	4.872	16.131	14.315999999999999	12.864	7.5920000000000005	8.182	6.02	4.24	5.692	17.012	20.891	13.089	7.507999999999999	7.386	3.551	4.273	5.593999999999999	17.294	19.698	12.133	7.83	7.627999999999999	4.377	4.467	10.949000000000002	7.771	5.479	9.504	4.72	6.093	10.804	8.443	5.654	10.184	5.471	6.809	11.122	8.445	5.659	11.272	4.022	6.341
14.50583	5.104	16.698	14.432	12.46	7.627000000000001	8.234	5.94	4.186	6.117000000000001	16.972	21.136999999999997	13.747	7.398	7.791	3.6439999999999997	4.335	5.2989999999999995	18.06	18.449	12.533	7.832999999999999	7.832999999999999	4.466	4.811	10.905999999999999	8.234	5.6	10.367	5.015	6.356	10.912	9.277999999999999	5.516	10.299000000000001	5.909	6.756	11.319	8.677	6.152	11.843	4.398	6.891
14.6725	5.117	17.062	14.288	12.935	7.725	8.568	6.239	4.285	6.077000000000001	17.25	19.748	14.31	7.352	8.062999999999999	3.972	4.6930000000000005	5.749	17.534000000000002	18.987000000000002	12.720999999999998	7.501	7.846	4.652	5.171	11.963	8.506	5.4670000000000005	10.64	5.026	6.7139999999999995	10.757	9.954	6.102	11.09	6.15	7.199	11.537	9.294	6.51	11.802	4.526	6.817
14.83917	5.707999999999999	16.612000000000002	15.323	12.747	7.712999999999999	9.039	6.227	4.215	6.232	16.54	19.642	13.747	7.57	7.877999999999999	3.7880000000000003	4.45	5.644	17.802	20.173	12.245	7.803999999999999	8.408	4.811	4.754	11.338	8.924	5.542000000000001	10.367	5.417999999999999	6.96	11.687999999999999	9.767000000000001	5.86	11.765	5.995	7.388	12.870999999999999	9.309	6.353	12.418	4.57	6.9479999999999995
15.00582	5.452999999999999	16.532	14.442	12.867	8.119	8.93	6.5760000000000005	4.478	6.755	17.323	20.08	13.753	7.574	8.312999999999999	4.395	4.7989999999999995	6.11	17.779	19.261	12.710999999999999	7.722	8.24	4.787	4.7589999999999995	12.754000000000001	9.015	5.776	10.687999999999999	5.68	7.28	12.527999999999999	9.8	6.267	11.970999999999998	6.66	7.91	12.963	9.86	6.933	11.675999999999998	4.5169999999999995	7.499
15.17257	5.553	16.407	14.039000000000001	12.624	7.497999999999999	9.321	6.587999999999999	4.375	6.773	17.257	19.812	13.366	7.2410000000000005	8.442	4.091	4.467	6.186	18.173	19.886	12.209000000000001	7.937	8.713	5.433	5.349	12.488	9.374	5.96	11.307	5.317	7.121	11.857000000000001	10.592	6.308	10.950999999999999	6.672000000000001	8.067	12.549000000000001	10.392000000000001	6.457000000000001	12.814	4.8469999999999995	7.656000000000001
15.33923	5.952000000000001	16.077	14.375	12.761	7.644	9.48	6.7620000000000005	4.5760000000000005	7.047000000000001	18.187	19.852	14.65	7.327999999999999	8.41	4.494	4.898	6.5729999999999995	18.098	18.601	13.12	7.648	8.568	5.574	5.3420000000000005	12.465	9.37	5.962000000000001	11.617	6.068	7.751	12.244000000000002	10.356	6.337000000000001	11.835	6.672999999999999	8.467	13.17	9.669	6.973	12.429	4.959	7.625
15.50582	5.626	16.791	14.902000000000001	13.414000000000001	7.888999999999999	9.562000000000001	6.835	5.312	6.496	17.927	19.649	13.753	7.143	8.427999999999999	4.539	4.914	6.8	17.434	19.232	13.056	7.665	9.217	5.5920000000000005	5.535	12.15	9.791	6.121	11.292	6.341	7.74	12.614	10.72	6.526	11.626	7.005	8.485	12.618	9.802999999999999	7.162999999999999	11.704	5.495	7.843999999999999
15.67265	6.12	16.76	14.423	12.985999999999999	7.6979999999999995	9.876	7.246	4.744	7.242000000000001	17.261	20.563000000000002	13.295	7.553999999999999	8.119	4.921	5.152	6.768	18.034000000000002	18.163	12.34	8.247	8.908	5.943	5.48	12.544	9.767000000000001	6.475	11.899000000000001	6.322	8.321	12.610999999999999	10.695	6.678	12.003	6.841	8.491	13.509	10.296	7.141	12.337	5.672000000000001	8.568
15.83931	6.522	16.415	13.849	13.302	7.6979999999999995	9.818999999999999	7.332000000000001	5.204	7.356	17.548	20.046	13.668	7.122999999999999	9.267000000000001	5.0360000000000005	5.21	6.94	17.258	18.996	12.943	7.558	9.109	5.742000000000001	5.566	13.808	9.681000000000001	6.446000000000001	11.554	6.524	8.005	12.151	10.437000000000001	7.1370000000000005	12.003	7.587999999999999	8.29	12.762	10.612	7.859	11.504000000000001	5.586	8.31
16.00598	6.465	16.320999999999998	14.595999999999998	13.07	8.076	9.667	7.68	5.58	8.008	17.163	19.519000000000002	14.095	7.472	9.469	5.155	5.442	7.246	18.137	18.122	13.110999999999999	7.446000000000001	9.513	6.002000000000001	5.822	13.159	9.767000000000001	6.422999999999999	11.581	6.587000000000001	8.81	13.347000000000001	10.665	6.395	12.172	7.563	8.636000000000001	13.043	10.583	7.2010000000000005	11.127	5.528	8.369
16.17256	6.656000000000001	17.15	14.175	13.148	8.006	9.863999999999999	7.553999999999999	5.626	7.688	16.845	19.746	13.859000000000002	7.546	8.741	5.487	5.775	7.6160000000000005	17.418	17.719	12.674000000000001	7.894	9.472999999999999	6.364	6.188	13.046	10.389000000000001	6.352	11.286	7.0329999999999995	8.398	13.029000000000002	11.03	6.928	12.020999999999999	7.666	9.085	13.899000000000001	10.459000000000001	7.247000000000001	12.01	5.835	9.306000000000001
16.33922	7.369	16.311	14.797	13.544	7.715	10.719000000000001	7.894	5.421	8.027000000000001	17.269000000000002	19.452	14.083	7.57	9.454	5.54	5.943	7.752999999999999	18.358	18.745	12.324000000000002	7.602	9.899	6.676	6.269	13.870999999999999	10.987	6.635	11.424000000000001	7.086	8.652000000000001	13.280999999999999	10.709000000000001	6.9239999999999995	11.585	7.8629999999999995	9.741	15.73	10.597999999999999	7.157	12.091	6.087999999999999	8.641
16.50596	7.341	16.893	13.992	12.828	8.083	10.47	8.264	5.562	8.151	17.31	19.003	14.633	7.507999999999999	9.914	5.767	5.711	7.735	17.364	18.241	12.872	7.541	9.64	6.474	6.3	14.175999999999998	10.557	6.659	11.138	7.11	9.484	13.693	11.515	7.4079999999999995	12.047	8.232999999999999	9.941	14.59	10.540999999999999	7.959	11.435	6.434	8.898
16.67267	7.733	17.168	13.887	12.933	8.075	10.543	8.427999999999999	5.381	8.512	18.158	18.817999999999998	14.133	7.558	10.076	5.902	5.961	8.584	18.27	17.997	13.379000000000001	7.877999999999999	9.63	6.837999999999999	6.547999999999999	14.85	11.007	6.9670000000000005	11.53	7.2170000000000005	9.618	13.880999999999998	11.475999999999999	7.1129999999999995	12.18	8.138	9.788	14.692	10.1	7.433	11.654000000000002	6.74	10.124
16.83931	7.6	16.692	13.36	12.915	7.91	10.757	8.81	5.992999999999999	8.324	17.051	18.342	13.799000000000001	7.595	10.029	5.997000000000001	5.854	7.822	17.967	17.982	12.556	7.915	10.099	7.02	6.473	14.808	10.989	6.544	12.144	7.455	9.283	13.981	11.17	7.064	12.737	8.318999999999999	9.884	14.675999999999998	10.397	7.412999999999999	11.837	6.836	9.703
17.00605	7.777	16.555	13.742	13.84	7.972	10.533	8.757	6.17	8.934	17.316	19.527	14.322000000000001	7.57	10.321	6.231	5.801	8.978	18.06	18.506	12.302999999999999	8.006	10.334000000000001	7.167999999999999	6.565	15.304	11.08	7.267	11.632	7.89	10.093	14.821	11.52	7.068	11.677999999999999	8.64	10.147	13.705	10.948	7.417000000000001	12.418	6.611000000000001	10.311
17.17266	8.318	17.066	13.877	13.288	8.169	10.383	9.184	5.849	9.099	17.224	19.894000000000002	14.23	7.796	10.115	6.284	6.199	8.655	17.45	17.206	12.901	7.656000000000001	9.984	7.422000000000001	6.818	14.175999999999998	11.362	7.062	11.454	7.827999999999999	9.657	14.24	11.343	7.035	11.788	8.549	10.056000000000001	14.187000000000001	10.655999999999999	7.528	11.520999999999999	6.5489999999999995	9.674
17.33943	8.341000000000001	17.128	13.625	13.857999999999999	8.295	10.36	9.142000000000001	6.325	9.886000000000001	17.752	18.175	13.997	7.607	10.452	6.672999999999999	6.417000000000001	8.925	17.573	17.56	13.387	8.016	11.01	8.017999999999999	7.016	14.686	11.154000000000002	7.218	10.583	8.388	9.504	14.450999999999999	11.797	7.422000000000001	11.379000000000001	8.621	10.508	14.997	11.194	7.888999999999999	11.749	7.261	10.673
17.50606	8.86	16.927	12.876	13.772	8.468	10.619000000000002	9.488	5.98	9.511000000000001	18.097	18.492	14.458	7.751	10.048	6.787999999999999	6.157	9.357000000000001	17.429000000000002	17.704	13.530999999999999	8.131	10.636	8.277999999999999	7.332999999999999	14.974	11.470999999999998	7.275	11.015	8.359	10.138	14.537	11.769	6.904	11.925999999999998	9.457	10.681	15.112	10.935	7.542999999999999	11.374	7.146	11.047
17.6727	8.645	16.887999999999998	13.019	13.527999999999999	8.163	11.099	9.761000000000001	6.3389999999999995	9.992	17.657	18.742	14.878	7.763	10.350999999999999	7.09	6.6610000000000005	9.493	18.486	18.012	13.144	8.144	10.42	8.206	7.263	15.257	11.573	7.115	11.866	8.227	10.297	14.558	11.64	7.291	12.0	9.152999999999999	11.155999999999999	14.526	10.949000000000002	7.211	11.593	7.593999999999999	11.034
17.83942	9.035	16.464000000000002	13.492	14.033	8.649	10.875	9.81	6.763	10.139	17.804000000000002	18.23	14.43	7.529	9.305	7.053999999999999	6.624	9.408	17.828	18.476	13.705	8.023	10.755999999999998	8.195	7.334	15.767999999999999	10.784	7.082000000000001	11.565999999999999	8.193999999999999	10.4	14.849	11.627	7.171	11.728	9.031	10.397	16.059	11.427999999999999	7.462999999999999	12.555	7.897	10.734000000000002
18.00597	9.493	16.754	13.452	13.599	8.381	10.82	9.747	6.497999999999999	10.433	17.608	18.175	14.89	7.636	10.164	7.393	7.223	9.53	18.695999999999998	17.099	12.868	7.843	10.78	8.796	7.535	16.097	10.809000000000001	7.131	11.187999999999999	8.704	11.117	15.142000000000001	11.049000000000001	7.0760000000000005	12.157	9.716000000000001	11.285	13.815999999999999	11.020999999999999	7.542999999999999	12.152000000000001	8.269	10.875
18.1728	9.477	16.822	12.992	13.870999999999999	8.657	10.485	9.906	7.031000000000001	9.693	18.249000000000002	18.214000000000002	14.614	7.652	10.206	7.495	6.777	9.365	18.33	17.367	13.342	8.089	10.362	8.896	6.797999999999999	14.835	11.398	6.946000000000001	11.517999999999999	8.951	11.187999999999999	14.603	11.523	7.3229999999999995	11.997	9.126	11.472000000000001	14.835	10.890999999999998	7.53	11.472999999999999	8.023	11.09
18.33937	9.769	17.666	12.5	13.644	8.652999999999999	10.206	10.251	6.598	10.597999999999999	17.916	19.088	14.705	7.821000000000001	10.985	8.041	6.891	10.097999999999999	18.198	16.6	13.288	8.317	10.852	8.552	7.0329999999999995	15.603	11.140999999999998	6.855	11.088	9.437999999999999	11.19	13.866	11.870999999999999	6.945	11.913	9.816	11.243	14.699000000000002	11.295	7.3839999999999995	11.679	8.199	10.342
18.5061	9.929	17.051	13.219000000000001	14.034	8.347999999999999	11.003	10.409	7.16	11.050999999999998	17.649	17.839000000000002	14.924000000000001	7.862	10.539000000000001	7.796	7.452999999999999	9.918	18.852	16.937	12.640999999999998	8.503	11.212	8.74	7.482	14.589	11.502	7.2139999999999995	11.015999999999998	9.307	10.139	15.212	12.06	7.476	11.41	9.859	11.864	14.112	10.732999999999999	7.1370000000000005	11.177	8.157	11.741
18.67281	9.811	17.624000000000002	12.462	14.2	8.56	10.564	10.847999999999999	7.016	10.574000000000002	17.891	18.034000000000002	15.013	8.08	10.607000000000001	7.7379999999999995	7.135	10.575	19.298	17.053	13.329	8.264	11.22	9.017999999999999	7.452999999999999	14.806	11.953	6.849	11.113	9.038	10.845999999999998	14.994000000000002	11.819	7.406000000000001	11.684000000000001	9.887	11.59	14.796	11.030999999999999	7.215	11.231	8.412	11.239
18.83954	9.695	17.566	13.274000000000001	14.345	8.995	10.419	10.5	7.481	11.038	18.007	18.15	15.274000000000001	7.905	10.462	7.855	7.251	10.777999999999999	18.775	17.082	13.329	8.555	10.872	9.163	7.831	15.183	11.663	6.936	11.954	9.212	11.745999999999999	14.529000000000002	11.674000000000001	7.492999999999999	10.988	9.365	11.59	14.332	11.727	7.534	11.231	8.586	10.716
19.00614	10.821	17.614	13.364	14.11	8.593	10.815999999999999	11.37	7.22	10.648	18.139	18.982	14.776	8.025	10.519	8.347999999999999	6.875	10.734000000000002	19.111	17.014	14.079	8.527999999999999	10.988	9.479	7.767	14.497	11.805	7.52	11.489	9.273	11.192	14.777999999999999	11.787	7.119	12.436	9.801	11.878	15.309000000000001	10.652999999999999	7.16	11.72	8.785	10.482999999999999
19.17275	10.385	17.387999999999998	13.020999999999999	14.309000000000001	9.099	10.967	11.333	7.064	11.067	18.557000000000002	18.67	15.239	8.445	10.975	8.077	7.415	10.982000000000001	19.529	17.748	14.048	8.107999999999999	10.572000000000001	9.475	7.65	15.622	11.538	7.127000000000001	11.394	9.404	10.982999999999999	15.254000000000001	11.520999999999999	7.336	11.327	9.818999999999999	11.582	14.327	10.702	7.146	11.456	9.101	11.463
19.33959	10.972000000000001	17.62	12.764000000000001	14.434000000000001	8.857999999999999	10.359000000000002	10.911	7.109	11.264000000000001	17.942999999999998	18.177	15.97	8.058	9.972999999999999	8.353	7.053999999999999	10.915999999999999	18.741	17.745	13.997	8.242	10.442	9.049	7.425	15.375	11.579	7.234	11.436	9.306000000000001	11.603	14.755999999999998	12.459000000000001	7.471	12.151	10.299000000000001	11.565	14.011	10.658	7.164	11.058	8.558	11.415
19.50616	10.252	17.398	12.355	14.99	9.027999999999999	10.28	11.231	7.166	11.22	18.680999999999997	17.866	15.540999999999999	8.171	11.25	8.672	7.401	11.57	19.16	16.218	13.77	8.646	10.645	9.255	8.272	14.64	11.347999999999999	7.434	11.552999999999999	9.681000000000001	10.968	14.304	11.824000000000002	7.265	11.864	10.182	11.77	14.395999999999999	10.948	7.365	11.352	9.317	10.982000000000001
19.67289	11.181	17.543	12.79	14.786	8.825	10.135	11.231	7.428	11.684000000000001	17.898	18.505	16.528	8.258	10.234	8.556000000000001	7.692	11.947000000000001	19.392	17.524	13.857000000000001	8.617	10.296	10.184	7.922999999999999	15.249	11.232000000000001	6.678999999999999	10.421	9.855	11.142000000000001	15.232999999999999	11.737	7.3229999999999995	11.225	10.415	11.741	14.744000000000002	11.181	6.871	11.41	9.172	11.215
19.83949	11.378	17.244	11.952	14.520999999999999	9.177	11.025	11.578	7.457000000000001	11.437999999999999	18.291	17.829	15.332	8.116	10.755999999999998	8.701	7.779	11.901	19.002	17.02	14.229000000000001	8.59	10.267999999999999	9.774	7.947	14.244000000000002	11.202	7.524	10.710999999999999	9.857000000000001	11.719000000000001	15.365	11.705	7.3839999999999995	11.282	10.212	13.072000000000001	14.359000000000002	10.687000000000001	7.425	10.970999999999998	9.631	11.502
20.00629	11.557	17.502	12.636	14.994000000000002	9.177	10.299000000000001	11.97	7.506	12.927999999999999	18.396	18.203	15.339	8.52	10.800999999999998	8.719	7.712000000000001	11.247	18.935	16.842	14.352	8.817	11.270999999999999	9.699	7.809	15.088	11.159	6.945	11.017999999999999	9.591000000000001	10.864	14.342	12.037	7.152	12.165	10.088	11.753	15.052999999999999	11.023	6.785	10.722000000000001	9.638	11.978
