	MG1655-1	HEXA4-10_1	HEXA7-2_1	ompR-1	proQ-1	ompC-1	ompR_proQ-1	ompR_ompC-1	MG1655-2	HEXA4-10_2	HEXA7-2_2	ompR-2	proQ-2	ompC-2	ompR_proQ-2	ompR_ompC-2	MG1655-3	HEXA4-10_3	HEXA7-2_3	ompR-3	proQ-3	ompC-3	ompR_proQ-3	ompR_ompC-3	proQ_ompC-1	ompR_proQ_ompC-1	MG1655-1dup	IBUA8-3_1	phoU-1	cheR-1	rph-1	proQ_ompC-2	ompR_proQ_ompC-2	MG1655-2dup	IBUA8-3_2	phoU-2	cheR-2	rph-2	proQ_ompC-3	ompR_proQ_ompC-3	MG1655-3dup	IBUA8-3_3	phoU-3	cheR-3	rph-3
9.1726	2.98	17.092	2.148	1.85	1.6840000000000002	4.1819999999999995	8.477	1.413	2.883	17.078	1.92	1.59	1.821	3.464	6.483	1.5959999999999999	3.091	16.861	3.0439999999999996	1.857	1.722	3.528	7.568	1.6669999999999998	2.715	4.092	0.479	5.2139999999999995	0.6629999999999999	0.616	0.583	2.6910000000000003	4.659	0.743	8.264	0.6459999999999999	0.647	0.779	2.6660000000000004	5.078	0.5770000000000001	9.618	0.518	0.7809999999999999	0.057999999999999996
9.33928	3.054	17.73	2.219	1.756	1.754	4.288	8.683	1.517	3.252	17.453	2.024	1.53	1.7280000000000002	3.832	7.115	1.7009999999999998	3.1	17.203	2.986	1.765	1.9569999999999999	3.634	8.693999999999999	1.739	2.722	4.231	0.6809999999999999	5.747999999999999	0.5720000000000001	0.721	0.556	2.864	5.029	0.716	9.357999999999999	0.75	0.8170000000000001	0.654	2.872	5.021	0.583	10.974	0.556	0.688	0.163
9.50589	3.031	17.588	2.3	1.8719999999999999	1.837	4.3	9.641	1.499	3.065	17.774	1.9080000000000001	1.71	1.8419999999999999	3.7460000000000004	7.09	1.485	3.533	16.439	3.2260000000000004	1.911	1.9069999999999998	3.515	8.894	1.7519999999999998	2.898	4.208	0.5329999999999999	6.803	0.746	0.735	0.44	3.003	5.002	0.6990000000000001	9.916	0.667	0.7	0.669	3.272	5.455	0.5660000000000001	10.972999999999999	0.604	0.506	0.243
9.67264	3.412	16.878	2.259	1.962	1.7309999999999999	4.781000000000001	9.693	1.555	3.3480000000000003	17.492	1.932	1.669	1.702	4.194	7.568	1.64	3.5189999999999997	16.517	3.215	1.8359999999999999	2.03	3.8	9.142000000000001	1.807	3.0839999999999996	4.393	0.525	6.756	0.7020000000000001	0.628	0.562	3.09	5.251	0.5920000000000001	9.9	0.626	0.7240000000000001	0.529	3.127	5.246	0.5579999999999999	11.907	0.595	0.6609999999999999	0.267
9.83936	3.361	17.358	2.326	2.06	1.861	4.955	10.305	1.724	3.362	18.622	2.165	1.736	1.868	4.336	8.639	1.6769999999999998	3.5069999999999997	17.191	3.358	2.07	1.966	3.841	9.628	2.045	3.028	4.505	0.5579999999999999	7.337999999999999	0.583	0.5660000000000001	0.565	3.27	5.01	0.659	10.589	0.6940000000000001	0.662	0.6629999999999999	3.575	5.46	0.624	12.864	0.467	0.632	0.204
10.00593	3.71	17.041	2.318	2.052	2.017	4.9110000000000005	10.554	1.8130000000000002	3.6460000000000004	18.142	2.156	1.891	1.925	4.2589999999999995	8.264	1.7990000000000002	3.6910000000000003	16.678	3.412	2.028	2.088	3.9619999999999997	9.58	2.035	3.116	4.92	0.648	7.718	0.637	0.557	0.556	3.4219999999999997	5.587000000000001	0.716	11.557	0.586	0.7509999999999999	0.654	3.364	5.579	0.615	13.600999999999999	0.45799999999999996	0.491	0.163
10.17256	3.67	17.65	2.279	2.145	1.881	5.232	10.742	1.7080000000000002	4.032	17.275	2.117	1.9180000000000001	1.821	4.744	8.649	1.7930000000000001	3.977	17.254	3.503	2.021	1.9509999999999998	4.217	10.489	1.929	3.306	4.617	0.5770000000000001	8.791	0.7609999999999999	0.748	0.485	3.545	5.381	0.513	12.136	0.6459999999999999	0.647	0.648	3.6510000000000002	5.537000000000001	0.479	14.737	0.452	0.715	0.091
10.33934	3.7760000000000002	16.023	2.383	2.15	2.116	5.568	11.605	1.8459999999999999	4.072	16.829	2.254	1.891	2.056	4.751	8.986	1.7990000000000002	3.888	17.301	3.609	2.126	2.187	4.75	10.729000000000001	2.133	3.707	4.888	0.648	9.392000000000001	0.736	0.721	0.425	3.75	5.62	0.716	13.165999999999999	0.685	0.7509999999999999	0.654	3.8569999999999998	5.874	0.615	15.833	0.524	0.82	0.261
10.50602	4.178	16.867	2.398	2.134	2.1	5.906000000000001	11.902999999999999	2.023	4.048	17.61	2.138	2.005	2.17	4.926	9.352	1.78	3.861	16.964000000000002	3.685	2.239	2.333	4.531000000000001	11.55	2.145	3.685	4.962	0.5660000000000001	9.262	0.615	0.637	0.40700000000000003	3.889	5.461	0.502	14.047	0.7659999999999999	0.831	0.5379999999999999	4.19	5.816	0.5660000000000001	16.415	0.5379999999999999	0.8009999999999999	0.276
10.67271	4.1530000000000005	17.209	2.47	2.435	2.171	6.242000000000001	12.011	2.03	4.2860000000000005	17.787	2.242	2.011	2.1430000000000002	4.835	9.853	1.9509999999999998	4.362	17.601	3.66	2.54	2.339	4.834	12.61	2.119	3.758	5.2	0.441	10.519	0.721	0.643	0.446	4.127	5.667000000000001	0.639	15.142000000000001	0.7709999999999999	0.9359999999999999	0.5760000000000001	4.1339999999999995	5.7589999999999995	0.506	16.987000000000002	0.544	0.61	0.184
10.8393	4.3180000000000005	17.069000000000003	2.428	2.49	2.488	6.273	13.562999999999999	2.056	4.4830000000000005	18.136	2.365	2.133	2.298	5.522	10.484000000000002	2.074	4.596	17.198	3.7889999999999997	2.336	2.4619999999999997	4.765	12.459000000000001	2.278	3.7880000000000003	5.002	0.495	11.287	0.652	0.635	0.47	4.3580000000000005	6.0	0.563	14.899000000000001	0.795	0.73	0.502	4.171	6.055	0.626	17.7	0.667	0.7340000000000001	0.174
11.0062	4.72	18.339000000000002	2.509	2.539	2.373	6.545	13.334000000000001	2.036	4.294	17.604	2.248	2.181	2.182	5.499	11.11	2.154	4.468999999999999	17.910999999999998	3.897	2.251	2.641	5.235	13.212	2.323	4.257	4.912	0.446	11.744000000000002	0.63	0.551	0.485	4.496	5.972	0.513	16.829	0.745	0.647	0.484	4.504	5.8660000000000005	0.61	17.788	0.7140000000000001	0.7809999999999999	0.255
11.1727	4.5969999999999995	17.664	2.613	2.577	2.313	7.1770000000000005	14.789000000000001	2.141	4.401	18.602	2.517	2.318	2.45	5.8020000000000005	11.415999999999999	2.095	4.84	16.809	3.97	2.455	2.384	5.439	13.552	2.363	4.2	4.888	0.583	11.985999999999999	0.736	0.754	0.589	4.308	5.916	0.716	17.401	0.75	0.62	0.654	4.907	5.742999999999999	0.6809999999999999	19.543	0.556	0.59	0.195
11.33949	4.745	17.858	2.6910000000000003	2.687	2.6189999999999998	6.864	14.319	2.154	5.172999999999999	17.775	2.266	2.396	2.298	6.212000000000001	11.7	2.37	5.188	16.936	4.183	2.533	2.56	5.849	14.232999999999999	2.344	4.609	5.101	0.495	12.995999999999999	0.652	0.6679999999999999	0.601	4.654	5.902	0.662	18.35	0.6970000000000001	0.632	0.5670000000000001	5.289	6.055	0.528	20.625	0.634	0.799	0.109
11.50608	5.205	16.839000000000002	2.625	2.72	2.6189999999999998	7.193	14.615	2.154	4.811	18.038	2.464	2.6260000000000003	2.495	6.114	11.338	2.3040000000000003	5.056	17.198	4.084	2.533	2.56	5.685	14.168	2.64	4.379	5.297999999999999	0.495	13.488	0.652	0.6679999999999999	0.43700000000000006	4.621	6.0	0.53	18.711	0.6970000000000001	0.632	0.6659999999999999	5.124	5.957000000000001	0.626	22.201999999999998	0.667	0.7340000000000001	0.273
11.67273	5.319	17.828	2.7119999999999997	2.873	2.805	7.505	15.282	2.568	5.386	18.305999999999997	2.517	2.384	2.45	6.162999999999999	12.729000000000001	2.488	5.365	17.892	4.364	2.75	2.745	5.965	14.964	2.658	4.397	5.478	0.451	14.448	0.637	0.524	0.491	5.096	5.916	0.552	19.732	0.8490000000000001	0.718	0.588	4.94	5.841	0.484	23.318	0.556	0.623	0.195
11.83952	5.113	17.945	2.574	2.867	2.734	7.7589999999999995	15.696	2.331	5.278	18.817999999999998	2.511	2.509	2.576	6.68	12.685	2.384	5.519	17.484	4.357	2.7430000000000003	2.8369999999999997	6.154	15.607999999999999	2.6510000000000002	4.881	5.602	0.479	14.894	0.728	0.616	0.419	5.087	6.267	0.415	20.537	0.745	0.647	0.5820000000000001	5.193	5.931	0.61	23.859	0.649	0.518	0.255
12.00626	5.737	18.011	2.7710000000000004	2.965	2.701	8.383	15.925999999999998	2.43	5.771	18.621	2.576	2.64	2.477	6.779	13.243	2.58	5.749	17.779	4.357	2.7110000000000003	2.641	6.449	15.509	2.717	4.881	5.405	0.446	15.977	0.7609999999999999	0.715	0.55	5.185	5.972	0.546	21.718000000000004	0.777	0.614	0.484	5.587000000000001	5.832999999999999	0.61	24.318	0.649	0.617	0.19
12.17277	5.885	17.993	2.7060000000000004	2.998	3.127	8.036	16.223	2.533	5.819	17.38	2.677	2.641	2.873	7.252999999999999	14.49	2.551	5.705	17.234	4.235	2.977	2.8710000000000004	6.5920000000000005	15.81	2.822	4.925	5.417000000000001	0.509	16.448	0.7040000000000001	0.65	0.518	5.696000000000001	6.4510000000000005	0.643	22.796	0.711	0.68	0.5820000000000001	6.202000000000001	5.978	0.542	25.435	0.6829999999999999	0.618	0.28800000000000003
12.33958	5.975	17.452	2.733	3.321	3.219	8.521	16.605	2.69	5.843	18.715999999999998	2.67	2.931	2.801	7.638999999999999	14.577	2.807	6.386	17.055	4.5889999999999995	2.97	2.865	6.617000000000001	15.962	3.012	5.212999999999999	5.705	0.503	17.552	0.795	0.743	0.512	5.72	5.62	0.539	22.647	0.7709999999999999	0.6409999999999999	0.478	6.027	6.2	0.602	27.653000000000002	0.742	0.71	0.21600000000000003
12.50621	6.501	17.566	2.7119999999999997	3.267	3.1	8.556000000000001	17.448	2.7319999999999998	6.502000000000001	17.65	2.648	3.237	3.074	7.739	14.797	2.718	6.153	18.221	4.496	3.111	2.9419999999999997	7.047999999999999	16.77	3.2489999999999997	5.447	5.577000000000001	0.484	18.125	0.637	0.524	0.45799999999999996	5.785	5.718999999999999	0.519	24.951999999999998	0.8490000000000001	0.718	0.555	6.352	5.94	0.583	28.701999999999998	0.622	0.623	0.261
12.67281	6.224	18.055	2.592	3.542	3.2110000000000003	9.329	18.723	2.877	6.3229999999999995	18.333	2.759	3.02	3.054	8.217	15.775	2.9939999999999998	6.468999999999999	17.56	4.38	2.96	2.987	6.966	17.421	3.264	5.595	5.791	0.495	19.305	0.7509999999999999	0.733	0.43700000000000006	5.903	6.0	0.563	25.546	0.762	0.73	0.6	6.472	6.187	0.594	28.116999999999997	0.634	0.701	0.273
12.83956	6.295	17.322	2.673	3.687	3.193	9.301	17.665	3.053	6.657	18.129	2.675	3.034	2.8710000000000004	8.419	15.440999999999999	3.335	6.372999999999999	17.878	4.553	3.3339999999999996	3.2310000000000003	7.236000000000001	17.577	3.1430000000000002	5.636	5.667000000000001	0.544	20.046	0.728	0.551	0.419	6.531000000000001	6.07	0.513	26.804000000000002	0.745	0.647	0.451	6.374	5.669	0.5770000000000001	30.651999999999997	0.7140000000000001	0.617	0.28800000000000003
13.00623	6.6610000000000005	18.53	2.8280000000000003	3.515	3.217	9.24	17.224	3.147	6.9239999999999995	18.774	2.7	3.355	3.258	8.16	14.407	3.33	7.071000000000001	18.067	4.585	3.4930000000000003	3.487	7.895	17.632	3.305	5.9	5.733	0.599	20.044	0.89	0.6409999999999999	0.607	6.274	6.042000000000001	0.634	28.261	0.8009999999999999	0.736	0.508	6.843999999999999	6.064	0.698	31.523000000000003	0.6729999999999999	0.608	0.27899999999999997
13.17298	7.159	17.88	2.733	3.9130000000000003	3.45	10.625	19.828	3.1510000000000002	6.83	17.334	2.7030000000000003	3.424	3.195	8.427999999999999	16.616	3.301	7.504	18.239	4.721	3.497	3.49	7.472	18.099	3.5060000000000002	6.364	5.705	0.405	21.301	0.861	0.677	0.446	6.5089999999999995	6.212000000000001	0.637	29.06	0.804	0.7390000000000001	0.478	6.981	6.101	0.733	30.153000000000002	0.742	0.907	0.282
13.3397	6.946000000000001	17.215999999999998	2.7680000000000002	3.815	3.387	9.92	18.413	3.444	6.882000000000001	17.63	2.6719999999999997	3.523	3.13	8.513	16.387	3.332	7.024	17.969	4.5489999999999995	3.659	3.622	8.347999999999999	17.734	3.6319999999999997	6.124	5.86	0.574	22.958000000000002	0.823	0.6459999999999999	0.41600000000000004	6.821000000000001	6.197	0.7070000000000001	28.631999999999998	0.84	0.7090000000000001	0.645	7.189	5.829	0.6729999999999999	32.938	0.843	0.614	0.252
13.50635	7.519	18.058	2.7119999999999997	3.628	3.659	10.360999999999999	19.221	3.4539999999999997	7.1579999999999995	17.912	2.78	3.533	3.14	9.873	17.489	3.7030000000000003	7.7620000000000005	17.072	4.6930000000000005	3.833	3.3360000000000003	8.886000000000001	18.149	3.5780000000000003	5.972	5.807	0.484	23.772	0.8340000000000001	0.623	0.45799999999999996	6.9670000000000005	5.981	0.617	30.73	0.9470000000000001	0.653	0.49	7.107	5.776	0.517	34.513000000000005	0.852	0.59	0.294
13.67302	7.374	17.332	2.6910000000000003	4.002	3.638	10.578	19.347	3.699	7.6370000000000005	17.84	2.595	3.71	3.3169999999999997	9.531	17.418	3.553	7.751	17.625999999999998	4.906000000000001	3.946	4.072	8.511000000000001	19.623	3.9539999999999997	6.581	5.593	0.462	24.366	0.784	0.635	0.43700000000000006	7.184	6.0329999999999995	0.563	29.785999999999998	0.861	0.665	0.5670000000000001	7.3260000000000005	5.858	0.6920000000000001	34.098	0.93	0.602	0.207
13.83969	7.925	18.125	2.805	4.3469999999999995	3.9819999999999998	10.866	18.986	4.013	7.629	18.4	2.677	3.891	3.531	9.49	17.287	4.064	7.877000000000001	17.333	4.926	4.1610000000000005	3.661	9.027000000000001	19.166	4.007	6.307	5.614	0.47600000000000003	26.483	0.9009999999999999	0.65	0.584	7.111000000000001	5.957999999999999	0.544	32.469	0.9740000000000001	0.8440000000000001	0.5820000000000001	7.88	6.11	0.706	30.634	0.847	0.552	0.28800000000000003
14.00637	7.601	17.605999999999998	2.742	4.284	3.886	11.463	18.269000000000002	4.1160000000000005	8.16	18.407	2.877	3.763	3.534	9.462	17.392	3.9360000000000004	8.87	18.36	4.897	4.494	3.7960000000000003	10.052	18.812	4.2410000000000005	6.5089999999999995	5.52	0.61	26.921	0.971	0.653	0.521	7.675	5.864	0.58	33.105	0.879	0.88	0.48700000000000004	7.787000000000001	5.917000000000001	0.61	29.393	0.883	0.818	0.389
14.17295	7.885	18.952	2.682	4.353	4.023	10.924000000000001	18.801	4.016	8.28	17.623	2.75	4.061	3.471	10.469000000000001	17.825	4.002	8.128	17.801	4.762	4.231	3.766	8.891	19.206	4.205	6.962000000000001	5.614	0.48700000000000004	27.326999999999998	0.937	0.823	0.461	7.3660000000000005	6.314	0.522	33.794000000000004	0.852	0.82	0.493	7.901	5.846	0.782	27.859	0.8220000000000001	0.593	0.363
14.3398	8.392999999999999	17.234	2.7239999999999998	4.265	3.9339999999999997	11.728	19.018	4.192	8.525	17.38	2.759	3.9730000000000003	3.81	10.057	18.798	4.046	8.441	17.921	4.873	4.538	4.072	9.431000000000001	18.9	4.414	7.37	5.528	0.495	27.421999999999997	0.8490000000000001	0.569	0.43700000000000006	7.546	5.902	0.53	33.335	0.992	0.632	0.6	8.115	6.055	0.7909999999999999	29.925	0.733	0.7340000000000001	0.37200000000000005
14.50643	8.787	17.891	2.888	4.527	4.131	12.352	18.427	4.29	8.722000000000001	17.545	2.891	4.269	3.8760000000000003	10.55	19.258	4.342	9.46	18.119	4.61	4.538	4.203	10.22	19.195999999999998	4.119	7.337000000000001	6.119	0.561	29.229	0.981	0.536	0.43700000000000006	7.742999999999999	5.902	0.662	27.846999999999998	0.9590000000000001	0.763	0.502	8.378	5.858	0.594	30.516	0.93	0.602	0.207
14.6731	8.657	17.518	2.9019999999999997	4.803	4.145	11.894	18.715	4.3	8.79	17.702	2.97	4.445	3.987	11.274000000000001	18.92	4.32	9.227	17.09	4.685	4.811	4.544	10.058	18.035999999999998	4.456	7.145	5.766	0.479	30.054000000000002	0.86	0.616	0.353	7.745	6.005	0.513	27.493000000000002	0.941	0.5479999999999999	0.451	8.179	5.767	0.5770000000000001	32.292	0.813	0.584	0.255
14.83979	9.093	17.379	2.927	5.027	4.564	11.968	19.098	4.593999999999999	8.305	18.183	2.897	4.44	4.113	11.119000000000002	19.371	4.448	9.241	18.462	4.782	4.775	4.177	10.229	18.783	4.521	7.445	5.635	0.5660000000000001	30.465999999999998	0.89	0.674	0.47600000000000003	7.7860000000000005	5.7139999999999995	0.569	28.524	0.965	0.6709999999999999	0.508	8.323	5.406000000000001	0.731	30.930999999999997	0.9359999999999999	0.8059999999999999	0.575
15.00652	9.093	17.873	2.8280000000000003	5.093	4.466	12.067	19.195999999999998	4.593999999999999	8.897	17.558	2.963	4.637	4.211	11.415	19.371	4.777	9.702	18.035	4.717	4.973	4.572	10.427	18.684	4.587	7.774	5.7989999999999995	0.501	31.156	0.89	0.674	0.509	7.984	5.845	0.569	31.285	0.965	0.736	0.475	8.488	5.472	0.698	29.879	1.035	0.7070000000000001	0.312
15.17314	9.1	17.212	2.813	5.1739999999999995	4.548	12.763	19.064	5.001	9.232000000000001	17.722	2.98	4.62	4.391	12.209000000000001	18.842	4.922	9.738	17.9	4.861000000000001	5.216	4.357	10.894	19.305	5.1579999999999995	8.111	5.811	0.5529999999999999	32.253	1.1340000000000001	0.527	0.494	8.253	5.723	0.62	31.824	0.983	0.754	0.46	8.392999999999999	5.944	0.585	30.19	0.9209999999999999	0.593	0.395
15.33986	9.017000000000001	17.956	2.7889999999999997	5.25	4.854	13.207	18.197	4.948	9.445	17.643	2.792	4.86	4.106	12.029000000000002	18.437	5.295	10.051	17.921	4.9719999999999995	5.063	4.565	10.712	18.604	5.072	7.468	5.824	0.561	31.004	1.047	0.733	0.503	8.072000000000001	6.0329999999999995	0.563	31.264	1.091	0.763	0.5670000000000001	8.18	5.99	0.6920000000000001	30.319000000000003	1.062	0.7340000000000001	0.47
15.50648	9.817	17.927	2.7119999999999997	5.007	4.742	12.955	18.203	4.833	9.391	18.438	2.944	5.142	4.42	12.27	18.868	5.016	10.126	17.597	4.66	5.147	4.879	11.48	17.852999999999998	5.153	7.712000000000001	5.971	0.55	30.272	0.9329999999999999	0.655	0.655	8.215	5.916	0.519	33.946999999999996	1.046	0.718	0.457	8.584	5.644	0.812	30.738000000000003	0.9179999999999999	0.721	0.36
15.67328	9.636000000000001	17.982	2.786	5.28	4.949	13.037	18.913	5.305	10.031	19.049	2.855	5.251	4.595	12.845	18.265	5.388999999999999	10.374	17.651	4.705	5.487	4.89	11.594000000000001	18.925	5.002	7.825	6.115	0.49200000000000005	27.511	0.9440000000000001	0.5660000000000001	0.598	8.427999999999999	5.7	0.659	30.86	0.9890000000000001	0.662	0.564	8.405	5.755	0.722	31.886	1.157	0.599	0.467
15.83984	10.725999999999999	17.135	3.085	5.776	4.887	13.798	19.051	5.309	9.741	18.432000000000002	2.858	5.353	4.697	12.652999999999999	18.798	5.13	9.887	18.151	4.774	5.425	4.762	11.6	18.9	4.973	7.961	5.824	0.462	25.943	0.784	0.6679999999999999	0.503	8.236	5.606	0.46399999999999997	30.87	0.992	0.665	0.502	8.902999999999999	5.957000000000001	0.8240000000000001	29.531	1.0290000000000001	0.536	0.47
16.00651	10.31	17.61	2.697	5.553	4.696000000000001	13.875	19.262	5.547000000000001	10.245	17.953	2.799	5.591	4.803	12.5	19.503	5.894	11.05	17.344	5.1770000000000005	5.564	5.295	11.545	18.914	5.902	7.872000000000001	6.095	0.501	29.840999999999998	0.9890000000000001	0.74	0.509	8.247	5.648	0.733	32.568000000000005	1.097	0.6709999999999999	0.573	8.882	5.604	0.9279999999999999	32.082	1.1340000000000001	0.838	0.37799999999999995
16.17325	10.49	18.08	2.819	5.74	4.949	14.120999999999999	19.012	5.239	9.9	18.787	3.2489999999999997	5.744	4.792	12.812000000000001	19.185	5.882000000000001	10.866	17.224	5.066	5.782	5.053999999999999	12.087	18.070999999999998	5.8229999999999995	7.825	5.721	0.49200000000000005	32.209	1.0759999999999998	0.665	0.5	8.329	5.502999999999999	0.659	33.291	1.351	0.826	0.564	8.47	5.985	0.7879999999999999	31.853	1.2229999999999999	0.698	0.5
16.33992	10.852	17.785	2.885	5.837999999999999	5.31	14.68	19.012	5.568	9.998	18.129	2.986	5.547000000000001	4.726	12.319	19.382	5.981	11.425	18.505	4.968	5.585	5.087	12.219000000000001	18.17	5.725	8.121	5.688	0.49200000000000005	30.829	1.0759999999999998	0.632	0.467	8.526	5.601	0.626	30.564	1.1540000000000001	0.9570000000000001	0.499	9.456	5.952999999999999	0.7879999999999999	31.985	1.124	0.8290000000000001	0.5
16.50658	10.495999999999999	17.891	2.987	5.875	5.182	13.995	18.525	5.638	10.529000000000002	18.268	2.989	5.747999999999999	4.993	13.015	18.699	6.1160000000000005	11.136	17.724	4.8069999999999995	5.852	5.682	11.797	18.078	5.893	8.257	5.692	0.561	30.708000000000002	1.145	0.569	0.503	8.696	5.409	0.563	33.302	1.288	0.665	0.6659999999999999	8.805	5.76	0.8240000000000001	30.385	1.127	0.799	0.40399999999999997
16.67316	11.037	17.737000000000002	2.977	5.962000000000001	5.501	13.780999999999999	20.147000000000002	6.151	11.137	18.346	2.947	5.769	5.015	13.589	19.237000000000002	6.465	11.117	17.932000000000002	4.894	6.267	5.375	12.241	18.977	6.176	8.308	5.68	0.5529999999999999	29.526999999999997	1.035	0.7240000000000001	0.461	8.877	5.492999999999999	0.752	30.642	1.147	0.82	0.493	8.886000000000001	5.747000000000001	0.815	32.586999999999996	1.0190000000000001	0.79	0.395
16.83999	11.317	17.792	3.1510000000000002	6.105	5.675	14.62	18.46	5.835	10.201	18.268	2.989	5.78	4.927	13.54	18.765	6.412000000000001	12.154000000000002	17.954	4.8069999999999995	6.444	5.485	12.717	18.768	6.287999999999999	8.421	5.692	0.561	29.951999999999998	0.981	0.635	0.47	8.729	5.606	0.563	30.344	1.157	0.927	0.5670000000000001	8.969	5.6610000000000005	0.889	30.055999999999997	1.16	0.9309999999999999	0.40399999999999997
17.00659	11.12	17.660999999999998	2.888	5.941	5.478	14.423	17.704	6.2620000000000005	11.022	18.432000000000002	2.957	6.142	5.026	14.065999999999999	18.962	6.314	11.366	17.855999999999998	4.9719999999999995	6.279	5.912000000000001	12.651	17.684	6.122999999999999	8.323	5.725	0.561	29.459	1.079	0.6679999999999999	0.568	8.729	5.638999999999999	0.662	31.33	1.255	0.927	0.5670000000000001	8.673	5.76	0.988	30.516	1.127	0.7340000000000001	0.40399999999999997
17.17344	11.857999999999999	17.639	2.8789999999999996	6.455	5.862	14.372	18.276	6.709	11.793	18.247	2.8810000000000002	6.162999999999999	5.376	13.49	18.645	6.497999999999999	12.299000000000001	18.885	5.058	6.562	5.572	12.93	17.794	6.405	8.538	5.68	0.48700000000000004	30.085	1.035	0.7240000000000001	0.461	8.877	5.329	0.62	30.215	1.147	0.754	0.5579999999999999	8.853	5.648	0.9790000000000001	31.372	1.0190000000000001	0.626	0.494
17.33994	11.497	18.46	2.8789999999999996	6.388999999999999	5.862	16.014	18.44	6.479	11.629000000000001	18.247	2.98	6.294	5.278	15.065999999999999	19.695999999999998	6.892	12.956	18.227999999999998	4.697	6.562	5.769	12.732999999999999	19.305	6.832000000000001	8.604	5.778	0.6509999999999999	29.494	1.166	0.6579999999999999	0.5589999999999999	8.877	5.492999999999999	0.7190000000000001	28.573	1.18	0.754	0.5579999999999999	9.083	5.747000000000001	0.9790000000000001	32.719	1.216	0.823	0.461
17.50668	11.807	17.945	2.968	6.345	6.081	13.994000000000002	16.845	6.662999999999999	11.218	18.293	3.134	6.053	5.2010000000000005	14.095999999999998	19.117	6.978	13.1	18.698	4.849	6.9110000000000005	6.086	13.57	18.331	6.72	8.392000000000001	5.962999999999999	0.544	31.17	1.122	0.715	0.452	8.597999999999999	5.381	0.612	30.676	1.171	0.8109999999999999	0.648	8.737	5.669	1.069	30.421999999999997	1.141	0.7809999999999999	0.583
17.67334	12.055	17.967	2.912	6.685	5.992999999999999	14.307	19.555999999999997	6.807	11.728	18.116	2.98	6.689	5.178999999999999	13.72	19.368	7.0889999999999995	12.529000000000002	17.834	4.959	6.727	5.704	12.832	17.959	7.127999999999999	8.604	5.417000000000001	0.5529999999999999	30.808000000000003	1.068	0.7240000000000001	0.494	8.68	5.492999999999999	0.653	31.101	1.246	0.754	0.46	9.181000000000001	5.747000000000001	1.111	31.274	1.315	0.691	0.56
17.84004	11.754000000000001	18.255	2.81	6.779	6.087999999999999	14.071	17.81	6.869	11.886	19.718	2.977	6.7829999999999995	5.207999999999999	14.338	18.409000000000002	7.183	12.652999999999999	18.812	4.791	6.821000000000001	5.995	13.811	18.083	7.32	8.302999999999999	5.675	0.747	30.699	1.031	0.82	0.491	8.773	5.422999999999999	0.65	30.993000000000002	1.276	0.915	0.654	8.781	5.579	0.9109999999999999	29.884	1.147	0.721	0.655
18.00668	11.757	18.267	2.927	6.901	6.603	14.829	17.815	7.0920000000000005	12.382	18.774	2.897	6.906000000000001	5.6579999999999995	14.243	18.483	7.505	12.595	18.725	4.914	6.879	5.722	13.220999999999998	17.895	6.691	8.267000000000001	5.404	0.665	31.156	1.153	0.871	0.607	8.838	5.4510000000000005	0.7659999999999999	31.088	1.196	0.835	0.606	9.014	5.801	0.9279999999999999	31.49	1.166	0.904	0.509
18.17333	12.283	18.793	2.8939999999999997	7.394	6.34	14.927	17.947	7.125	11.921	18.643	2.963	6.972	5.954	13.880999999999998	18.878	7.308	13.384	19.317	4.782	7.2410000000000005	5.985	13.419	17.205	7.513	8.365	5.7989999999999995	0.599	29.052	1.35	0.74	0.509	8.838	5.648	0.667	31.186999999999998	1.36	0.868	0.672	9.177999999999999	5.702000000000001	0.9940000000000001	30.636	1.265	0.904	0.47600000000000003
18.3401	12.677	18.892	2.9930000000000003	7.131	6.636	14.829	17.224	7.388	11.823	19.498	3.094	7.004	5.822	13.749	18.779	7.341	13.088	18.166	4.782	7.142	6.281000000000001	14.767000000000001	18.387999999999998	7.809	8.464	5.502999999999999	0.46799999999999997	28.658	1.153	0.674	0.47600000000000003	8.607999999999999	5.5489999999999995	0.667	34.705	1.36	0.934	0.573	8.685	5.702000000000001	1.125	31.326	1.265	0.904	0.41
18.50678	11.625	18.826	2.927	6.901	6.143	14.632	17.848	7.421	12.48	18.544	2.963	7.07	5.756	14.769	17.234	7.834	13.482000000000001	19.547	4.815	7.504	6.183	13.812999999999999	18.323	7.117999999999999	8.661	5.3389999999999995	0.665	30.531999999999996	1.087	0.773	0.509	8.51	5.417999999999999	0.733	31.647	1.196	0.868	0.606	8.882	5.867000000000001	1.026	31.785999999999998	1.265	0.904	0.6729999999999999
18.67351	12.895	18.811	3.085	7.386	6.234	15.77	17.901	7.445	12.731	19.155	3.088	7.4239999999999995	6.044	15.085	18.239	7.694	13.469000000000001	19.203	4.709	7.791	6.306	14.229000000000001	16.862000000000002	8.128	8.356	5.593	0.6920000000000001	30.708000000000002	1.244	0.7659999999999999	0.47	9.09	5.704	0.727	32.611999999999995	1.452	0.927	0.6659999999999999	9.1	6.087999999999999	1.119	31.371	1.357	0.7340000000000001	0.569
