Experiment	Tray	Well	Strain	Medium_addition
12propanediol_042215	2	E7	12PD5-9_1	butanol
12propanediol_042215	2	C11	12PD8-7_3	butanol
12propanediol_042215	2	C7	12PD5-3_2	butanol
12propanediol_042215	2	H8	12PD6-9_2	butanol
12propanediol_042215	2	A10	M9 blank	butanol
12propanediol_042215	2	C9	12PD7-5_1	butanol
12propanediol_042215	2	H3	12PD2-9_3	butanol
12propanediol_042215	2	B11	12PD8-7_2	butanol
12propanediol_042215	2	D11	12PD8-10_1	butanol
12propanediol_042215	2	A11	M9 blank	butanol
12propanediol_042215	2	G5	12PD4-8_1	butanol
12propanediol_042215	2	A9	M9 blank	butanol
12propanediol_042215	2	E11	12PD8-10_2	butanol
12propanediol_042215	2	C6	12PD4-9_1	butanol
12propanediol_042215	2	E10	12PD8-6_1	butanol
12propanediol_042215	2	A12	M9 blank	butanol
12propanediol_042215	2	D8	12PD6-6_1	butanol
12propanediol_042215	2	F11	12PD8-10_3	butanol
12propanediol_042215	2	B3	12PD2-5_3	butanol
12propanediol_042215	2	G11	M9 blank	butanol
12propanediol_042215	2	C10	12PD7-7_2	butanol
12propanediol_042215	2	G3	12PD2-9_2	butanol
12propanediol_042215	2	F6	12PD5-1_1	butanol
12propanediol_042215	2	G9	12PD7-6_2	butanol
12propanediol_042215	2	C3	12PD2-8_1	butanol
12propanediol_042215	2	H12	M9 blank	butanol
12propanediol_042215	2	C4	12PD3-7_2	butanol
12propanediol_042215	2	B7	12PD5-3_1	butanol
12propanediol_042215	2	D6	12PD4-9_2	butanol
12propanediol_042215	2	C12	M9 blank	butanol
12propanediol_042215	2	F5	12PD4-6_3	butanol
12propanediol_042215	2	F2	12PD1-10_3	butanol
12propanediol_042215	2	F7	12PD5-9_2	butanol
12propanediol_042215	2	B9	12PD6-9_3	butanol
12propanediol_042215	2	E12	M9 blank	butanol
12propanediol_042215	2	B12	M9 blank	butanol
12propanediol_042215	2	B1	MG1655_2	butanol
12propanediol_042215	2	G8	12PD6-9_1	butanol
12propanediol_042215	2	H2	12PD2-5_2	butanol
12propanediol_042215	2	B8	12PD6-3_2	butanol
12propanediol_042215	2	B4	12PD3-7_1	butanol
12propanediol_042215	2	H5	12PD4-8_2	butanol
12propanediol_042215	2	D5	12PD4-6_1	butanol
12propanediol_042215	2	A8	M9 blank	butanol
12propanediol_042215	2	A3	M9 blank	butanol
12propanediol_042215	2	E5	12PD4-6_2	butanol
12propanediol_042215	2	C1	MG1655_3	butanol
12propanediol_042215	2	D12	M9 blank	butanol
12propanediol_042215	2	E4	12PD3-8_1	butanol
12propanediol_042215	2	F3	12PD2-9_1	butanol
12propanediol_042215	2	F8	12PD6-6_3	butanol
12propanediol_042215	2	D4	12PD3-7_3	butanol
12propanediol_042215	2	B2	12PD1-4_2	butanol
12propanediol_042215	2	A5	M9 blank	butanol
12propanediol_042215	2	F4	12PD3-8_2	butanol
12propanediol_042215	2	D9	12PD7-5_2	butanol
12propanediol_042215	2	F9	12PD7-6_1	butanol
12propanediol_042215	2	E2	12PD1-10_2	butanol
12propanediol_042215	2	H11	M9 blank	butanol
12propanediol_042215	2	H1	12PD1-2_3	butanol
12propanediol_042215	3	H9	12PD7-6_3	butanol
12propanediol_042215	3	G6	12PD5-1_2	butanol
12propanediol_042215	3	F12	M9 blank	butanol
12propanediol_042215	3	G12	M9 blank	butanol
12propanediol_042215	3	H6	12PD5-1_3	butanol
12propanediol_042215	3	E3	12PD2-8_3	butanol
12propanediol_042215	3	G7	12PD5-9_3	butanol
12propanediol_042215	3	D3	12PD2-8_2	butanol
12propanediol_042215	3	A2	12PD1-4_1	butanol
12propanediol_042215	3	E1	MG1655_5	butanol
12propanediol_042215	3	A4	M9 blank	butanol
12propanediol_042215	3	A6	M9 blank	butanol
12propanediol_042215	3	G2	12PD2-5_1	butanol
12propanediol_042215	3	D7	12PD5-3_3	butanol
12propanediol_042215	3	C5	12PD3-10_3	butanol
12propanediol_042215	3	D2	12PD1-10_1	butanol
12propanediol_042215	3	D10	12PD7-7_3	butanol
12propanediol_042215	3	G4	12PD3-8_3	butanol
12propanediol_042215	3	H4	12PD3-10_1	butanol
12propanediol_042215	3	E9	12PD7-5_3	butanol
12propanediol_042215	3	H10	12PD8-7_1	butanol
12propanediol_042215	3	E6	12PD4-9_3	butanol
12propanediol_042215	3	C8	12PD6-3_3	butanol
12propanediol_042215	3	G1	12PD1-2_2	butanol
12propanediol_042215	3	D1	MG1655_4	butanol
12propanediol_042215	3	E8	12PD6-6_2	butanol
12propanediol_042215	3	C2	12PD1-4_3	butanol
12propanediol_042215	3	A1	MG1655_1	butanol
12propanediol_042215	3	B10	12PD7-7_1	butanol
12propanediol_042215	3	H7	12PD6-3_1	butanol
12propanediol_042215	3	F10	12PD8-6_2	butanol
12propanediol_042215	3	B6	12PD4-8_3	butanol
12propanediol_042215	3	B5	12PD3-10_2	butanol
12propanediol_042215	3	F1	12PD1-2_1	butanol
12propanediol_042215	3	A7	M9 blank	butanol
12propanediol_042215	3	G10	12PD8-6_3	butanol
12propanediol_042215	3	E7	12PD5-9_1	butanol
12propanediol_042215	3	C11	12PD8-7_3	butanol
12propanediol_042215	3	C7	12PD5-3_2	butanol
12propanediol_042215	3	H8	12PD6-9_2	butanol
12propanediol_042215	3	A10	M9 blank	butanol
12propanediol_042215	3	C9	12PD7-5_1	butanol
12propanediol_042215	3	H3	12PD2-9_3	butanol
12propanediol_042215	3	B11	12PD8-7_2	butanol
12propanediol_042215	3	D11	12PD8-10_1	butanol
12propanediol_042215	3	A11	M9 blank	butanol
12propanediol_042215	3	G5	12PD4-8_1	butanol
12propanediol_042215	3	A9	M9 blank	butanol
12propanediol_042215	3	E11	12PD8-10_2	butanol
12propanediol_042215	3	C6	12PD4-9_1	butanol
12propanediol_042215	3	E10	12PD8-6_1	butanol
12propanediol_042215	3	A12	M9 blank	butanol
12propanediol_042215	3	D8	12PD6-6_1	butanol
12propanediol_042215	3	F11	12PD8-10_3	butanol
12propanediol_042215	3	B3	12PD2-5_3	butanol
12propanediol_042215	3	G11	M9 blank	butanol
12propanediol_042215	3	C10	12PD7-7_2	butanol
12propanediol_042215	3	G3	12PD2-9_2	butanol
12propanediol_042215	3	F6	12PD5-1_1	butanol
12propanediol_042215	3	G9	12PD7-6_2	butanol
12propanediol_042215	3	C3	12PD2-8_1	butanol
12propanediol_042215	3	H12	M9 blank	butanol
12propanediol_042215	3	C4	12PD3-7_2	butanol
12propanediol_042215	3	B7	12PD5-3_1	butanol
12propanediol_042215	3	D6	12PD4-9_2	butanol
12propanediol_042215	3	C12	M9 blank	butanol
12propanediol_042215	3	F5	12PD4-6_3	butanol
12propanediol_042215	3	F2	12PD1-10_3	butanol
12propanediol_042215	3	F7	12PD5-9_2	butanol
12propanediol_042215	3	B9	12PD6-9_3	butanol
12propanediol_042215	3	E12	M9 blank	butanol
12propanediol_042215	3	B12	M9 blank	butanol
12propanediol_042215	3	B1	MG1655_2	butanol
12propanediol_042215	3	G8	12PD6-9_1	butanol
12propanediol_042215	3	H2	12PD2-5_2	butanol
12propanediol_042215	3	B8	12PD6-3_2	butanol
12propanediol_042215	3	B4	12PD3-7_1	butanol
12propanediol_042215	3	H5	12PD4-8_2	butanol
12propanediol_042215	3	D5	12PD4-6_1	butanol
12propanediol_042215	3	A8	M9 blank	butanol
12propanediol_042215	3	A3	M9 blank	butanol
12propanediol_042215	3	E5	12PD4-6_2	butanol
12propanediol_042215	3	C1	MG1655_3	butanol
12propanediol_042215	3	D12	M9 blank	butanol
12propanediol_042215	3	E4	12PD3-8_1	butanol
12propanediol_042215	3	F3	12PD2-9_1	butanol
12propanediol_042215	3	F8	12PD6-6_3	butanol
12propanediol_042215	3	D4	12PD3-7_3	butanol
12propanediol_042215	3	B2	12PD1-4_2	butanol
12propanediol_042215	3	A5	M9 blank	butanol
12propanediol_042215	3	F4	12PD3-8_2	butanol
12propanediol_042215	3	D9	12PD7-5_2	butanol
12propanediol_042215	3	F9	12PD7-6_1	butanol
12propanediol_042215	3	E2	12PD1-10_2	butanol
12propanediol_042215	3	H11	M9 blank	butanol
12propanediol_042215	3	H1	12PD1-2_3	butanol
12propanediol_042215	4	H9	12PD7-6_3	butanol
12propanediol_042215	4	G6	12PD5-1_2	butanol
12propanediol_042215	4	F12	M9 blank	butanol
12propanediol_042215	4	G12	M9 blank	butanol
12propanediol_042215	4	H6	12PD5-1_3	butanol
12propanediol_042215	4	E3	12PD2-8_3	butanol
12propanediol_042215	4	G7	12PD5-9_3	butanol
12propanediol_042215	4	D3	12PD2-8_2	butanol
12propanediol_042215	4	A2	12PD1-4_1	butanol
12propanediol_042215	4	E1	MG1655_5	butanol
12propanediol_042215	4	A4	M9 blank	butanol
12propanediol_042215	4	A6	M9 blank	butanol
12propanediol_042215	4	G2	12PD2-5_1	butanol
12propanediol_042215	4	D7	12PD5-3_3	butanol
12propanediol_042215	4	C5	12PD3-10_3	butanol
12propanediol_042215	4	D2	12PD1-10_1	butanol
12propanediol_042215	4	D10	12PD7-7_3	butanol
12propanediol_042215	4	G4	12PD3-8_3	butanol
12propanediol_042215	4	H4	12PD3-10_1	butanol
12propanediol_042215	4	E9	12PD7-5_3	butanol
12propanediol_042215	4	H10	12PD8-7_1	butanol
12propanediol_042215	4	E6	12PD4-9_3	butanol
12propanediol_042215	4	C8	12PD6-3_3	butanol
12propanediol_042215	4	G1	12PD1-2_2	butanol
12propanediol_042215	4	D1	MG1655_4	butanol
12propanediol_042215	4	E8	12PD6-6_2	butanol
12propanediol_042215	4	C2	12PD1-4_3	butanol
12propanediol_042215	4	A1	MG1655_1	butanol
12propanediol_042215	4	B10	12PD7-7_1	butanol
12propanediol_042215	4	H7	12PD6-3_1	butanol
12propanediol_042215	4	F10	12PD8-6_2	butanol
12propanediol_042215	4	B6	12PD4-8_3	butanol
12propanediol_042215	4	B5	12PD3-10_2	butanol
12propanediol_042215	4	F1	12PD1-2_1	butanol
12propanediol_042215	4	A7	M9 blank	butanol
12propanediol_042215	4	G10	12PD8-6_3	butanol
12propanediol_042215	4	E7	12PD5-9_1	butanol
12propanediol_042215	4	C11	12PD8-7_3	butanol
12propanediol_042215	4	C7	12PD5-3_2	butanol
12propanediol_042215	4	H8	12PD6-9_2	butanol
12propanediol_042215	4	A10	M9 blank	butanol
12propanediol_042215	4	C9	12PD7-5_1	butanol
12propanediol_042215	4	H3	12PD2-9_3	butanol
12propanediol_042215	4	B11	12PD8-7_2	butanol
12propanediol_042215	4	D11	12PD8-10_1	butanol
12propanediol_042215	4	A11	M9 blank	butanol
12propanediol_042215	4	G5	12PD4-8_1	butanol
12propanediol_042215	4	A9	M9 blank	butanol
12propanediol_042215	4	E11	12PD8-10_2	butanol
12propanediol_042215	4	C6	12PD4-9_1	butanol
12propanediol_042215	4	E10	12PD8-6_1	butanol
12propanediol_042215	4	A12	M9 blank	butanol
12propanediol_042215	4	D8	12PD6-6_1	butanol
12propanediol_042215	4	F11	12PD8-10_3	butanol
12propanediol_042215	4	B3	12PD2-5_3	butanol
12propanediol_042215	4	G11	M9 blank	butanol
12propanediol_042215	4	C10	12PD7-7_2	butanol
12propanediol_042215	4	G3	12PD2-9_2	butanol
12propanediol_042215	4	F6	12PD5-1_1	butanol
12propanediol_042215	4	G9	12PD7-6_2	butanol
12propanediol_042215	4	C3	12PD2-8_1	butanol
12propanediol_042215	4	H12	M9 blank	butanol
12propanediol_042215	4	C4	12PD3-7_2	butanol
12propanediol_042215	4	B7	12PD5-3_1	butanol
12propanediol_042215	4	D6	12PD4-9_2	butanol
12propanediol_042215	4	C12	M9 blank	butanol
12propanediol_042215	4	F5	12PD4-6_3	butanol
12propanediol_042215	4	F2	12PD1-10_3	butanol
12propanediol_042215	4	F7	12PD5-9_2	butanol
12propanediol_042215	4	B9	12PD6-9_3	butanol
12propanediol_042215	4	E12	M9 blank	butanol
12propanediol_042215	4	B12	M9 blank	butanol
12propanediol_042215	4	B1	MG1655_2	butanol
12propanediol_042215	4	G8	12PD6-9_1	butanol
12propanediol_042215	4	H2	12PD2-5_2	butanol
12propanediol_042215	4	B8	12PD6-3_2	butanol
12propanediol_042215	4	B4	12PD3-7_1	butanol
12propanediol_042215	4	H5	12PD4-8_2	butanol
12propanediol_042215	4	D5	12PD4-6_1	butanol
12propanediol_042215	4	A8	M9 blank	butanol
12propanediol_042215	4	A3	M9 blank	butanol
12propanediol_042215	4	E5	12PD4-6_2	butanol
12propanediol_042215	4	C1	MG1655_3	butanol
12propanediol_042215	4	D12	M9 blank	butanol
12propanediol_042215	4	E4	12PD3-8_1	butanol
12propanediol_042215	4	F3	12PD2-9_1	butanol
12propanediol_042215	4	F8	12PD6-6_3	butanol
12propanediol_042215	4	D4	12PD3-7_3	butanol
12propanediol_042215	4	B2	12PD1-4_2	butanol
12propanediol_042215	4	A5	M9 blank	butanol
12propanediol_042215	4	F4	12PD3-8_2	butanol
12propanediol_042215	4	D9	12PD7-5_2	butanol
12propanediol_042215	4	F9	12PD7-6_1	butanol
12propanediol_042215	4	E2	12PD1-10_2	butanol
12propanediol_042215	4	H11	M9 blank	butanol
12propanediol_042215	4	H1	12PD1-2_3	butanol
12propanediol_042215	5	H9	12PD7-6_3	butanol
12propanediol_042215	5	G6	12PD5-1_2	butanol
12propanediol_042215	5	F12	M9 blank	butanol
12propanediol_042215	5	G12	M9 blank	butanol
12propanediol_042215	5	H6	12PD5-1_3	butanol
12propanediol_042215	5	E3	12PD2-8_3	butanol
12propanediol_042215	5	G7	12PD5-9_3	butanol
12propanediol_042215	5	D3	12PD2-8_2	butanol
12propanediol_042215	5	A2	12PD1-4_1	butanol
12propanediol_042215	5	E1	MG1655_5	butanol
12propanediol_042215	5	A4	M9 blank	butanol
12propanediol_042215	5	A6	M9 blank	butanol
12propanediol_042215	5	G2	12PD2-5_1	butanol
12propanediol_042215	5	D7	12PD5-3_3	butanol
12propanediol_042215	5	C5	12PD3-10_3	butanol
12propanediol_042215	5	D2	12PD1-10_1	butanol
12propanediol_042215	5	D10	12PD7-7_3	butanol
12propanediol_042215	5	G4	12PD3-8_3	butanol
12propanediol_042215	5	H4	12PD3-10_1	butanol
12propanediol_042215	5	E9	12PD7-5_3	butanol
12propanediol_042215	5	H10	12PD8-7_1	butanol
12propanediol_042215	5	E6	12PD4-9_3	butanol
12propanediol_042215	5	C8	12PD6-3_3	butanol
12propanediol_042215	5	G1	12PD1-2_2	butanol
12propanediol_042215	5	D1	MG1655_4	butanol
12propanediol_042215	5	E8	12PD6-6_2	butanol
12propanediol_042215	5	C2	12PD1-4_3	butanol
12propanediol_042215	5	A1	MG1655_1	butanol
12propanediol_042215	5	B10	12PD7-7_1	butanol
12propanediol_042215	5	H7	12PD6-3_1	butanol
12propanediol_042215	5	F10	12PD8-6_2	butanol
12propanediol_042215	5	B6	12PD4-8_3	butanol
12propanediol_042215	5	B5	12PD3-10_2	butanol
12propanediol_042215	5	F1	12PD1-2_1	butanol
12propanediol_042215	5	A7	M9 blank	butanol
12propanediol_042215	5	G10	12PD8-6_3	butanol
12propanediol_042215	5	E7	12PD5-9_1	butanol
12propanediol_042215	5	C11	12PD8-7_3	butanol
12propanediol_042215	5	C7	12PD5-3_2	butanol
12propanediol_042215	5	H8	12PD6-9_2	butanol
12propanediol_042215	5	A10	M9 blank	butanol
12propanediol_042215	5	C9	12PD7-5_1	butanol
12propanediol_042215	5	H3	12PD2-9_3	butanol
12propanediol_042215	5	B11	12PD8-7_2	butanol
12propanediol_042215	5	D11	12PD8-10_1	butanol
12propanediol_042215	5	A11	M9 blank	butanol
12propanediol_042215	5	G5	12PD4-8_1	butanol
12propanediol_042215	5	A9	M9 blank	butanol
12propanediol_042215	5	E11	12PD8-10_2	butanol
12propanediol_042215	5	C6	12PD4-9_1	butanol
12propanediol_042215	5	E10	12PD8-6_1	butanol
12propanediol_042215	5	A12	M9 blank	butanol
12propanediol_042215	5	D8	12PD6-6_1	butanol
12propanediol_042215	5	F11	12PD8-10_3	butanol
12propanediol_042215	5	B3	12PD2-5_3	butanol
12propanediol_042215	5	G11	M9 blank	butanol
12propanediol_042215	5	C10	12PD7-7_2	butanol
12propanediol_042215	5	G3	12PD2-9_2	butanol
12propanediol_042215	5	F6	12PD5-1_1	butanol
12propanediol_042215	5	G9	12PD7-6_2	butanol
12propanediol_042215	5	C3	12PD2-8_1	butanol
12propanediol_042215	5	H12	M9 blank	butanol
12propanediol_042215	5	C4	12PD3-7_2	butanol
12propanediol_042215	5	B7	12PD5-3_1	butanol
12propanediol_042215	5	D6	12PD4-9_2	butanol
12propanediol_042215	5	C12	M9 blank	butanol
12propanediol_042215	5	F5	12PD4-6_3	butanol
12propanediol_042215	5	F2	12PD1-10_3	butanol
12propanediol_042215	5	F7	12PD5-9_2	butanol
12propanediol_042215	5	B9	12PD6-9_3	butanol
12propanediol_042215	5	E12	M9 blank	butanol
12propanediol_042215	5	B12	M9 blank	butanol
12propanediol_042215	5	B1	MG1655_2	butanol
12propanediol_042215	5	G8	12PD6-9_1	butanol
12propanediol_042215	5	H2	12PD2-5_2	butanol
12propanediol_042215	5	B8	12PD6-3_2	butanol
12propanediol_042215	5	B4	12PD3-7_1	butanol
12propanediol_042215	5	H5	12PD4-8_2	butanol
12propanediol_042215	5	D5	12PD4-6_1	butanol
12propanediol_042215	5	A8	M9 blank	butanol
12propanediol_042215	5	A3	M9 blank	butanol
12propanediol_042215	5	E5	12PD4-6_2	butanol
12propanediol_042215	5	C1	MG1655_3	butanol
12propanediol_042215	5	D12	M9 blank	butanol
12propanediol_042215	5	E4	12PD3-8_1	butanol
12propanediol_042215	5	F3	12PD2-9_1	butanol
12propanediol_042215	5	F8	12PD6-6_3	butanol
12propanediol_042215	5	D4	12PD3-7_3	butanol
12propanediol_042215	5	B2	12PD1-4_2	butanol
12propanediol_042215	5	A5	M9 blank	butanol
12propanediol_042215	5	F4	12PD3-8_2	butanol
12propanediol_042215	5	D9	12PD7-5_2	butanol
12propanediol_042215	5	F9	12PD7-6_1	butanol
12propanediol_042215	5	E2	12PD1-10_2	butanol
12propanediol_042215	5	H11	M9 blank	butanol
12propanediol_042215	5	H1	12PD1-2_3	butanol
12propanediol_042215	6	H9	12PD7-6_3	butanol
12propanediol_042215	6	G6	12PD5-1_2	butanol
12propanediol_042215	6	F12	M9 blank	butanol
12propanediol_042215	6	G12	M9 blank	butanol
12propanediol_042215	6	H6	12PD5-1_3	butanol
12propanediol_042215	6	E3	12PD2-8_3	butanol
12propanediol_042215	6	G7	12PD5-9_3	butanol
12propanediol_042215	6	D3	12PD2-8_2	butanol
12propanediol_042215	6	A2	12PD1-4_1	butanol
12propanediol_042215	6	E1	MG1655_5	butanol
12propanediol_042215	6	A4	M9 blank	butanol
12propanediol_042215	6	A6	M9 blank	butanol
12propanediol_042215	6	G2	12PD2-5_1	butanol
12propanediol_042215	6	D7	12PD5-3_3	butanol
12propanediol_042215	6	C5	12PD3-10_3	butanol
12propanediol_042215	6	D2	12PD1-10_1	butanol
12propanediol_042215	6	D10	12PD7-7_3	butanol
12propanediol_042215	6	G4	12PD3-8_3	butanol
12propanediol_042215	6	H4	12PD3-10_1	butanol
12propanediol_042215	6	E9	12PD7-5_3	butanol
12propanediol_042215	6	H10	12PD8-7_1	butanol
12propanediol_042215	6	E6	12PD4-9_3	butanol
12propanediol_042215	6	C8	12PD6-3_3	butanol
12propanediol_042215	6	G1	12PD1-2_2	butanol
12propanediol_042215	6	D1	MG1655_4	butanol
12propanediol_042215	6	E8	12PD6-6_2	butanol
12propanediol_042215	6	C2	12PD1-4_3	butanol
12propanediol_042215	6	A1	MG1655_1	butanol
12propanediol_042215	6	B10	12PD7-7_1	butanol
12propanediol_042215	6	H7	12PD6-3_1	butanol
12propanediol_042215	6	F10	12PD8-6_2	butanol
12propanediol_042215	6	B6	12PD4-8_3	butanol
12propanediol_042215	6	B5	12PD3-10_2	butanol
12propanediol_042215	6	F1	12PD1-2_1	butanol
12propanediol_042215	6	A7	M9 blank	butanol
12propanediol_042215	6	G10	12PD8-6_3	butanol
12propanediol_042215	6	E7	12PD5-9_1	butanol
12propanediol_042215	6	C11	12PD8-7_3	butanol
12propanediol_042215	6	C7	12PD5-3_2	butanol
12propanediol_042215	6	H8	12PD6-9_2	butanol
12propanediol_042215	6	A10	M9 blank	butanol
12propanediol_042215	6	C9	12PD7-5_1	butanol
12propanediol_042215	6	H3	12PD2-9_3	butanol
12propanediol_042215	6	B11	12PD8-7_2	butanol
12propanediol_042215	6	D11	12PD8-10_1	butanol
12propanediol_042215	6	A11	M9 blank	butanol
12propanediol_042215	6	G5	12PD4-8_1	butanol
12propanediol_042215	6	A9	M9 blank	butanol
12propanediol_042215	6	E11	12PD8-10_2	butanol
12propanediol_042215	6	C6	12PD4-9_1	butanol
12propanediol_042215	6	E10	12PD8-6_1	butanol
12propanediol_042215	6	A12	M9 blank	butanol
12propanediol_042215	6	D8	12PD6-6_1	butanol
12propanediol_042215	6	F11	12PD8-10_3	butanol
12propanediol_042215	6	B3	12PD2-5_3	butanol
12propanediol_042215	6	G11	M9 blank	butanol
12propanediol_042215	6	C10	12PD7-7_2	butanol
12propanediol_042215	6	G3	12PD2-9_2	butanol
12propanediol_042215	6	F6	12PD5-1_1	butanol
12propanediol_042215	6	G9	12PD7-6_2	butanol
12propanediol_042215	6	C3	12PD2-8_1	butanol
12propanediol_042215	6	H12	M9 blank	butanol
12propanediol_042215	6	C4	12PD3-7_2	butanol
12propanediol_042215	6	B7	12PD5-3_1	butanol
12propanediol_042215	6	D6	12PD4-9_2	butanol
12propanediol_042215	6	C12	M9 blank	butanol
12propanediol_042215	6	F5	12PD4-6_3	butanol
12propanediol_042215	6	F2	12PD1-10_3	butanol
12propanediol_042215	6	F7	12PD5-9_2	butanol
12propanediol_042215	6	B9	12PD6-9_3	butanol
12propanediol_042215	6	E12	M9 blank	butanol
12propanediol_042215	6	B12	M9 blank	butanol
12propanediol_042215	6	B1	MG1655_2	butanol
12propanediol_042215	6	G8	12PD6-9_1	butanol
12propanediol_042215	6	H2	12PD2-5_2	butanol
12propanediol_042215	6	B8	12PD6-3_2	butanol
12propanediol_042215	6	B4	12PD3-7_1	butanol
12propanediol_042215	6	H5	12PD4-8_2	butanol
12propanediol_042215	6	D5	12PD4-6_1	butanol
12propanediol_042215	6	A8	M9 blank	butanol
12propanediol_042215	6	A3	M9 blank	butanol
12propanediol_042215	6	E5	12PD4-6_2	butanol
12propanediol_042215	6	C1	MG1655_3	butanol
12propanediol_042215	6	D12	M9 blank	butanol
12propanediol_042215	6	E4	12PD3-8_1	butanol
12propanediol_042215	6	F3	12PD2-9_1	butanol
12propanediol_042215	6	F8	12PD6-6_3	butanol
12propanediol_042215	6	D4	12PD3-7_3	butanol
12propanediol_042215	6	B2	12PD1-4_2	butanol
12propanediol_042215	6	A5	M9 blank	butanol
12propanediol_042215	6	F4	12PD3-8_2	butanol
12propanediol_042215	6	D9	12PD7-5_2	butanol
12propanediol_042215	6	F9	12PD7-6_1	butanol
12propanediol_042215	6	E2	12PD1-10_2	butanol
12propanediol_042215	6	H11	M9 blank	butanol
12propanediol_042215	6	H1	12PD1-2_3	butanol
12propanediol_042215	7	H9	12PD7-6_3	butanol
12propanediol_042215	7	G6	12PD5-1_2	butanol
12propanediol_042215	7	F12	M9 blank	butanol
12propanediol_042215	7	G12	M9 blank	butanol
12propanediol_042215	7	H6	12PD5-1_3	butanol
12propanediol_042215	7	E3	12PD2-8_3	butanol
12propanediol_042215	7	G7	12PD5-9_3	butanol
12propanediol_042215	7	D3	12PD2-8_2	butanol
12propanediol_042215	7	A2	12PD1-4_1	butanol
12propanediol_042215	7	E1	MG1655_5	butanol
12propanediol_042215	7	A4	M9 blank	butanol
12propanediol_042215	7	A6	M9 blank	butanol
12propanediol_042215	7	G2	12PD2-5_1	butanol
12propanediol_042215	7	D7	12PD5-3_3	butanol
12propanediol_042215	7	C5	12PD3-10_3	butanol
12propanediol_042215	7	D2	12PD1-10_1	butanol
12propanediol_042215	7	D10	12PD7-7_3	butanol
12propanediol_042215	7	G4	12PD3-8_3	butanol
12propanediol_042215	7	H4	12PD3-10_1	butanol
12propanediol_042215	7	E9	12PD7-5_3	butanol
12propanediol_042215	7	H10	12PD8-7_1	butanol
12propanediol_042215	7	E6	12PD4-9_3	butanol
12propanediol_042215	7	C8	12PD6-3_3	butanol
12propanediol_042215	7	G1	12PD1-2_2	butanol
12propanediol_042215	7	D1	MG1655_4	butanol
12propanediol_042215	7	E8	12PD6-6_2	butanol
12propanediol_042215	7	C2	12PD1-4_3	butanol
12propanediol_042215	7	A1	MG1655_1	butanol
12propanediol_042215	7	B10	12PD7-7_1	butanol
12propanediol_042215	7	H7	12PD6-3_1	butanol
12propanediol_042215	7	F10	12PD8-6_2	butanol
12propanediol_042215	7	B6	12PD4-8_3	butanol
12propanediol_042215	7	B5	12PD3-10_2	butanol
12propanediol_042215	7	F1	12PD1-2_1	butanol
12propanediol_042215	7	A7	M9 blank	butanol
12propanediol_042215	7	G10	12PD8-6_3	butanol
12propanediol_042215	7	E7	12PD5-9_1	butanol
12propanediol_042215	7	C11	12PD8-7_3	butanol
12propanediol_042215	7	C7	12PD5-3_2	butanol
12propanediol_042215	7	H8	12PD6-9_2	butanol
12propanediol_042215	7	A10	M9 blank	butanol
12propanediol_042215	7	C9	12PD7-5_1	butanol
12propanediol_042215	7	H3	12PD2-9_3	butanol
12propanediol_042215	7	B11	12PD8-7_2	butanol
12propanediol_042215	7	D11	12PD8-10_1	butanol
12propanediol_042215	7	A11	M9 blank	butanol
12propanediol_042215	7	G5	12PD4-8_1	butanol
12propanediol_042215	7	A9	M9 blank	butanol
12propanediol_042215	7	E11	12PD8-10_2	butanol
12propanediol_042215	7	C6	12PD4-9_1	butanol
12propanediol_042215	7	E10	12PD8-6_1	butanol
12propanediol_042215	7	A12	M9 blank	butanol
12propanediol_042215	7	D8	12PD6-6_1	butanol
12propanediol_042215	7	F11	12PD8-10_3	butanol
12propanediol_042215	7	B3	12PD2-5_3	butanol
12propanediol_042215	7	G11	M9 blank	butanol
12propanediol_042215	7	C10	12PD7-7_2	butanol
12propanediol_042215	7	G3	12PD2-9_2	butanol
12propanediol_042215	7	F6	12PD5-1_1	butanol
12propanediol_042215	7	G9	12PD7-6_2	butanol
12propanediol_042215	7	C3	12PD2-8_1	butanol
12propanediol_042215	7	H12	M9 blank	butanol
12propanediol_042215	7	C4	12PD3-7_2	butanol
12propanediol_042215	7	B7	12PD5-3_1	butanol
12propanediol_042215	7	D6	12PD4-9_2	butanol
12propanediol_042215	7	C12	M9 blank	butanol
12propanediol_042215	7	F5	12PD4-6_3	butanol
12propanediol_042215	7	F2	12PD1-10_3	butanol
12propanediol_042215	7	F7	12PD5-9_2	butanol
12propanediol_042215	7	B9	12PD6-9_3	butanol
12propanediol_042215	7	E12	M9 blank	butanol
12propanediol_042215	7	B12	M9 blank	butanol
12propanediol_042215	7	B1	MG1655_2	butanol
12propanediol_042215	7	G8	12PD6-9_1	butanol
12propanediol_042215	7	H2	12PD2-5_2	butanol
12propanediol_042215	7	B8	12PD6-3_2	butanol
12propanediol_042215	7	B4	12PD3-7_1	butanol
12propanediol_042215	7	H5	12PD4-8_2	butanol
12propanediol_042215	7	D5	12PD4-6_1	butanol
12propanediol_042215	7	A8	M9 blank	butanol
12propanediol_042215	7	A3	M9 blank	butanol
12propanediol_042215	7	E5	12PD4-6_2	butanol
12propanediol_042215	7	C1	MG1655_3	butanol
12propanediol_042215	7	D12	M9 blank	butanol
12propanediol_042215	7	E4	12PD3-8_1	butanol
12propanediol_042215	7	F3	12PD2-9_1	butanol
12propanediol_042215	7	F8	12PD6-6_3	butanol
