evolved_compound,grown_compound,tray,strain,repl,growth_rate,exp_name
putrescine,"2,3-butanediol",4,PUTR4-8,1,0.22456863436033397,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR5-6,2,0.19111602478279902,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR6-2,3,0.21129254662282948,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR7-1,1,0.29554157784843926,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR7-9,2,0.14832123605814035,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR8-6,3,0.09505028942383383,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,MG1655,4,0.17956710620818805,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR1-9,1,0.0,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR2-8,2,0.23352432946980423,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR3-1,3,0.24644519669374051,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR4-3,1,0.20384048993912884,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR4-8,2,0.21384108996853615,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR5-6,3,0.19158179335086645,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR6-7,1,0.2778687711590254,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR7-1,2,0.23487234045304592,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR7-9,3,0.15672770438918643,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR8-10,1,0.0,putrescine_111914
NA,"2,3-butanediol",4,M9 blank,0,0.0,putrescine_111914
NA,"2,3-butanediol",4,MG1655,5,0.20886722001233504,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR1-9,2,0.03648376252355253,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR2-8,3,0.23904337224538774,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR3-9,1,0.22573486876942697,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR4-3,2,0.20680227687970318,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR4-8,3,0.0,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR5-8,1,0.17035617796747807,putrescine_111914
putrescine,"2,3-butanediol",4,PUTR6-7,2,0.2692574064378404,putrescine_111914
