,compound,clean_strain,pretty_name,slope,std,stderr
48,HMDA,MG1655,K-12 MG1655,0.22226807641275453,0.23146564492546592,0.05976417253436592
249,HMDA,rpsG1_ybeX,ΔproV rpsG1* ybeX::kan,0.27967381857755,0.009482712902964959,0.005474846847174757
247,HMDA,rpsG1_mreB_ybeX_mpl,ΔproV rpsG1* mreB* ΔybeX mpl::kan,0.40417668669060464,0.014117393161884956,0.008150680742270062
259,HMDA,wbbK,wbbK::kan,0.10680172407297339,0.025080161115179373,0.010238932899830232
241,HMDA,rpsG1_mreB,ΔproV rpsG1* mreB*,0.3544968540394686,0.004202631701550825,0.002426390544195224
245,HMDA,rpsG1_mreB_ybeX,ΔproV rpsG1* mreB* ybeX::kan,0.4183975737935559,0.007717040046353985,0.0044554351481095955
206,HMDA,proV_sspA_nusA,,0.2894326820190036,0.007476491369543419,0.004316554304799807
207,HMDA,proV_wbbK,ΔproV wbbK::kan,0.11952610167970291,0.045481193022693815,0.018567619299771725
66,HMDA,PUTR8-10,PUTR8-10,0.401926079846032,0.012229588925273599,0.007060756458085179
61,HMDA,PUTR3-1,PUTR3-1,0.46116051999830554,0.006394140668398607,0.0036916588361362696
237,HMDA,rpsG1,rpsG1*,0.23685237188995842,0.01400734757668512,0.005718475702114835
239,HMDA,rpsG1_mpl,ΔproV rpsG1* mpl::kan,0.28673109336263286,0.01999792208970861,0.01154580570172643
243,HMDA,rpsG1_mreB_mpl,ΔproV rpsG1* mreB* mpl::kan,0.3186105165763488,0.009582579481768787,0.0055325048433301945
91,adipate,kgtP,kgtP::kan,0.22487029378825416,0.004142891287623377,0.002391899400132712
17,adipate,ADIP8-3,ADIP8-3,0.2080160782395846,0.004183592076970449,0.0024153980118184746
263,adipate,ybjL,ybjL::kan,0.19478006302770287,0.004518247005976268,0.002608611125165619
16,adipate,ADIP7-5,,0.2137071519658541,0.06929986986500931,0.04900240791689336
15,adipate,ADIP7-2,,0.19944944995856884,0.07264570015774201,0.05136826720558402
93,adipate,kgtP_proV,ΔkgtP proV::kan,0.26239687872346235,0.007265094506669907,0.004194504269113943
13,adipate,ADIP4-8,ADIP4-8,0.3509264418685594,0.00569545369674571,0.0032882717249731854
12,adipate,ADIP4-1,,0.19784571803834472,0.008763982059942017,0.006197071144782247
11,adipate,ADIP3-8,,0.3055597539642338,0.009476690452537032,0.006701032082194747
10,adipate,ADIP3-4,,0.3398057209024733,0.049622875600884436,0.03508867183936186
