,strain,compound,slope
511,relA-2,"2,3-butanediol",0.0
512,MG1655-3,"2,3-butanediol",0.060731253906998746
513,MG1655-1,"2,3-butanediol",0.0
514,metJ-sm-2,"2,3-butanediol",0.10588263752496184
515,clsA-2,"2,3-butanediol",0.0
516,kgtP_ybjL-2,adipate,0.23662015503373207
517,ADIP3-8_4,adipate,0.29885872188203905
518,ADIP4-8_1,adipate,0.3460836886520262
519,ybjL-1,adipate,0.19786697319539956
520,kgtP_proV-1,adipate,0.27047590825778256
521,ADIP1-9_1,adipate,0.27916899912910775
522,ADIP3-2_4,adipate,0.3129380887907489
523,ADIP1-9_3,adipate,0.27686052783954845
524,kgtP_proV-3,adipate,0.25640069343510263
525,kgtP_proV_ybjL-2,adipate,0.2927275052104676
526,ADIP7-5_5,adipate,0.16470474404896077
527,kgtP-1,adipate,0.22044865263247296
528,kgtP_ybjL-3,adipate,0.2258709434251207
529,kgtP_ybjL-1,adipate,0.2243488226022728
530,kgtP-3,adipate,0.22549986001020056
531,kgtP_proV-2,adipate,0.2603140344775018
532,ADIP4-8_2,adipate,0.3494943786142369
533,ybjL-3,adipate,0.19687910642970757
534,ADIP4-1_5,adipate,0.19164864689356245
535,proV-2,adipate,0.1517107588286405
536,ADIP8-3_2,adipate,0.21027607671175655
537,ADIP3-4_5,adipate,0.3748943927418351
538,ADIP3-8_5,adipate,0.31226078604642854
539,kgtP_sspA-3,adipate,0.10034053626774192
540,proV-3,adipate,0.1563442726498217
541,ADIP6-3_2,adipate,0.3184649237943797
542,ADIP6-3_1,adipate,0.30223708861490195
543,ADIP8-3_3,adipate,0.21058361167351325
544,MG1655-2,adipate,0.21189803270476446
545,ADIP7-5_4,adipate,0.26270955988274747
546,ADIP6-3_3,adipate,0.3114024909987361
547,ADIP4-8_3,adipate,0.35720125833941535
548,kgtP_proV_ybjL-3,adipate,0.334658023152101
549,ybjL-2,adipate,0.1895941094580015
550,ADIP1-9_2,adipate,0.29618274996175187
551,proV-1,adipate,0.15121815411196343
552,kgtP_proV_ybjL-1,adipate,0.2665344979361992
553,ADIP3-2_5,adipate,0.3069048369616526
554,kgtP_sspA-1,adipate,0.1847582982789736
555,kgtP-2,adipate,0.22866236872208887
556,ADIP4-1_4,adipate,0.20404278918312696
557,kgtP_sspA-2,adipate,0.20639386514422162
558,ADIP7-2_4,adipate,0.25081771716415285
559,ADIP3-4_4,adipate,0.3047170490631114
560,ADIP7-2_5,adipate,0.14808118275298482
561,ADIP8-3_1,adipate,0.20318854633348404
562,MG1655-3,adipate,0.19913379247457383
563,MG1655-1,adipate,0.15436617740379935
564,yobF-4,isobutyrate,0.21540875639480284
565,IBUA8-3_2,isobutyrate,0.33982277109112957
566,IBUA2-9_3,isobutyrate,0.44796942212939206
567,MG1655-2,isobutyrate,0.13771847464196094
568,MG1655-6,isobutyrate,0.12827981544765293
569,pykF-1,isobutyrate,0.2674418529840939
570,pykF_yobF-4,isobutyrate,0.2891025221973204
571,pykF_yobF-1,isobutyrate,0.288384050870602
572,IBUA7-9_3,isobutyrate,0.0
573,IBUA7-9_1,isobutyrate,0.3042972538515611
574,yobF-1,isobutyrate,0.2241944413006201
575,yobF-5,isobutyrate,0.19711391358637143
576,pykF-2,isobutyrate,0.2533015441520296
577,pykF-4,isobutyrate,0.2679494770833985
578,pykF_yobF-5,isobutyrate,0.26827637562422263
579,yobF-3,isobutyrate,0.2027457919489045
580,pykF-5,isobutyrate,0.27072979524185026
581,IBUA5-6_1,isobutyrate,0.4453946031796343
582,IBUA5-6_1,isobutyrate,0.47391909732461457
583,pykF_rpoS-2,isobutyrate,0.2927711930108367
584,MG1655-5,isobutyrate,0.0
585,pykF_yobF-6,isobutyrate,0.27989415241712406
586,IBUA7-9_2,isobutyrate,0.193598449726459
587,IBUA5-6_2,isobutyrate,0.5028139621666151
588,rpoS-2,isobutyrate,0.03972228714504261
589,yobF-6,isobutyrate,0.14827329619705326
590,IBUA8-3_1,isobutyrate,0.36336466805770334
591,pykF_rpoS-3,isobutyrate,0.31049615949012277
592,pykF_rpoS-1,isobutyrate,0.29400722702478765
593,pykF-3,isobutyrate,0.2531623856727812
594,rpoS-1,isobutyrate,0.0
595,MG1655-4,isobutyrate,0.1718996840084436
596,IBUA8-3_3,isobutyrate,0.3795118803127054
597,yobF-2,isobutyrate,0.20903520963036493
598,pykF_yobF-2,isobutyrate,0.27465520531331794
599,IBUA2-9_1,isobutyrate,0.49855407404221863
600,pykF-6,isobutyrate,0.2620998582877283
601,rpoS-3,isobutyrate,0.0
602,pykF_yobF-3,isobutyrate,0.30354708195877544
603,MG1655-1,isobutyrate,0.1624766543020343
604,IBUA2-9_2,isobutyrate,0.4702046467520493
605,MG1655-3,isobutyrate,0.14135200467731793
606,proV_ptsP_wbbK-3,putrescine,0.14726922914012522
607,proV_ptsP-1,putrescine,0.1428698617772157
608,PUTR7-7_1,putrescine,0.32016480642364825
609,proV_ptsP-2,putrescine,0.1453940433961784
610,PUTR3-1_1,putrescine,0.3952575885546992
611,PUTR3-1_3,putrescine,0.3710561648244674
612,PUTR5-6_2,putrescine,0.21645874194014758
613,ptsP-3,putrescine,0.1579753579854715
614,PUTR8-10_1,putrescine,0.36106948217608675
615,PUTR3-1_2,putrescine,0.4023739984731453
616,proV_wbbK-1,putrescine,0.13216536879285468
617,ptsP-1,putrescine,0.3029507132394705
618,proV_ptsP_wbbK-2,putrescine,0.13736727290276632
619,PUTR4-3_1,putrescine,0.26347972185013085
620,PUTR8-10_2,putrescine,0.3480890309459416
621,cspC-2,putrescine,0.12820908354400967
622,proV-2,putrescine,0.14679884886407815
623,proV_nagC-3,putrescine,0.1850721686129916
624,proV_ptsP_nagC-1,putrescine,0.20119418250405827
625,wbbK-3,putrescine,0.12636395831490957
626,proV_ptsP-3,putrescine,0.168403233011941
627,PUTR5-6_3,putrescine,0.2106287321433659
628,proV_ptsP_nagC-2,putrescine,0.14192364894782522
629,proV_wbbK-2,putrescine,0.09094603609413199
630,proV-3,putrescine,0.15300463599981498
631,cspC-3,putrescine,0.12335346077939309
632,proV_nagC-1,putrescine,0.15043375863821587
633,MG1655-2,putrescine,0.16615632095088206
634,PUTR4-3_2,putrescine,0.2603019410379396
635,cspC-1,putrescine,0.12311871696453645
636,proV_ptsP_wbbK-1,putrescine,0.13659206179398808
637,ptsP-2,putrescine,0.16284818087885736
638,PUTR7-7_3,putrescine,0.27992979439022
639,proV_cspC-1,putrescine,0.13655438574390324
640,PUTR7-7_2,putrescine,0.2921807857667905
641,PUTR4-3_3,putrescine,0.25873416873654786
642,proV_cspC-2,putrescine,0.12520104969340354
643,wbbK-1,putrescine,0.17778211886166698
644,proV_wbbK-3,putrescine,0.1730979582767507
645,proV_ptsP_nagC-3,putrescine,0.17748096481440778
646,proV-1,putrescine,0.13592210279083766
647,wbbK-2,putrescine,0.14572812931941181
648,proV_nagC-2,putrescine,0.14255603737251532
649,proV_cspC-3,putrescine,0.16649747987041227
650,MG1655-3,putrescine,0.16336309383028608
651,MG1655-1,putrescine,0.21566363940813962
652,PUTR8-10_3,putrescine,0.35308366612777414
653,PUTR5-6_1,putrescine,0.21843558478680178
654,nusA_sspA_ybeX_mpl-1,putrescine,0.16344546790416256
655,nusA_sspA-2,putrescine,0.0
656,nusA_sspA_mpl-2,putrescine,0.0
657,HMDA7-1_2,putrescine,0.2224600427692705
658,proV_ptsP-2,putrescine,0.06778760141759801
659,rpsG1_mpl-3,putrescine,0.19879974075475126
660,HMDA7-1_1,putrescine,0.19116672592054879
661,proV_ptsP_mpl-1,putrescine,0.14600313431013606
662,rpsG1_ybeX_mpl-3,putrescine,0.13422753868961773
663,ybeX-3,putrescine,0.07161341617727597
664,proV_ptsP_mpl-2,putrescine,0.11927779166944136
665,nusA_sspA_ybeX_mpl-2,putrescine,0.12368951424635465
666,nusA_sspA_ybeX-3,putrescine,0.0
667,nusA_sspA_mpl-3,putrescine,0.0
668,mpl-1,putrescine,0.1114468159492869
669,nusA_sspA_mpl-1,putrescine,0.15926317673882653
670,nusA_sspA-3,putrescine,0.0
671,rpsG1-1,putrescine,0.2385652195185953
672,proV_ptsP_ybeX_mpl-3,putrescine,0.5620204923750077
673,nusA_sspA-1,putrescine,0.0
674,rpsG1_ybeX-1,putrescine,0.17511956035306073
675,ybeX-2,putrescine,0.038065238874801025
676,nusA_sspA_ybeX-1,putrescine,0.0
677,proV_ptsP-1,putrescine,0.1120072367980337
678,MG1655-2,putrescine,0.09517734422017383
679,ybeX-1,putrescine,0.06315885115826497
680,rpsG1-2,putrescine,0.24142505479963627
681,rpsG1_mpl-1,putrescine,0.18595054841786213
682,proV_ptsP_ybeX_mpl-2,putrescine,0.08128559817125534
683,nusA_sspA_ybeX-2,putrescine,0.0
684,proV_ptsP_ybeX-2,putrescine,0.08933029587372195
685,proV_ptsP_ybeX-3,putrescine,0.06085629301910607
686,rpsG1-3,putrescine,0.22278728186798896
687,rpsG1_ybeX-2,putrescine,0.18809615732444995
688,rpsG1_ybeX_mpl-2,putrescine,0.1359064246855469
689,proV_ptsP_ybeX_mpl-1,putrescine,0.09009793018051718
690,proV_ptsP-3,putrescine,0.0
691,HMDA7-1_3,putrescine,0.1982619552768635
692,rpsG1_ybeX_mpl-1,putrescine,0.14564245661126068
693,rpsG1_mpl-2,putrescine,0.2043263701896283
694,proV_ptsP_ybeX-1,putrescine,0.038698149165316595
695,nusA_sspA_ybeX_mpl-3,putrescine,0.0748369036197953
696,MG1655-3,putrescine,0.06529791069526572
697,MG1655-1,putrescine,0.06444669894382564
698,mpl-2,putrescine,0.11700308307979997
699,rpsG1_ybeX-3,putrescine,0.1816593589530483
700,mpl-3,putrescine,0.11881252915653463
701,proV_ptsP_mpl-3,putrescine,0.08227377278081895
702,rlmH-1,octanoate,0.2102815552803674
703,OCTA5-4_3,octanoate,0.44291008982038094
704,MG1655-2,octanoate,0.29028036557111525
705,OCTA7-2_3,octanoate,0.47765616230773134
706,stfE-2,octanoate,0.3350853958987478
707,gtrS-2,octanoate,0.12042523220003316
708,OCTA2-14_2,octanoate,0.04517009503546803
709,gtrS-3,octanoate,0.19340584625192123
710,OCTA2-14_1,octanoate,0.0
711,OCTA1-9_2,octanoate,0.12663448482774953
712,OCTA7-2_1,octanoate,0.40934412516230534
713,OCTA5-4_1,octanoate,0.4631905781248613
714,OCTA1-9_1,octanoate,0.0
715,rlmH-3,octanoate,0.305062510696117
716,stfE-1,octanoate,0.3211518376758907
717,OCTA1-9_3,octanoate,0.06919713164043678
718,gtrS-1,octanoate,0.16223632236683574
719,rlmH-2,octanoate,0.3207427383571715
720,MG1655-3,octanoate,0.2739601132273818
721,MG1655-1,octanoate,0.2696489160987441
722,OCTA5-4_2,octanoate,0.4477790686501872
723,OCTA2-14_3,octanoate,0.0
724,stfE-3,octanoate,0.33189832904357996
725,OCTA7-2_2,octanoate,0.4577202214096654
726,HEXA1-1_3,hexanoate,0.7121589856394046
727,bioAB-3,hexanoate,0.2957096777465586
728,proQ-2,hexanoate,0.31357307869007284
729,HEXA2-9_3,hexanoate,0.4369280705553364
730,MG1655-2,hexanoate,0.29505112050317184
731,proQ-3,hexanoate,0.22584683094258323
732,ompR_proP-1,hexanoate,0.42681799092071004
733,HEXA6-9_3,hexanoate,0.8876690850379977
734,ompR_proQ-3,hexanoate,0.4399929274506754
735,HEXA4-10_2,hexanoate,0.0
736,bioAB_ompR_proQ-1,hexanoate,0.3792907309402853
737,opgH-3,hexanoate,0.31430051170777246
738,bioAB_ompR-3,hexanoate,0.44623546368850536
739,HEXA4-10_1,hexanoate,0.0
740,bioAB-1,hexanoate,0.3444214061512767
741,opgH-1,hexanoate,0.28795225941752983
742,HEXA6-9_1,hexanoate,0.0
743,proP-1,hexanoate,0.32201405869953487
744,proP-3,hexanoate,0.25469909779019506
745,bioAB_ompR_proQ-3,hexanoate,0.0
746,bioAB_ompR_proQ-2,hexanoate,0.4367398851380509
747,ompR_proQ-2,hexanoate,0.4576183729608971
748,bioAB_ompR-1,hexanoate,0.43104263021443406
749,ompR_proP-2,hexanoate,0.43497497446830474
750,bioAB-2,hexanoate,0.25848467120272617
751,HEXA1-1_2,hexanoate,0.8834817568895278
752,bioAB_ompR_proQ-1,hexanoate,0.4436757326966033
753,HEXA1-1_1,hexanoate,0.9161311245985895
754,HEXA2-9_1,hexanoate,0.4294322095951256
755,HEXA6-9_2,hexanoate,0.8139604269324224
756,proQ-1,hexanoate,0.3040323466953745
757,HEXA2-9_2,hexanoate,0.460985129921656
758,bioAB_ompR_proQ-2,hexanoate,0.4529461298546159
759,ompR_proP-3,hexanoate,0.4436220007896973
760,bioAB_ompR_proQ-3,hexanoate,0.4589325886655904
761,HEXA4-10_3,hexanoate,0.828170502573631
762,opgH-2,hexanoate,0.29995765706792127
763,proP-2,hexanoate,0.2772208021459459
764,ompR_proQ-1,hexanoate,0.41652957159432374
765,MG1655-1,hexanoate,0.2770271193390407
766,bioAB_ompR-2,hexanoate,0.44087571976021134
767,MG1655-3,hexanoate,0.28203076184045883
768,IBUA8-3_2,isobutyrate,0.3422386312117742
769,IBUA2-9_3,isobutyrate,0.37115768709250185
770,MG1655-2,isobutyrate,0.0
771,pykF-1,isobutyrate,0.24982876892871156
772,pykF_yobF-1,isobutyrate,0.28931572617164714
773,IBUA7-9_3,isobutyrate,0.38918987063450755
774,IBUA7-9_1,isobutyrate,0.3741689461559227
775,yobF-1,isobutyrate,0.19556220242181083
776,pykF-2,isobutyrate,0.23061263052113948
777,pykF_rpoS_yobF-3,isobutyrate,0.2505722722750054
778,yobF-3,isobutyrate,0.1981898483267017
779,IBUA5-6_1,isobutyrate,0.40139061670068876
780,IBUA5-6_1,isobutyrate,0.4713684134561881
781,pykF_rpoS-2,isobutyrate,0.28796605937868464
782,pykF_rpoS_yobF-1,isobutyrate,0.2115821196966647
783,IBUA7-9_2,isobutyrate,0.3925051307546992
784,IBUA5-6_2,isobutyrate,0.46139259272117455
785,rpoS-2,isobutyrate,0.07727630415070333
786,IBUA8-3_1,isobutyrate,0.35024912721165363
787,pykF_rpoS-3,isobutyrate,0.2796022347824746
788,pykF_rpoS-1,isobutyrate,0.292989465332377
789,pykF-3,isobutyrate,0.32480859013105284
790,rpoS-1,isobutyrate,0.20950704725442848
791,pykF_rpoS_yobF-2,isobutyrate,0.21291627750919778
792,IBUA8-3_3,isobutyrate,0.3570506702476953
793,yobF-2,isobutyrate,0.1690849503005392
794,pykF_yobF-2,isobutyrate,0.26026199103120523
795,IBUA2-9_1,isobutyrate,0.3660288470699197
796,rpoS-3,isobutyrate,0.24816544922895273
797,pykF_yobF-3,isobutyrate,0.24566561241061838
798,MG1655-1,isobutyrate,0.21500519819034053
799,IBUA2-9_2,isobutyrate,0.38468819908597773
800,MG1655-3,isobutyrate,0.20695445821373837
801,COUM4-2_1,coumarate,0.3773120677016963
802,nadR_rpoA-3,coumarate,0.536541408940745
803,COUM4-2_3,coumarate,0.5646023279172392
804,MG1655-3,coumarate,0.26270498476594284
805,MG1655-2,coumarate,0.31028219468267665
806,COUM4-2_2,coumarate,0.0
807,MG1655-1,coumarate,0.2576188590715947
808,nadR_rpoA-2,coumarate,0.49886764307652615
809,nadR_rpoA-1,coumarate,0.4759497201532382
810,marC_rob-1,butanol,0.436050497506412
811,yobF-3,butanol,0.430423142578363
812,MG1655-1,butanol,0.4612454244923635
813,BUT3-6_1,butanol,0.5146901308558394
814,yobF-1,butanol,0.4366626113085598
815,marC_rob_mppA_yobF-1,butanol,0.47112026404610946
816,cspC-3,butanol,0.4769920552686192
817,marC_rob-3,butanol,0.4605880007714675
818,ypjA_mprA_nadR_yhjK-1,butanol,0.21463770180687572
819,rob_yobF-1,butanol,0.45225900528910573
820,marC_rob_yobF-3,butanol,0.46366676086584935
821,BUT9-7_1,butanol,0.5855028965620835
822,BUT3-6_3,butanol,0.4871356763071786
823,marC_rob_yobF-1,butanol,0.4554675532229198
824,rob-1,butanol,0.4338328536148714
825,BUT3-6_2,butanol,0.4729554421413002
826,rob-3,butanol,0.4108603394307543
827,marC_rob_yobF-2,butanol,0.44290097237534337
828,BUT1-2_1,butanol,0.5616840854315294
829,marC_yobF-1,butanol,0.4202095826181832
830,marC-1,butanol,0.4084416448667393
831,marC_rob_mppA_yobF-3,butanol,0.45953958603075373
832,MG1655-2,butanol,0.45686345906575027
833,rob_yobF-2,butanol,0.4696941336860822
834,ypjA_mprA_nadR_yhjK-2,butanol,0.2825749936702115
835,marC_rob_mppA-3,butanol,0.4500410335771287
836,BUT9-7_2,butanol,0.571669875196795
837,cspC-1,butanol,0.4578105254170677
838,BUT1-2_3,butanol,0.5681513718868373
839,ypjA_mprA_nadR_yhjK-3,butanol,0.0
840,marC_rob_mppA_yobF-2,butanol,0.5025516031388312
841,marC_yobF-3,butanol,0.4537701055581268
842,BUT9-7_3,butanol,0.5413672772352076
843,marC-2,butanol,0.3904328012447907
844,marC_rob_mppA-2,butanol,0.45484584629004177
845,rob_yobF-3,butanol,0.4953576878011846
846,marC_rob_mppA-1,butanol,0.41688635180545297
847,marC-3,butanol,0.3967568490697845
848,BUT7-7_1,butanol,0.6229990434863736
849,rob-2,butanol,0.41390284966446844
850,yobF-2,butanol,0.40679118657918883
851,MG1655-3,butanol,0.4498201227461227
852,marC_rob-2,butanol,0.43129511867316933
853,BUT7-7_3,butanol,0.6150376985336056
854,marC_yobF-2,butanol,0.41914902864997067
855,BUT7-7_2,butanol,0.6382601265704289
856,cspC-2,butanol,0.47579723604189145
857,BUT1-2_2,butanol,0.5679849007779328
858,GLUT1-10_1,glutarate,0.4367314584385943
859,GLUT4-1_3,glutarate,0.30307644286626734
860,ybjL-1,glutarate,0.12451098484683142
861,ybjL-2,glutarate,0.133205578519788
862,MG1655-2,glutarate,0.08196863482602267
863,GLUT4-1_2,glutarate,0.3115585819671774
864,kgtP_sspA-3,glutarate,0.2497034448052899
865,GLUT8-6_1,glutarate,0.40251692048736903
866,kgtP_proV-3,glutarate,0.24488527286539907
867,GLUT1-3_3,glutarate,0.26177858626352546
868,kgtP_proV_ybjL-2,glutarate,0.28696959420033785
869,GLUT8-6_3,glutarate,0.4017478026841134
870,kgtP_proV-2,glutarate,0.2442041856600684
871,kgtP_proV_ybjL-1,glutarate,0.31247404288128106
872,GLUT4-1_1,glutarate,0.32031689655312795
873,kgtP-2,glutarate,0.1786803886075922
874,kgtP_ybjL-3,glutarate,0.22149736301383688
875,kgtP_proV_ybjL-3,glutarate,0.30194270467362566
876,kgtP_ybjL-1,glutarate,0.20761937951404003
877,kgtP-3,glutarate,0.18700404891705005
878,proV-1,glutarate,0.08139572846125498
879,GLUT1-10_2,glutarate,0.45290159282060005
880,kgtP_sspA-1,glutarate,0.26318283092147843
881,ybjL-3,glutarate,0.12080508112126721
882,GLUT1-10_3,glutarate,0.4375257706776685
883,proV-2,glutarate,0.09445093579924485
884,kgtP_sspA-1,glutarate,0.25481559334346593
885,GLUT8-6_2,glutarate,0.40131832707204973
886,GLUT1-3_2,glutarate,0.2844965278367979
887,MG1655-3,glutarate,0.11753365932177619
888,kgtP_proV-1,glutarate,0.244034613629702
889,MG1655-1,glutarate,0.10153919564115875
890,GLUT1-3_1,glutarate,0.2871148152812074
891,kgtP-1,glutarate,0.17846712327894107
892,proV-3,glutarate,0.07851260197198218
893,kgtP_ybjL-2,glutarate,0.20946757459622561
894,HEXA1-1_3,hexanoate,0.6446017188857399
895,HEXA2-9_3,hexanoate,0.5268477431735047
896,ompR-1,hexanoate,0.20599482730161087
897,ompR-2,hexanoate,0.2118237940193173
898,HEXA4-10_1,hexanoate,1.0647243946046159
899,ompR_proQ_mdtK-1,hexanoate,0.20755345328079214
900,ptrA-2,hexanoate,0.20548889489533695
901,ompR_proQ-2,hexanoate,0.3001635278760688
902,ompR_proQ_ptrA-3,hexanoate,0.2299624535236214
903,HEXA1-1_2,hexanoate,0.4876081443916028
904,HEXA1-1_1,hexanoate,0.5093554607795965
905,mdtK_ptrA-2,hexanoate,0.2617653328238308
906,ompR_proQ_ptrA-1,hexanoate,0.20521950139411022
907,HEXA4-10_3,hexanoate,0.9250779749255382
908,bioAB_ptrA_ompR-3,hexanoate,0.326677259629893
909,ompR_ptrA-2,hexanoate,0.18840704630982244
910,proQ-3,hexanoate,0.14886283258582228
911,bioAB_ptrA_ompR-1,hexanoate,0.309199323068646
912,bioAB-3,hexanoate,0.24733750897911008
913,proQ-2,hexanoate,0.13838831204624735
914,ompR_proQ_mdtK-3,hexanoate,0.1877515241237961
915,MG1655-2,hexanoate,0.20097906387871137
916,mdtK_ptrA-3,hexanoate,0.21352771831241138
917,HEXA4-10_2,hexanoate,0.9789387152377923
918,ptrA-3,hexanoate,0.22605654153593088
919,bioAB_ptrA-2,hexanoate,0.28087848002326504
920,bioAB_ptrA_mdtK-1,hexanoate,0.2899642513223701
921,ompR_proQ-3,hexanoate,0.25909890929814366
922,bioAB_ptrA-1,hexanoate,0.2195689287592944
923,bioAB_ptrA-3,hexanoate,0.26827900642656644
924,ptrA-1,hexanoate,0.2239406648020616
925,bioAB-2,hexanoate,0.24014742663112815
926,bioAB-1,hexanoate,0.2191382019642697
927,bioAB_ptrA_ompR-2,hexanoate,0.30795758687362684
928,mdtK_ptrA-1,hexanoate,0.29436058264299175
929,bioAB_ptrA_mdtK-3,hexanoate,0.3111107206578197
930,HEXA2-9_1,hexanoate,0.5670473290344935
931,ompR-3,hexanoate,0.1985363265125738
932,proQ-1,hexanoate,0.12414643501227177
933,HEXA2-9_2,hexanoate,0.5350874379468017
934,bioAB_ptrA_mdtK-2,hexanoate,0.30922382336816934
935,ompR_proQ-1,hexanoate,0.2922196901486101
936,MG1655-3,hexanoate,0.17687250987397204
937,MG1655-1,hexanoate,0.2230292040650379
938,ompR_proQ_mdtK-2,hexanoate,0.18410811396419907
939,ompR_ptrA-3,hexanoate,0.19553334436978131
940,ompR_proQ_ptrA-2,hexanoate,0.22490392350552335
941,ompR_ptrA-1,hexanoate,0.20750816860826268
942,IBUA8-3_ilvH-revert-2,isobutyrate,0.4382756515722679
943,IBUA8-3_ilvH-revert-1,isobutyrate,0.4028772225512039
944,pykF_glyQ-3,isobutyrate,0.28238368764611405
945,pykF-1,isobutyrate,0.2229267854391095
946,glyQ-1,isobutyrate,0.12763174216395284
947,glyQ-3,isobutyrate,0.12937646883982576
948,IBUA8-3_ilvH-revert-3,isobutyrate,0.41495505073823236
949,pykF-2,isobutyrate,0.21036697493319054
950,ilvH-1,isobutyrate,0.13072933422715488
951,ilvH_glyQ-2,isobutyrate,0.1542593200313141
952,glyQ-2,isobutyrate,0.18009380946829961
953,IBUA8-3_2,isobutyrate,0.31308945152726136
954,pykF_glyQ-2,isobutyrate,0.25829851162825196
955,ilvH-3,isobutyrate,0.1109461692638431
956,MG1655-2,isobutyrate,0.07737713074486625
957,IBUA8-3_1,isobutyrate,0.37178458227050604
958,pykF_ilvH_glyQ-1,isobutyrate,0.27512490238944587
959,pykF-3,isobutyrate,0.21443411386834915
960,pykF_ilvH-1,isobutyrate,0.2294825937199607
961,IBUA8-3_3,isobutyrate,0.36067780077244677
962,ilvH_glyQ-1,isobutyrate,0.090041826389361
963,ilvH_glyQ-3,isobutyrate,0.14293521465074568
964,pykF_ilvH_glyQ-2,isobutyrate,0.29101647572256806
965,pykF_ilvH-2,isobutyrate,0.19374067337279682
966,pykF_ilvH-3,isobutyrate,0.20448799042863886
967,pykF_ilvH_glyQ-3,isobutyrate,0.29890890064485676
968,MG1655-1,isobutyrate,0.07225066643785939
969,ilvH-2,isobutyrate,0.13912364567963523
970,pykF_glyQ-1,isobutyrate,0.27625591046525905
971,MG1655-3,isobutyrate,0.1042284559598178
972,sspA-3,"2,3-butanediol",0.2605234155610829
973,sspA-1,"2,3-butanediol",0.15185040103735367
974,sspA-2,"2,3-butanediol",0.22659504358405458
975,MG1655-3,"2,3-butanediol",0.0
976,MG1655-2,"2,3-butanediol",0.03106707060800652
977,rzpD-2,"2,3-butanediol",0.0
978,MG1655-1,"2,3-butanediol",0.02567013166954532
979,rzpD-3,"2,3-butanediol",0.0
980,rzpD-1,"2,3-butanediol",0.10843945828393825
981,ompR-1,hexanoate,0.16499345045679395
982,ompR-2,hexanoate,0.17698392643057068
983,cheR-3,hexanoate,0.08744985871910929
984,HEXA4-10_1,hexanoate,0.9847746109680985
985,rph-1,hexanoate,0.12834266722762128
986,ompR_ompC-2,hexanoate,0.20367068894051374
987,ompR_proQ-2,hexanoate,0.2908692888657297
988,IBUA8-3_2,hexanoate,0.37586907127917485
989,ompC-2,hexanoate,0.21322177945662538
990,MG1655-2,hexanoate,0.11801936439717386
991,phoU-1,hexanoate,0.0
992,IBUA8-3_1,hexanoate,0.32900546088294247
993,ompC-1,hexanoate,0.24596635736850697
994,rph-2,hexanoate,0.0
995,ompR_proQ_ompC-1,hexanoate,0.2370713486570335
996,proQ_ompC-3,hexanoate,0.3054158403675684
997,proQ-3,hexanoate,0.15393937896270263
998,proQ_ompC-1,hexanoate,0.24226577752286876
999,ompR_proQ-1,hexanoate,0.31573273153923476
1000,proQ-2,hexanoate,0.17748852826230396
1001,ompC-3,hexanoate,0.21066054159490047
1002,MG1655-2,hexanoate,0.18672679169665932
1003,ompR_ompC-1,hexanoate,0.1882759266161856
1004,proQ_ompC-2,hexanoate,0.23838361872033872
1005,HEXA4-10_2,hexanoate,0.8430134161377748
1006,ompR_proQ_ompC-3,hexanoate,0.23823326660962246
1007,MG1655-3,hexanoate,0.05804232946632932
1008,cheR-2,hexanoate,0.08410136039450973
1009,phoU-2,hexanoate,0.10182770291788155
1010,ompR_proQ-3,hexanoate,0.30093986532003464
1011,rph-3,hexanoate,0.033017334848182624
1012,HEXA7-2_1,hexanoate,0.09707176527861802
1013,ompR_ompC-3,hexanoate,0.19039279554549704
1014,cheR-1,hexanoate,0.1275964828639941
1015,ompR-3,hexanoate,0.1716515532743341
1016,proQ-1,hexanoate,0.16896607004591882
1017,ompR_proQ_ompC-2,hexanoate,0.23231966419249522
1018,IBUA8-3_3,hexanoate,0.3276142260030397
1019,HEXA7-2_2,hexanoate,0.2004795155240468
1020,MG1655-3,hexanoate,0.1977606938170106
1021,HEXA7-2_3,hexanoate,0.23260160618017464
1022,MG1655-1,hexanoate,0.17230610916975253
1023,HEXA4-10_3,hexanoate,1.021601811801669
1024,MG1655-1,hexanoate,0.11911071890573371
1025,phoU-3,hexanoate,0.07299205173182045
1026,proV_rpsG1-2,HMDA,0.2694919389979599
1027,HMDA7-1_3,HMDA,0.3905459399763894
1028,proV_sspA-1,HMDA,0.2798945844799456
1029,rpsG1-2,HMDA,0.22566697444321027
1030,proV-1,HMDA,0.6683525341734483
1031,MG1655-2,HMDA,0.7437215594996903
1032,proV_sspA-2,HMDA,0.262939087459809
1033,HMDA7-1_2,HMDA,0.368058966622645
1034,proV-2,HMDA,0.4278636615806441
1035,proV_sspA-3,HMDA,0.2715337827143872
1036,proV_sspA_nusA-2,HMDA,0.290311808273664
1037,proV_sspA_nusA-3,HMDA,0.2815554931972644
1038,proV_sspA_nusA-1,HMDA,0.2964307445860824
1039,rpsG1-1,HMDA,0.2238787074690661
1040,MG1655-3,HMDA,0.5985578065658036
1041,MG1655-1,HMDA,0.6485231600613174
1042,HMDA7-1_1,HMDA,0.40157122087372904
1043,proV_rpsG1-1,HMDA,0.2722705284366087
1044,rpsG1-3,HMDA,0.22492897812159937
1045,proV-3,HMDA,0.7174601879215367
1046,proV_rpsG1-3,HMDA,0.27050481889823236
1047,HEXA1-1_3,hexanoate,0.5242968938784169
1048,proQ-2,hexanoate,0.14863598047049056
1049,HEXA2-9_3,hexanoate,0.5469600309974999
1050,MG1655-2,hexanoate,0.22109055683549678
